candidate_id	receiver	seed	new_class_count	k_shot	old_before	old_after	direct_old	delta_before_direct	delta_after_direct	seen_new	H_old_new	min_old_after	avg_forgetting	mean_views	coverage	rollback	verdict
effective8-v14-rx20-1-s713101-n10-k1	20-1	713101	10	1	0.644444	0.538889	0.702778	-0.058333	-0.163889	0.506667	0.520871	0.000000	0.105556	2.445833	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx20-1-s713101-n10-k10	20-1	713101	10	10	0.769444	0.602778	0.702778	0.066667	-0.100000	0.551667	0.576007	0.300000	0.166667	2.500000	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx20-1-s713101-n10-k20	20-1	713101	10	20	0.783333	0.622222	0.702778	0.080556	-0.080556	0.580000	0.600021	0.300000	0.161111	2.477083	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx20-1-s713101-n10-k5	20-1	713101	10	5	0.786111	0.497222	0.702778	0.083333	-0.205556	0.521667	0.508976	0.150000	0.288889	2.391667	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx20-1-s713101-n20-k1	20-1	713101	20	1	0.644444	0.502778	0.702778	-0.058333	-0.200000	0.309167	0.382448	0.000000	0.141667	2.698718	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx20-1-s713101-n20-k10	20-1	713101	20	10	0.769444	0.594444	0.702778	0.066667	-0.108333	0.355000	0.444520	0.200000	0.175000	2.725641	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx20-1-s713101-n20-k20	20-1	713101	20	20	0.783333	0.605556	0.702778	0.080556	-0.097222	0.385833	0.471081	0.200000	0.177778	2.697436	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx20-1-s713101-n20-k5	20-1	713101	20	5	0.788889	0.480556	0.702778	0.086111	-0.222222	0.341667	0.399259	0.150000	0.308333	2.657692	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx20-1-s713101-n5-k1	20-1	713101	5	1	0.647222	0.541667	0.702778	-0.055556	-0.161111	0.626667	0.579828	0.000000	0.105556	1.969697	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx20-1-s713101-n5-k10	20-1	713101	5	10	0.775000	0.636111	0.702778	0.072222	-0.066667	0.640000	0.637912	0.300000	0.138889	2.160606	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx20-1-s713101-n5-k20	20-1	713101	5	20	0.786111	0.650000	0.702778	0.083333	-0.052778	0.693333	0.670936	0.300000	0.136111	2.127273	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx20-1-s713101-n5-k5	20-1	713101	5	5	0.783333	0.522222	0.702778	0.080556	-0.180556	0.680000	0.590757	0.150000	0.261111	1.954545	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx3-19-s713104-n10-k1	3-19	713104	10	1	0.511111	0.319444	0.555556	-0.044444	-0.236111	0.203333	0.248393	0.000000	0.191667	2.383333	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx3-19-s713104-n10-k10	3-19	713104	10	10	0.605556	0.347222	0.555556	0.050000	-0.208333	0.333333	0.339398	0.000000	0.258333	2.412500	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx3-19-s713104-n10-k20	3-19	713104	10	20	0.616667	0.383333	0.555556	0.061111	-0.172222	0.413333	0.397231	0.000000	0.233333	2.431250	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx3-19-s713104-n10-k5	3-19	713104	10	5	0.547222	0.338889	0.555556	-0.008333	-0.216667	0.315000	0.325922	0.000000	0.208333	2.335417	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx3-19-s713104-n20-k1	3-19	713104	20	1	0.511111	0.288889	0.555556	-0.044444	-0.266667	0.180000	0.221577	0.000000	0.222222	2.620513	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx3-19-s713104-n20-k10	3-19	713104	20	10	0.602778	0.333333	0.555556	0.047222	-0.222222	0.275833	0.301583	0.000000	0.269444	2.379487	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx3-19-s713104-n20-k20	3-19	713104	20	20	0.613889	0.377778	0.555556	0.058333	-0.177778	0.318333	0.344904	0.000000	0.236111	2.505128	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx3-19-s713104-n20-k5	3-19	713104	20	5	0.552778	0.327778	0.555556	-0.002778	-0.227778	0.282500	0.302348	0.000000	0.225000	2.573077	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx3-19-s713104-n5-k1	3-19	713104	5	1	0.502778	0.352778	0.555556	-0.052778	-0.202778	0.450000	0.394897	0.050000	0.150000	2.060606	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx3-19-s713104-n5-k10	3-19	713104	5	10	0.600000	0.369444	0.555556	0.044444	-0.186111	0.540000	0.438266	0.000000	0.230556	2.003030	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx3-19-s713104-n5-k20	3-19	713104	5	20	0.619444	0.444444	0.555556	0.063889	-0.111111	0.553333	0.492917	0.000000	0.175000	2.063636	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx3-19-s713104-n5-k5	3-19	713104	5	5	0.558333	0.358333	0.555556	0.002778	-0.197222	0.536667	0.429404	0.000000	0.200000	1.936364	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n10-k1	7-7	713102	10	1	0.788889	0.661111	0.813889	-0.025000	-0.152778	0.443333	0.530688	0.150000	0.127778	2.391667	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n10-k10	7-7	713102	10	10	0.836111	0.680556	0.813889	0.022222	-0.133333	0.533333	0.597778	0.300000	0.155556	2.327083	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n10-k20	7-7	713102	10	20	0.836111	0.697222	0.813889	0.022222	-0.116667	0.516667	0.593480	0.400000	0.138889	2.260417	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n10-k5	7-7	713102	10	5	0.833333	0.686111	0.813889	0.019444	-0.127778	0.531667	0.598781	0.200000	0.147222	2.304167	3/3	REQUIRED	PERFORMANCE_FAIL
effective8-v14-rx7-7-s713102-n20-k1	7-7	713102	20	1	0.788889	0.613889	0.813889	-0.025000	-0.200000	0.391667	0.478190	0.150000	0.175000	2.610256	3/3	REQUIRED	PERFORMANCE_FAIL
