scope,domain,k,eligible_seen_new_tx,seen_new_pairs,eligible_unknown_tx,fixed_new_unknown_pairs,variable_seen_new_unknown_disjoint_2x2
domain,20-1,2,144,10296,144,10011,103073256
domain,20-1,3,144,10296,144,10011,103073256
domain,20-1,5,144,10296,144,10011,103073256
domain,20-1,10,144,10296,144,10011,103073256
domain,3-19,2,137,9316,138,9180,85520880
domain,3-19,3,137,9316,138,9180,85520880
domain,3-19,5,137,9316,138,9180,85520880
domain,3-19,10,137,9316,138,9180,85520880
domain,7-14,2,135,9045,136,8911,80599995
domain,7-14,3,135,9045,136,8911,80599995
domain,7-14,5,135,9045,136,8911,80599995
domain,7-14,10,135,9045,136,8911,80599995
domain,7-7,2,138,9453,139,9316,88064148
domain,7-7,3,138,9453,139,9316,88064148
domain,7-7,5,138,9453,139,9316,88064148
domain,7-7,10,138,9453,139,9316,88064148
domain,8-8,2,136,9180,136,8911,81802980
domain,8-8,3,136,9180,136,8911,81802980
domain,8-8,5,136,9180,136,8911,81802980
domain,8-8,10,135,9045,136,8911,80599995
common_all_domains,ALL,2,122,7381,125,7503,55379643
common_all_domains,ALL,3,122,7381,125,7503,55379643
common_all_domains,ALL,5,122,7381,125,7503,55379643
common_all_domains,ALL,10,122,7381,125,7503,55379643
