new_tx_ids,unknown_a,unknown_b
"1-16,1-18",1-1,1-10
"1-16,1-18",1-1,1-11
"1-16,1-18",1-1,1-12
"1-16,1-18",1-1,1-14
"1-16,1-18",1-1,1-15
"1-16,1-18",1-1,1-19
"1-16,1-18",1-1,1-2
"1-16,1-18",1-1,1-8
"1-16,1-18",1-1,10-1
"1-16,1-18",1-1,10-10
"1-16,1-18",1-1,10-11
"1-16,1-18",1-1,10-17
"1-16,1-18",1-1,10-4
"1-16,1-18",1-1,10-7
"1-16,1-18",1-1,11-1
"1-16,1-18",1-1,11-10
"1-16,1-18",1-1,11-17
"1-16,1-18",1-1,11-19
"1-16,1-18",1-1,11-20
"1-16,1-18",1-1,11-4
"1-16,1-18",1-1,11-7
"1-16,1-18",1-1,12-19
"1-16,1-18",1-1,12-20
"1-16,1-18",1-1,12-7
"1-16,1-18",1-1,13-14
"1-16,1-18",1-1,13-19
"1-16,1-18",1-1,13-20
"1-16,1-18",1-1,13-3
"1-16,1-18",1-1,13-7
"1-16,1-18",1-1,14-11
"1-16,1-18",1-1,14-12
"1-16,1-18",1-1,14-13
"1-16,1-18",1-1,14-14
"1-16,1-18",1-1,14-20
"1-16,1-18",1-1,14-8
"1-16,1-18",1-1,14-9
"1-16,1-18",1-1,15-1
"1-16,1-18",1-1,15-19
"1-16,1-18",1-1,15-6
"1-16,1-18",1-1,16-1
"1-16,1-18",1-1,16-16
"1-16,1-18",1-1,16-19
"1-16,1-18",1-1,16-20
"1-16,1-18",1-1,16-5
"1-16,1-18",1-1,17-10
"1-16,1-18",1-1,17-11
"1-16,1-18",1-1,18-1
"1-16,1-18",1-1,18-10
"1-16,1-18",1-1,18-11
"1-16,1-18",1-1,18-12
"1-16,1-18",1-1,18-13
"1-16,1-18",1-1,18-14
"1-16,1-18",1-1,18-15
"1-16,1-18",1-1,18-16
"1-16,1-18",1-1,18-17
"1-16,1-18",1-1,18-2
"1-16,1-18",1-1,18-20
"1-16,1-18",1-1,18-4
"1-16,1-18",1-1,18-5
"1-16,1-18",1-1,18-7
"1-16,1-18",1-1,18-8
"1-16,1-18",1-1,18-9
"1-16,1-18",1-1,19-1
"1-16,1-18",1-1,19-10
"1-16,1-18",1-1,19-11
"1-16,1-18",1-1,19-12
"1-16,1-18",1-1,19-13
"1-16,1-18",1-1,19-14
"1-16,1-18",1-1,19-19
"1-16,1-18",1-1,19-20
"1-16,1-18",1-1,19-3
"1-16,1-18",1-1,19-4
"1-16,1-18",1-1,19-6
"1-16,1-18",1-1,19-7
"1-16,1-18",1-1,19-8
"1-16,1-18",1-1,19-9
"1-16,1-18",1-1,2-12
"1-16,1-18",1-1,2-13
"1-16,1-18",1-1,2-15
"1-16,1-18",1-1,2-16
"1-16,1-18",1-1,2-19
"1-16,1-18",1-1,2-20
"1-16,1-18",1-1,2-3
"1-16,1-18",1-1,2-4
"1-16,1-18",1-1,2-5
"1-16,1-18",1-1,2-6
"1-16,1-18",1-1,2-7
"1-16,1-18",1-1,2-8
"1-16,1-18",1-1,20-12
"1-16,1-18",1-1,20-14
"1-16,1-18",1-1,20-16
"1-16,1-18",1-1,20-18
"1-16,1-18",1-1,20-20
"1-16,1-18",1-1,20-3
"1-16,1-18",1-1,20-4
"1-16,1-18",1-1,20-5
"1-16,1-18",1-1,20-7
"1-16,1-18",1-1,20-8
"1-16,1-18",1-1,3-1
"1-16,1-18",1-1,3-13
"1-16,1-18",1-1,3-18
"1-16,1-18",1-1,3-2
"1-16,1-18",1-1,3-8
"1-16,1-18",1-1,4-1
"1-16,1-18",1-1,4-10
"1-16,1-18",1-1,4-11
"1-16,1-18",1-1,5-1
"1-16,1-18",1-1,5-5
"1-16,1-18",1-1,6-1
"1-16,1-18",1-1,6-6
"1-16,1-18",1-1,7-10
"1-16,1-18",1-1,7-11
"1-16,1-18",1-1,7-20
"1-16,1-18",1-1,7-7
"1-16,1-18",1-1,8-1
"1-16,1-18",1-1,8-13
"1-16,1-18",1-1,8-18
"1-16,1-18",1-1,8-3
"1-16,1-18",1-1,8-7
"1-16,1-18",1-1,8-8
"1-16,1-18",1-1,9-1
"1-16,1-18",1-1,9-20
"1-16,1-18",1-10,1-11
"1-16,1-18",1-10,1-12
