domain,seen_new_a,seen_new_b,samples_a,samples_b
20-1,1-1,1-10,181,200
20-1,1-1,1-11,181,159
20-1,1-1,1-12,181,200
20-1,1-1,1-14,181,200
20-1,1-1,1-15,181,171
20-1,1-1,1-16,181,200
20-1,1-1,1-18,181,200
20-1,1-1,1-19,181,183
20-1,1-1,1-2,181,174
20-1,1-1,1-8,181,200
20-1,1-1,10-1,181,166
20-1,1-1,10-10,181,155
20-1,1-1,10-11,181,200
20-1,1-1,10-17,181,200
20-1,1-1,10-4,181,200
20-1,1-1,10-7,181,200
20-1,1-1,11-1,181,200
20-1,1-1,11-10,181,200
20-1,1-1,11-17,181,150
20-1,1-1,11-19,181,200
20-1,1-1,11-20,181,178
20-1,1-1,11-4,181,200
20-1,1-1,11-7,181,200
20-1,1-1,12-1,181,112
20-1,1-1,12-19,181,200
20-1,1-1,12-20,181,200
20-1,1-1,12-7,181,200
20-1,1-1,13-14,181,200
20-1,1-1,13-18,181,116
20-1,1-1,13-19,181,200
20-1,1-1,13-20,181,185
20-1,1-1,13-3,181,200
20-1,1-1,13-7,181,200
20-1,1-1,14-11,181,200
20-1,1-1,14-12,181,200
20-1,1-1,14-13,181,200
20-1,1-1,14-14,181,200
20-1,1-1,14-20,181,200
20-1,1-1,14-8,181,200
20-1,1-1,14-9,181,200
20-1,1-1,15-1,181,200
20-1,1-1,15-19,181,200
20-1,1-1,15-6,181,200
20-1,1-1,16-1,181,200
20-1,1-1,16-16,181,200
20-1,1-1,16-19,181,200
20-1,1-1,16-20,181,200
20-1,1-1,16-5,181,200
20-1,1-1,17-10,181,200
20-1,1-1,17-11,181,200
20-1,1-1,18-1,181,86
20-1,1-1,18-10,181,200
20-1,1-1,18-11,181,200
20-1,1-1,18-12,181,200
20-1,1-1,18-13,181,200
20-1,1-1,18-14,181,200
20-1,1-1,18-15,181,200
20-1,1-1,18-16,181,200
20-1,1-1,18-17,181,200
20-1,1-1,18-2,181,104
20-1,1-1,18-20,181,200
20-1,1-1,18-4,181,150
20-1,1-1,18-5,181,200
20-1,1-1,18-7,181,200
20-1,1-1,18-8,181,200
20-1,1-1,18-9,181,200
20-1,1-1,19-1,181,200
20-1,1-1,19-10,181,200
20-1,1-1,19-11,181,200
20-1,1-1,19-12,181,200
20-1,1-1,19-13,181,200
20-1,1-1,19-14,181,200
20-1,1-1,19-19,181,140
20-1,1-1,19-2,181,200
20-1,1-1,19-20,181,200
20-1,1-1,19-3,181,200
20-1,1-1,19-4,181,200
20-1,1-1,19-6,181,200
20-1,1-1,19-7,181,200
20-1,1-1,19-8,181,200
20-1,1-1,19-9,181,200
20-1,1-1,2-1,181,125
20-1,1-1,2-12,181,200
20-1,1-1,2-13,181,200
20-1,1-1,2-14,181,200
20-1,1-1,2-15,181,200
20-1,1-1,2-16,181,154
20-1,1-1,2-17,181,200
20-1,1-1,2-19,181,200
20-1,1-1,2-20,181,185
20-1,1-1,2-3,181,200
20-1,1-1,2-4,181,200
20-1,1-1,2-5,181,200
20-1,1-1,2-6,181,131
20-1,1-1,2-7,181,200
20-1,1-1,2-8,181,200
20-1,1-1,20-1,181,200
20-1,1-1,20-12,181,200
20-1,1-1,20-14,181,200
20-1,1-1,20-16,181,200
20-1,1-1,20-18,181,200
20-1,1-1,20-20,181,200
20-1,1-1,20-3,181,135
20-1,1-1,20-4,181,200
20-1,1-1,20-5,181,200
20-1,1-1,20-7,181,200
20-1,1-1,20-8,181,200
20-1,1-1,3-1,181,200
20-1,1-1,3-13,181,200
20-1,1-1,3-18,181,200
20-1,1-1,3-19,181,200
20-1,1-1,3-2,181,200
20-1,1-1,3-20,181,200
20-1,1-1,3-8,181,200
20-1,1-1,4-1,181,200
20-1,1-1,4-10,181,157
20-1,1-1,4-11,181,200
20-1,1-1,5-1,181,200
20-1,1-1,5-16,181,200
20-1,1-1,5-20,181,200
20-1,1-1,5-5,181,200
20-1,1-1,6-1,181,200
20-1,1-1,6-6,181,200
20-1,1-1,7-10,181,200
20-1,1-1,7-11,181,200
20-1,1-1,7-12,181,200
20-1,1-1,7-13,181,200
20-1,1-1,7-14,181,200
20-1,1-1,7-20,181,200
20-1,1-1,7-7,181,200
20-1,1-1,7-8,181,200
20-1,1-1,7-9,181,200
20-1,1-1,8-1,181,200
20-1,1-1,8-13,181,200
20-1,1-1,8-14,181,200
20-1,1-1,8-18,181,200
20-1,1-1,8-3,181,200
20-1,1-1,8-7,181,177
20-1,1-1,8-8,181,200
20-1,1-1,9-1,181,200
20-1,1-1,9-14,181,164
20-1,1-1,9-20,181,200
20-1,1-1,9-7,181,200
20-1,1-10,1-11,200,159
20-1,1-10,1-12,200,200
20-1,1-10,1-14,200,200
20-1,1-10,1-15,200,171
20-1,1-10,1-16,200,200
20-1,1-10,1-18,200,200
20-1,1-10,1-19,200,183
20-1,1-10,1-2,200,174
20-1,1-10,1-8,200,200
20-1,1-10,10-1,200,166
20-1,1-10,10-10,200,155
20-1,1-10,10-11,200,200
20-1,1-10,10-17,200,200
20-1,1-10,10-4,200,200
20-1,1-10,10-7,200,200
20-1,1-10,11-1,200,200
20-1,1-10,11-10,200,200
20-1,1-10,11-17,200,150
20-1,1-10,11-19,200,200
20-1,1-10,11-20,200,178
20-1,1-10,11-4,200,200
20-1,1-10,11-7,200,200
20-1,1-10,12-1,200,112
20-1,1-10,12-19,200,200
20-1,1-10,12-20,200,200
20-1,1-10,12-7,200,200
20-1,1-10,13-14,200,200
20-1,1-10,13-18,200,116
20-1,1-10,13-19,200,200
20-1,1-10,13-20,200,185
20-1,1-10,13-3,200,200
20-1,1-10,13-7,200,200
20-1,1-10,14-11,200,200
20-1,1-10,14-12,200,200
20-1,1-10,14-13,200,200
20-1,1-10,14-14,200,200
20-1,1-10,14-20,200,200
20-1,1-10,14-8,200,200
20-1,1-10,14-9,200,200
20-1,1-10,15-1,200,200
20-1,1-10,15-19,200,200
20-1,1-10,15-6,200,200
20-1,1-10,16-1,200,200
20-1,1-10,16-16,200,200
20-1,1-10,16-19,200,200
20-1,1-10,16-20,200,200
20-1,1-10,16-5,200,200
20-1,1-10,17-10,200,200
20-1,1-10,17-11,200,200
20-1,1-10,18-1,200,86
20-1,1-10,18-10,200,200
20-1,1-10,18-11,200,200
20-1,1-10,18-12,200,200
20-1,1-10,18-13,200,200
20-1,1-10,18-14,200,200
20-1,1-10,18-15,200,200
20-1,1-10,18-16,200,200
20-1,1-10,18-17,200,200
20-1,1-10,18-2,200,104
20-1,1-10,18-20,200,200
20-1,1-10,18-4,200,150
20-1,1-10,18-5,200,200
20-1,1-10,18-7,200,200
20-1,1-10,18-8,200,200
20-1,1-10,18-9,200,200
20-1,1-10,19-1,200,200
20-1,1-10,19-10,200,200
20-1,1-10,19-11,200,200
20-1,1-10,19-12,200,200
20-1,1-10,19-13,200,200
20-1,1-10,19-14,200,200
20-1,1-10,19-19,200,140
20-1,1-10,19-2,200,200
20-1,1-10,19-20,200,200
20-1,1-10,19-3,200,200
20-1,1-10,19-4,200,200
20-1,1-10,19-6,200,200
20-1,1-10,19-7,200,200
20-1,1-10,19-8,200,200
20-1,1-10,19-9,200,200
20-1,1-10,2-1,200,125
20-1,1-10,2-12,200,200
20-1,1-10,2-13,200,200
20-1,1-10,2-14,200,200
20-1,1-10,2-15,200,200
20-1,1-10,2-16,200,154
20-1,1-10,2-17,200,200
20-1,1-10,2-19,200,200
20-1,1-10,2-20,200,185
20-1,1-10,2-3,200,200
20-1,1-10,2-4,200,200
20-1,1-10,2-5,200,200
20-1,1-10,2-6,200,131
20-1,1-10,2-7,200,200
20-1,1-10,2-8,200,200
20-1,1-10,20-1,200,200
20-1,1-10,20-12,200,200
20-1,1-10,20-14,200,200
20-1,1-10,20-16,200,200
20-1,1-10,20-18,200,200
20-1,1-10,20-20,200,200
20-1,1-10,20-3,200,135
20-1,1-10,20-4,200,200
20-1,1-10,20-5,200,200
20-1,1-10,20-7,200,200
20-1,1-10,20-8,200,200
20-1,1-10,3-1,200,200
20-1,1-10,3-13,200,200
20-1,1-10,3-18,200,200
20-1,1-10,3-19,200,200
20-1,1-10,3-2,200,200
20-1,1-10,3-20,200,200
20-1,1-10,3-8,200,200
20-1,1-10,4-1,200,200
20-1,1-10,4-10,200,157
20-1,1-10,4-11,200,200
20-1,1-10,5-1,200,200
20-1,1-10,5-16,200,200
20-1,1-10,5-20,200,200
20-1,1-10,5-5,200,200
20-1,1-10,6-1,200,200
20-1,1-10,6-6,200,200
20-1,1-10,7-10,200,200
20-1,1-10,7-11,200,200
20-1,1-10,7-12,200,200
20-1,1-10,7-13,200,200
20-1,1-10,7-14,200,200
20-1,1-10,7-20,200,200
20-1,1-10,7-7,200,200
20-1,1-10,7-8,200,200
20-1,1-10,7-9,200,200
20-1,1-10,8-1,200,200
20-1,1-10,8-13,200,200
20-1,1-10,8-14,200,200
20-1,1-10,8-18,200,200
20-1,1-10,8-3,200,200
20-1,1-10,8-7,200,177
20-1,1-10,8-8,200,200
20-1,1-10,9-1,200,200
20-1,1-10,9-14,200,164
20-1,1-10,9-20,200,200
20-1,1-10,9-7,200,200
20-1,1-11,1-12,159,200
20-1,1-11,1-14,159,200
20-1,1-11,1-15,159,171
20-1,1-11,1-16,159,200
20-1,1-11,1-18,159,200
20-1,1-11,1-19,159,183
20-1,1-11,1-2,159,174
20-1,1-11,1-8,159,200
20-1,1-11,10-1,159,166
20-1,1-11,10-10,159,155
20-1,1-11,10-11,159,200
20-1,1-11,10-17,159,200
20-1,1-11,10-4,159,200
20-1,1-11,10-7,159,200
20-1,1-11,11-1,159,200
20-1,1-11,11-10,159,200
20-1,1-11,11-17,159,150
20-1,1-11,11-19,159,200
20-1,1-11,11-20,159,178
20-1,1-11,11-4,159,200
20-1,1-11,11-7,159,200
20-1,1-11,12-1,159,112
20-1,1-11,12-19,159,200
20-1,1-11,12-20,159,200
20-1,1-11,12-7,159,200
20-1,1-11,13-14,159,200
20-1,1-11,13-18,159,116
20-1,1-11,13-19,159,200
20-1,1-11,13-20,159,185
20-1,1-11,13-3,159,200
20-1,1-11,13-7,159,200
20-1,1-11,14-11,159,200
20-1,1-11,14-12,159,200
20-1,1-11,14-13,159,200
20-1,1-11,14-14,159,200
20-1,1-11,14-20,159,200
20-1,1-11,14-8,159,200
20-1,1-11,14-9,159,200
20-1,1-11,15-1,159,200
20-1,1-11,15-19,159,200
20-1,1-11,15-6,159,200
20-1,1-11,16-1,159,200
20-1,1-11,16-16,159,200
20-1,1-11,16-19,159,200
20-1,1-11,16-20,159,200
20-1,1-11,16-5,159,200
20-1,1-11,17-10,159,200
20-1,1-11,17-11,159,200
20-1,1-11,18-1,159,86
20-1,1-11,18-10,159,200
