domain,tx,samples_after_cap,eligible_unknown_q30,eligible_new_k10_q30,is_old,is_fixed_new
20-1,1-1,181,True,True,False,False
20-1,1-10,200,True,True,False,False
20-1,1-11,159,True,True,False,False
20-1,1-12,200,True,True,False,False
20-1,1-14,200,True,True,False,False
20-1,1-15,171,True,True,False,False
20-1,1-16,200,True,True,False,True
20-1,1-18,200,True,True,False,True
20-1,1-19,183,True,True,False,False
20-1,1-2,174,True,True,False,False
20-1,1-8,200,True,True,False,False
20-1,10-1,166,True,True,False,False
20-1,10-10,155,True,True,False,False
20-1,10-11,200,True,True,False,False
20-1,10-17,200,True,True,False,False
20-1,10-4,200,True,True,False,False
20-1,10-7,200,True,True,False,False
20-1,11-1,200,True,True,False,False
20-1,11-10,200,True,True,False,False
20-1,11-17,150,True,True,False,False
20-1,11-19,200,True,True,False,False
20-1,11-20,178,True,True,False,False
20-1,11-4,200,True,True,False,False
20-1,11-7,200,True,True,False,False
20-1,12-1,112,True,True,False,False
20-1,12-19,200,True,True,False,False
20-1,12-20,200,True,True,False,False
20-1,12-7,200,True,True,False,False
20-1,13-14,200,True,True,False,False
20-1,13-18,116,True,True,False,False
20-1,13-19,200,True,True,False,False
20-1,13-20,185,True,True,False,False
20-1,13-3,200,True,True,False,False
20-1,13-7,200,True,True,False,False
20-1,14-11,200,True,True,False,False
20-1,14-12,200,True,True,False,False
20-1,14-13,200,True,True,False,False
20-1,14-14,200,True,True,False,False
20-1,14-20,200,True,True,False,False
20-1,14-8,200,True,True,False,False
20-1,14-9,200,True,True,False,False
20-1,15-1,200,True,True,False,False
20-1,15-19,200,True,True,False,False
20-1,15-6,200,True,True,False,False
20-1,16-1,200,True,True,False,False
20-1,16-16,200,True,True,False,False
20-1,16-19,200,True,True,False,False
20-1,16-20,200,True,True,False,False
20-1,16-5,200,True,True,False,False
20-1,17-10,200,True,True,False,False
20-1,17-11,200,True,True,False,False
20-1,18-1,86,True,True,False,False
20-1,18-10,200,True,True,False,False
20-1,18-11,200,True,True,False,False
20-1,18-12,200,True,True,False,False
20-1,18-13,200,True,True,False,False
20-1,18-14,200,True,True,False,False
20-1,18-15,200,True,True,False,False
20-1,18-16,200,True,True,False,False
20-1,18-17,200,True,True,False,False
20-1,18-2,104,True,True,False,False
20-1,18-20,200,True,True,False,False
20-1,18-4,150,True,True,False,False
20-1,18-5,200,True,True,False,False
20-1,18-7,200,True,True,False,False
20-1,18-8,200,True,True,False,False
20-1,18-9,200,True,True,False,False
20-1,19-1,200,True,True,False,False
20-1,19-10,200,True,True,False,False
20-1,19-11,200,True,True,False,False
20-1,19-12,200,True,True,False,False
20-1,19-13,200,True,True,False,False
20-1,19-14,200,True,True,False,False
20-1,19-19,140,True,True,False,False
20-1,19-2,200,True,True,False,False
20-1,19-20,200,True,True,False,False
20-1,19-3,200,True,True,False,False
20-1,19-4,200,True,True,False,False
20-1,19-6,200,True,True,False,False
20-1,19-7,200,True,True,False,False
20-1,19-8,200,True,True,False,False
20-1,19-9,200,True,True,False,False
20-1,2-1,125,True,True,False,False
20-1,2-12,200,True,True,False,False
20-1,2-13,200,True,True,False,False
20-1,2-14,200,True,True,False,False
20-1,2-15,200,True,True,False,False
20-1,2-16,154,True,True,False,False
20-1,2-17,200,True,True,False,False
20-1,2-19,200,True,True,False,False
20-1,2-20,185,True,True,False,False
20-1,2-3,200,True,True,False,False
20-1,2-4,200,True,True,False,False
20-1,2-5,200,True,True,False,False
20-1,2-6,131,True,True,False,False
20-1,2-7,200,True,True,False,False
20-1,2-8,200,True,True,False,False
20-1,20-1,200,True,True,False,False
20-1,20-12,200,True,True,False,False
20-1,20-14,200,True,True,False,False
20-1,20-16,200,True,True,False,False
20-1,20-18,200,True,True,False,False
20-1,20-20,200,True,True,False,False
20-1,20-3,135,True,True,False,False
20-1,20-4,200,True,True,False,False
20-1,20-5,200,True,True,False,False
20-1,20-7,200,True,True,False,False
20-1,20-8,200,True,True,False,False
20-1,3-1,200,True,True,False,False
20-1,3-13,200,True,True,False,False
20-1,3-18,200,True,True,False,False
20-1,3-19,200,True,True,False,False
20-1,3-2,200,True,True,False,False
20-1,3-20,200,True,True,False,False
20-1,3-8,200,True,True,False,False
20-1,4-1,200,True,True,False,False
20-1,4-10,157,True,True,False,False
20-1,4-11,200,True,True,False,False
20-1,5-1,200,True,True,False,False
20-1,5-16,200,True,True,False,False
20-1,5-20,200,True,True,False,False
20-1,5-5,200,True,True,False,False
20-1,6-1,200,True,True,False,False
20-1,6-6,200,True,True,False,False
20-1,7-10,200,True,True,False,False
20-1,7-11,200,True,True,False,False
20-1,7-12,200,True,True,False,False
20-1,7-13,200,True,True,False,False
20-1,7-14,200,True,True,False,False
20-1,7-20,200,True,True,False,False
20-1,7-7,200,True,True,False,False
20-1,7-8,200,True,True,False,False
20-1,7-9,200,True,True,False,False
20-1,8-1,200,True,True,False,False
20-1,8-13,200,True,True,False,False
20-1,8-14,200,True,True,False,False
20-1,8-18,200,True,True,False,False
20-1,8-3,200,True,True,False,False
20-1,8-7,177,True,True,False,False
20-1,8-8,200,True,True,False,False
20-1,9-1,200,True,True,False,False
20-1,9-14,164,True,True,False,False
20-1,9-20,200,True,True,False,False
20-1,9-7,200,True,True,False,False
3-19,1-1,191,True,True,False,False
3-19,1-10,200,True,True,False,False
3-19,1-11,178,True,True,False,False
3-19,1-12,200,True,True,False,False
3-19,1-14,200,True,True,False,False
3-19,1-15,80,True,True,False,False
3-19,1-16,200,True,True,False,True
3-19,1-18,200,True,True,False,True
3-19,1-19,200,True,True,False,False
3-19,1-2,171,True,True,False,False
3-19,1-8,200,True,True,False,False
3-19,10-1,169,True,True,False,False
3-19,10-10,200,True,True,False,False
3-19,10-11,200,True,True,False,False
3-19,10-17,200,True,True,False,False
3-19,10-4,200,True,True,False,False
3-19,10-7,200,True,True,False,False
3-19,11-1,200,True,True,False,False
3-19,11-10,200,True,True,False,False
3-19,11-17,186,True,True,False,False
3-19,11-19,200,True,True,False,False
3-19,11-20,200,True,True,False,False
3-19,11-4,200,True,True,False,False
3-19,11-7,200,True,True,False,False
3-19,12-1,161,True,True,False,False
3-19,12-19,200,True,True,False,False
3-19,12-20,200,True,True,False,False
3-19,12-7,200,True,True,False,False
3-19,13-14,200,True,True,False,False
3-19,13-18,200,True,True,False,False
3-19,13-19,200,True,True,False,False
3-19,13-20,200,True,True,False,False
3-19,13-3,200,True,True,False,False
3-19,13-7,200,True,True,False,False
3-19,14-11,200,True,True,False,False
3-19,14-12,200,True,True,False,False
3-19,14-13,200,True,True,False,False
3-19,14-14,200,True,True,False,False
3-19,14-20,200,True,True,False,False
3-19,14-8,200,True,True,False,False
3-19,14-9,200,True,True,False,False
3-19,15-1,200,True,True,False,False
3-19,15-19,200,True,True,False,False
3-19,15-6,200,True,True,False,False
