run,row,scope,updates,scene,dimension,value,accuracy_pct
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,clean,overall,all,60.87222222222223
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,clean,tx,0,50.0
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,clean,tx,1,59.8
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,clean,tx,2,93.76666666666667
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,clean,tx,3,58.166666666666664
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,clean,tx,4,100.0
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,clean,tx,5,3.5000000000000004
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_clear_weak,overall,all,31.894444444444442
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_clear_weak,tx,0,18.566666666666666
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_clear_weak,tx,1,9.066666666666666
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_clear_weak,tx,2,33.53333333333333
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_clear_weak,tx,3,64.46666666666667
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_clear_weak,tx,4,18.633333333333333
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_clear_weak,tx,5,47.099999999999994
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_low_elev_weak,overall,all,30.083333333333336
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_low_elev_weak,tx,0,8.566666666666666
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_low_elev_weak,tx,1,9.700000000000001
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_low_elev_weak,tx,2,23.166666666666664
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_low_elev_weak,tx,3,72.86666666666667
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_low_elev_weak,tx,4,19.5
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_low_elev_weak,tx,5,46.7
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_rain_weak,overall,all,30.15555555555556
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_rain_weak,tx,0,6.4
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_rain_weak,tx,1,9.733333333333333
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_rain_weak,tx,2,20.4
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_rain_weak,tx,3,76.96666666666667
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_rain_weak,tx,4,17.933333333333334
BiCAD_Quick24_r3,D0-F1-S392001,source_LORO,5000,leo_rain_weak,tx,5,49.5
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,clean,overall,all,56.43333333333334
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,clean,tx,0,51.66666666666667
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,clean,tx,1,59.833333333333336
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,clean,tx,2,73.76666666666667
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,clean,tx,3,52.43333333333333
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,clean,tx,4,100.0
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,clean,tx,5,0.8999999999999999
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_clear_weak,overall,all,30.211111111111112
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_clear_weak,tx,0,53.800000000000004
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_clear_weak,tx,1,17.533333333333335
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_clear_weak,tx,2,44.53333333333334
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_clear_weak,tx,3,5.233333333333333
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_clear_weak,tx,4,13.133333333333333
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_clear_weak,tx,5,47.03333333333333
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_low_elev_weak,overall,all,30.072222222222223
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_low_elev_weak,tx,0,53.06666666666666
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_low_elev_weak,tx,1,20.0
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_low_elev_weak,tx,2,39.7
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_low_elev_weak,tx,3,4.466666666666667
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_low_elev_weak,tx,4,12.0
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_low_elev_weak,tx,5,51.2
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_rain_weak,overall,all,30.427777777777777
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_rain_weak,tx,0,52.03333333333333
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_rain_weak,tx,1,20.666666666666668
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_rain_weak,tx,2,40.233333333333334
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_rain_weak,tx,3,4.2
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_rain_weak,tx,4,13.066666666666665
BiCAD_Quick24_r3,D0-F1-S392002,source_LORO,5000,leo_rain_weak,tx,5,52.36666666666666
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,clean,overall,all,49.63333333333333
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,clean,tx,0,42.46666666666667
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,clean,tx,1,51.43333333333333
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,clean,tx,2,24.73333333333333
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,clean,tx,3,57.06666666666666
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,clean,tx,4,100.0
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,clean,tx,5,22.1
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_clear_weak,overall,all,21.983333333333334
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_clear_weak,tx,0,61.633333333333326
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_clear_weak,tx,1,3.5333333333333337
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_clear_weak,tx,2,2.2333333333333334
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_clear_weak,tx,3,19.566666666666666
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_clear_weak,tx,4,17.766666666666666
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_clear_weak,tx,5,27.166666666666668
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_low_elev_weak,overall,all,22.005555555555556
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_low_elev_weak,tx,0,67.4
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_low_elev_weak,tx,1,2.7
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_low_elev_weak,tx,2,1.5666666666666667
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_low_elev_weak,tx,3,16.7
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_low_elev_weak,tx,4,17.466666666666665
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_low_elev_weak,tx,5,26.200000000000003
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_rain_weak,overall,all,23.961111111111112
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_rain_weak,tx,0,71.7
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_rain_weak,tx,1,2.833333333333333
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_rain_weak,tx,2,1.9333333333333333
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_rain_weak,tx,3,17.366666666666667
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_rain_weak,tx,4,17.533333333333335
BiCAD_Quick24_r3,D0-F1-S392003,source_LORO,5000,leo_rain_weak,tx,5,32.4
