method,scope,scene,dimension,value,total,correct,accuracy_pct,macro_f1_pct
FCR_ADV3B02,target168k,clean,day,0,42000,31666,75.3952380952381,74.99277781668653
FCR_ADV3B02,target168k,clean,day,1,42000,33709,80.25952380952381,80.06759654390291
FCR_ADV3B02,target168k,clean,day,2,42000,30200,71.9047619047619,71.46445783971106
FCR_ADV3B02,target168k,clean,day,3,42000,32486,77.34761904761905,77.53706151715461
FCR_ADV3B02,target168k,clean,day_tx,0:0,7000,6145,87.78571428571429,15.582604285533156
FCR_ADV3B02,target168k,clean,day_tx,0:1,7000,3266,46.65714285714286,10.60458471329307
FCR_ADV3B02,target168k,clean,day_tx,0:2,7000,4266,60.94285714285714,12.622048641931475
FCR_ADV3B02,target168k,clean,day_tx,0:3,7000,4787,68.38571428571429,13.537513079381238
FCR_ADV3B02,target168k,clean,day_tx,0:4,7000,6990,99.85714285714286,16.65475339528234
FCR_ADV3B02,target168k,clean,day_tx,0:5,7000,6212,88.74285714285715,15.672620849732565
FCR_ADV3B02,target168k,clean,day_tx,1:0,7000,6802,97.17142857142858,16.427570883446844
FCR_ADV3B02,target168k,clean,day_tx,1:1,7000,4004,57.199999999999996,12.128922815945716
FCR_ADV3B02,target168k,clean,day_tx,1:2,7000,5312,75.88571428571429,14.381633095083387
FCR_ADV3B02,target168k,clean,day_tx,1:3,7000,4180,59.71428571428572,12.462731067382231
FCR_ADV3B02,target168k,clean,day_tx,1:4,7000,6995,99.92857142857143,16.660712159104442
FCR_ADV3B02,target168k,clean,day_tx,1:5,7000,6416,91.65714285714286,15.94116477837408
FCR_ADV3B02,target168k,clean,day_tx,2:0,7000,6767,96.67142857142858,16.384591172126584
FCR_ADV3B02,target168k,clean,day_tx,2:1,7000,2919,41.699999999999996,9.809456598447424
FCR_ADV3B02,target168k,clean,day_tx,2:2,7000,3555,50.78571428571429,11.22690667929891
FCR_ADV3B02,target168k,clean,day_tx,2:3,7000,3903,55.75714285714286,11.9324956434009
FCR_ADV3B02,target168k,clean,day_tx,2:4,7000,6988,99.82857142857144,16.65236869697836
FCR_ADV3B02,target168k,clean,day_tx,2:5,7000,6068,86.68571428571428,15.47801244770942
FCR_ADV3B02,target168k,clean,day_tx,3:0,7000,5725,81.78571428571428,14.996725605762935
FCR_ADV3B02,target168k,clean,day_tx,3:1,7000,4174,59.62857142857143,12.451524372054173
FCR_ADV3B02,target168k,clean,day_tx,3:2,7000,4232,60.457142857142856,12.559354226020893
FCR_ADV3B02,target168k,clean,day_tx,3:3,7000,5254,75.05714285714285,14.291931886186823
FCR_ADV3B02,target168k,clean,day_tx,3:4,7000,6996,99.94285714285715,16.661903400971706
FCR_ADV3B02,target168k,clean,day_tx,3:5,7000,6105,87.21428571428571,15.5284242655475
FCR_ADV3B02,target168k,clean,overall,all,168000,128061,76.22678571428571,76.09812430647328
FCR_ADV3B02,target168k,clean,receiver,0,24000,19506,81.27499999999999,79.5089454499659
FCR_ADV3B02,target168k,clean,receiver,10,24000,19428,80.95,80.63982769951366
FCR_ADV3B02,target168k,clean,receiver,11,24000,19149,79.7875,78.55507633750588
FCR_ADV3B02,target168k,clean,receiver,2,24000,14348,59.78333333333333,56.70269719874014
FCR_ADV3B02,target168k,clean,receiver,5,24000,20791,86.62916666666666,86.7933071226938
FCR_ADV3B02,target168k,clean,receiver,7,24000,16597,69.15416666666667,70.23394395457436
FCR_ADV3B02,target168k,clean,receiver,9,24000,18242,76.00833333333334,75.25897159554927
FCR_ADV3B02,target168k,clean,receiver_day,0:0,6000,4066,67.76666666666667,59.38899103735361
FCR_ADV3B02,target168k,clean,receiver_day,0:1,6000,5033,83.88333333333333,82.19317685824844
FCR_ADV3B02,target168k,clean,receiver_day,0:2,6000,5363,89.38333333333334,88.71166936032839
FCR_ADV3B02,target168k,clean,receiver_day,0:3,6000,5044,84.06666666666666,82.88964247691396
FCR_ADV3B02,target168k,clean,receiver_day,10:0,6000,5012,83.53333333333333,82.65702781118014
FCR_ADV3B02,target168k,clean,receiver_day,10:1,6000,4742,79.03333333333333,78.0003978534066
FCR_ADV3B02,target168k,clean,receiver_day,10:2,6000,4492,74.86666666666667,71.78005406902685
FCR_ADV3B02,target168k,clean,receiver_day,10:3,6000,5182,86.36666666666667,85.5262201687062
FCR_ADV3B02,target168k,clean,receiver_day,11:0,6000,4722,78.7,74.92417344964925
FCR_ADV3B02,target168k,clean,receiver_day,11:1,6000,5091,84.85000000000001,83.98713216926207
FCR_ADV3B02,target168k,clean,receiver_day,11:2,6000,4500,75.0,69.82932284980791
FCR_ADV3B02,target168k,clean,receiver_day,11:3,6000,4836,80.60000000000001,78.4457178277441
FCR_ADV3B02,target168k,clean,receiver_day,2:0,6000,3680,61.33333333333333,52.86077037534663
FCR_ADV3B02,target168k,clean,receiver_day,2:1,6000,3561,59.35,58.9113125105275
FCR_ADV3B02,target168k,clean,receiver_day,2:2,6000,3182,53.03333333333333,47.18578604362666
FCR_ADV3B02,target168k,clean,receiver_day,2:3,6000,3925,65.41666666666667,64.62421598142664
FCR_ADV3B02,target168k,clean,receiver_day,5:0,6000,5031,83.85000000000001,83.79325167420681
FCR_ADV3B02,target168k,clean,receiver_day,5:1,6000,5531,92.18333333333332,92.03021379229236
FCR_ADV3B02,target168k,clean,receiver_day,5:2,6000,5484,91.4,91.44884709477553
FCR_ADV3B02,target168k,clean,receiver_day,5:3,6000,4745,79.08333333333334,79.23460537434147
FCR_ADV3B02,target168k,clean,receiver_day,7:0,6000,5542,92.36666666666666,92.22740653183699
FCR_ADV3B02,target168k,clean,receiver_day,7:1,6000,4290,71.5,69.83052548392212
FCR_ADV3B02,target168k,clean,receiver_day,7:2,6000,2438,40.63333333333333,40.39551121586414
FCR_ADV3B02,target168k,clean,receiver_day,7:3,6000,4327,72.11666666666666,69.1723636627071
FCR_ADV3B02,target168k,clean,receiver_day,9:0,6000,3613,60.21666666666666,57.76390716129789
FCR_ADV3B02,target168k,clean,receiver_day,9:1,6000,5461,91.01666666666667,90.75909630380762
FCR_ADV3B02,target168k,clean,receiver_day,9:2,6000,4741,79.01666666666667,75.7341258391707
FCR_ADV3B02,target168k,clean,receiver_day,9:3,6000,4427,73.78333333333333,71.20601275204606
FCR_ADV3B02,target168k,clean,receiver_tx,0:0,4000,3970,99.25,16.603931409452112
FCR_ADV3B02,target168k,clean,receiver_tx,0:1,4000,1097,27.425,7.17415473154143
FCR_ADV3B02,target168k,clean,receiver_tx,0:2,4000,3133,78.325,14.640871068741532
