parameter,FCR,U0,H0,B0_392005
seed,392005,392005,392005,392005
batch_size,128,128,128,128
amp,true,true,true,false
lr,0.0002,0.0002,0.0002,0.0002
weight_decay,0.0001,0.0001,0.0001,0.0001
label_epochs,130,130,130,130
pseudo_epochs,70,70,70,70
lambda_sat_cls,0.68,0.68,0.68,0.68
sat_cons_start_epoch,80,80,80,80
lambda_proxy_unknown,0.0045,0.0045,0.0045,0.0045
proxy_unknown_component_radius_mode,"""core_quantile""","""three_sigma""","""core_quantile""","""NOT_IN_THIS_ENTRYPOINT"""
proxy_unknown_component_radius_quantile,0.8,0.8,0.8,"""NOT_IN_THIS_ENTRYPOINT"""
source_episode_radius_mode,"""min_three_sigma_core""","""three_sigma""","""min_three_sigma_core""","""NOT_IN_THIS_ENTRYPOINT"""
lambda_proto,0.0032,0.0032,0.0032,0.0032
u_unlabeled_shuffle,true,true,true,"""NOT_IN_THIS_ENTRYPOINT"""
use_crra,false,false,false,"""NOT_IN_THIS_ENTRYPOINT"""
use_muse_ssdg,false,false,false,"""NOT_IN_THIS_ENTRYPOINT"""
wisig_train_ratio,0.2,0.1,0.2,0.2
labeled_ratio,0.07,0.07,0.07,0.07
unlabeled_ratio,0.63,0.63,0.63,0.63
source_val_ratio,0.3,0.3,0.3,0.3
wisig_train_days,"""1,2,3""","""1,2,3""","""1,2,3""","""1,2,3"""
wisig_train_rxs,"""1,3,4,6,8""","""1,3,4,6,8""","""1,3,4,6,8""","""1,3,4,6,8"""
sat_view_seed,2027,2027,2027,"""NOT_IN_THIS_ENTRYPOINT"""
checkpoint_selection,"""final_only""","""final_only""","""final_only""","""NOT_IN_THIS_ENTRYPOINT"""
