row,run_path,training,evaluation,note
FCR,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/ADV3B02/ADV3B02_CORE90_SOFT_E200,E200_COMPLETE,TARGET168K_COMPLETE,CORE90名义基线；数学实现需分别核对
U0,/home/szu2070436088/2510044040/CV-SincNet/runs/core90_cross_response_s392005_20260911_r1/U0,E200_COMPLETE,TARGET168K_COMPLETE,CORE90名义基线；数学实现需分别核对
H0,/home/szu2070436088/2510044040/CV-SincNet/runs/core90_evidence_frozen_392005_20260911/H0,E200_COMPLETE,TARGET_PREDICTIONS_IN_PROGRESS,CORE90名义基线；数学实现需分别核对
B0_392005,/home/szu2070436088/2510044040/CV-SincNet/runs/core90_game_392005_300ff4a9/runs/B0_seed392005,E200_COMPLETE,TARGET168K_COMPLETE,CORE90名义基线；数学实现需分别核对
B0_392002,/home/szu2070436088/2510044040/CV-SincNet/runs/core90_game_source_20260911_d5f7e5db/runs/B0_seed392002,E200_COMPLETE,SOURCE_V_COMPLETE_TARGET_NOT_FOUND,CORE90名义基线；数学实现需分别核对
B0_392003,/home/szu2070436088/2510044040/CV-SincNet/runs/core90_game_source_20260911_d5f7e5db/runs/B0_seed392003,E200_COMPLETE,SOURCE_V_COMPLETE_TARGET_NOT_FOUND,CORE90名义基线；数学实现需分别核对
ECRS_R0,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_ecrs_v1_manysig_src5_s392005_e200_20260901_r1/ADV3B02_ECRS_R0,E21_USER_STOPPED,NO_FINAL_TARGET,共享R0曾实际训练，不能忽略，也不能计E200
D0-F1-S392001,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_bicad_xr_quick24_seed3_u5000_20260831_r3/D0-F1-S392001,U5000_E97_COMPLETE,SOURCE_LORO_ONLY,ADV3B02-compatible；不是严格历史CORE90全source重训
D0-F1-S392002,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_bicad_xr_quick24_seed3_u5000_20260831_r3/D0-F1-S392002,U5000_E97_COMPLETE,SOURCE_LORO_ONLY,ADV3B02-compatible；不是严格历史CORE90全source重训
D0-F1-S392003,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_bicad_xr_quick24_seed3_u5000_20260831_r3/D0-F1-S392003,U5000_E97_COMPLETE,SOURCE_LORO_ONLY,ADV3B02-compatible；不是严格历史CORE90全source重训
D0-F8-S392001,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_bicad_xr_quick24_seed3_u5000_20260831_r3/D0-F8-S392001,U5000_E97_COMPLETE,SOURCE_LORO_ONLY,ADV3B02-compatible；不是严格历史CORE90全source重训
D0-F8-S392002,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_bicad_xr_quick24_seed3_u5000_20260831_r3/D0-F8-S392002,U5000_E97_COMPLETE,SOURCE_LORO_ONLY,ADV3B02-compatible；不是严格历史CORE90全source重训
D0-F8-S392003,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_bicad_xr_quick24_seed3_u5000_20260831_r3/D0-F8-S392003,U5000_E97_COMPLETE,SOURCE_LORO_ONLY,ADV3B02-compatible；不是严格历史CORE90全source重训
P0-F1-S392001,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_pairbicad_p0p4_loro2_seed3_u4000_20260831_r2/P0-F1-S392001,U4000_COMPLETE,SOURCE_LORO_ONLY,PairBiCAD矩阵P0对照；不是完整target测试
P0-F1-S392002,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_pairbicad_p0p4_loro2_seed3_u4000_20260831_r2/P0-F1-S392002,U4000_COMPLETE,SOURCE_LORO_ONLY,PairBiCAD矩阵P0对照；不是完整target测试
P0-F1-S392003,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_pairbicad_p0p4_loro2_seed3_u4000_20260831_r2/P0-F1-S392003,U4000_COMPLETE,SOURCE_LORO_ONLY,PairBiCAD矩阵P0对照；不是完整target测试
P0-F8-S392001,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_pairbicad_p0p4_loro2_seed3_u4000_20260831_r2/P0-F8-S392001,U4000_COMPLETE,SOURCE_LORO_ONLY,PairBiCAD矩阵P0对照；不是完整target测试
P0-F8-S392002,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_pairbicad_p0p4_loro2_seed3_u4000_20260831_r2/P0-F8-S392002,U4000_COMPLETE,SOURCE_LORO_ONLY,PairBiCAD矩阵P0对照；不是完整target测试
P0-F8-S392003,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_pairbicad_p0p4_loro2_seed3_u4000_20260831_r2/P0-F8-S392003,U4000_COMPLETE,SOURCE_LORO_ONLY,PairBiCAD矩阵P0对照；不是完整target测试
RIEI_ALLSRC_S392002,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_riei_drift_newsplit_allsource_s392002_20260901_r1/RIEI_ALLSRC_S392002,E200_COMPLETE,TARGET168K_COMPLETE,"source实际day索引0,1,2；与CORE90不同"
DRIFT_ALLSRC_S392002,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_riei_drift_newsplit_allsource_s392002_20260901_r1/DRIFT_ALLSRC_S392002,E200_COMPLETE,TARGET168K_COMPLETE,"source实际day索引0,1,2；与CORE90不同"
RIEI_FOLD8_S392002,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_riei_drift_newsplit_fold18_s392002_20260901_r1/RIEI_FOLD8_S392002,PARTIAL_E107,NO_FINAL_FIELD,保留已运行记录；不计完成E200
RIEI_FOLD1_S392002,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_riei_drift_newsplit_fold18_s392002_20260901_r1/RIEI_FOLD1_S392002,PARTIAL_E107,NO_FINAL_FIELD,保留已运行记录；不计完成E200
DRIFT_FOLD1_S392002,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_riei_drift_newsplit_fold18_s392002_20260901_r1/DRIFT_FOLD1_S392002,PARTIAL_E120,NO_FINAL_FIELD,保留已运行记录；不计完成E200
DRIFT_FOLD8_S392002,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_riei_drift_newsplit_fold18_s392002_20260901_r1/DRIFT_FOLD8_S392002,PARTIAL_E118,NO_FINAL_FIELD,保留已运行记录；不计完成E200
FCR_V2_C0,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_v2_complete_s392005_e200_20260903_v3/C0/target_prediction/predictions.json,REUSED_FCR_CHECKPOINT,TARGET168K_RETEST_COMPLETE,四场景正确数与FCR逐项一致，不计独立重训
