run_id,title,local_report,sha256,note
P2_CANONICAL_UNION_SMOKE_V1_20260828,P2_CANONICAL_UNION_SMOKE_V1_20260828预登记,E:\type10-7\automation_reports\CV-SincNet\P2_CANONICAL_UNION_SMOKE_V1_20260828\report.md,8dcb63b61d04bed491f8245a9456140672ca99a1d26cb990e6c24aca5ebfdc5e,关联报告版本；不等同于独立CORE90基线
P2_CANONICAL_UNION_SMOKE_V1_20260828_R2,P2_CANONICAL_UNION_SMOKE_V1_20260828_R2预登记与执行记录,E:\type10-7\automation_reports\CV-SincNet\P2_CANONICAL_UNION_SMOKE_V1_20260828_R2\report.md,62ceffc0ec9090827817a6813a93b75406b6395e92256c6bbfbc90c83dc0fac4,关联报告版本；不等同于独立CORE90基线
P2_CANONICAL_UNION_SMOKE_V1_20260828_R3,P2_CANONICAL_UNION_SMOKE_V1_20260828_R3预登记与执行记录,E:\type10-7\automation_reports\CV-SincNet\P2_CANONICAL_UNION_SMOKE_V1_20260828_R3\report.md,85e15789af81961a8ddb3c178f40be519b9f0f9225f2ed566c04216e6d070637,关联报告版本；不等同于独立CORE90基线
a1_completed_results_20260909,已完成实验测试结果（2026-09-09）,E:\type10-7\automation_reports\CV-SincNet\a1_completed_results_20260909\report.md,9af5ab8af15ca52f20d6856100d0f2f01fbc75cac2f59eef9d544d657a2a2b4b,关联报告版本；不等同于独立CORE90基线
a1_completed_results_20260909_1803,已完成实验测试数据：2026-09-09 18:03,E:\type10-7\automation_reports\CV-SincNet\a1_completed_results_20260909_1803\report.md,04168c75520d1958fdf01d2d7426d71dd0626a85394ce889b6ef2ff460e6099f,关联报告版本；不等同于独立CORE90基线
a1_completed_results_20260909_2043,全部已完成实验测试数据：2026-09-09 20:43,E:\type10-7\automation_reports\CV-SincNet\a1_completed_results_20260909_2043\report.md,0f0711721925d7a525b8ac9fea21dc1cc7c1fb57ddc979c4f66c499573fcc9da,关联报告版本；不等同于独立CORE90基线
a1_ecrs_cross_rx_s392005_20260909_r1,A1结合ECRS及教师、采样和有界域混淆的八行实验,E:\type10-7\automation_reports\CV-SincNet\a1_ecrs_cross_rx_s392005_20260909_r1\report.md,7ea91ab8e26e4ff3f51c672884fa505aa84705a4aca6f8c911d325943793a409,关联报告版本；不等同于独立CORE90基线
a1_fast_matched_core90_s392005_20260908_r1,A1-Fast匹配CORE90重训实验,E:\type10-7\automation_reports\CV-SincNet\a1_fast_matched_core90_s392005_20260908_r1\report.md,d38fb7400e2b4d71e4360e1b8b66650d31eb55a819ffbc24e4fc269bc4424c56,关联报告版本；不等同于独立CORE90基线
a1_fast_matched_core90_s392005_20260908_r2,A1-Fast匹配CORE90重训实验,E:\type10-7\automation_reports\CV-SincNet\a1_fast_matched_core90_s392005_20260908_r2\report.md,b5870b20aa9dea5c2138a2af8ade74efb85aeef0ef51200adeaf22530ea47ff7,关联报告版本；不等同于独立CORE90基线
a1_fast_matched_core90_s392005_20260908_r3,A1-Fast匹配CORE90重训实验,E:\type10-7\automation_reports\CV-SincNet\a1_fast_matched_core90_s392005_20260908_r3\report.md,f57cbdc9b628dbf9d9ed23e91cce9267d8a0c7caa0c920e2c6c0b82f00266272,关联报告版本；不等同于独立CORE90基线
a1_fast_selected_adv3b02_s392005_20260908_r1,指定ADV3B02 checkpoint的A1续训,E:\type10-7\automation_reports\CV-SincNet\a1_fast_selected_adv3b02_s392005_20260908_r1\report.md,a1835063461dac08884fc6cb7e5c392e5de65146059e07278efe908061e2f0e5,关联报告版本；不等同于独立CORE90基线
a1_fast_v2_s392005_20260909_r1,A1-Fast-V2从零训练发布记录,E:\type10-7\automation_reports\CV-SincNet\a1_fast_v2_s392005_20260909_r1\report.md,4813f8fa41ddcfde64e45db00b018b11978223808d6933ee05abc58c1bca0d58,关联报告版本；不等同于独立CORE90基线
a1_r3_clean_cross_rx_s392005_20260909_r1,R3参考版＋clean跨RX身份约束,E:\type10-7\automation_reports\CV-SincNet\a1_r3_clean_cross_rx_s392005_20260909_r1\report.md,8279c28ac0a08db48d6097734dead6bc9c70cf26607cc803e67c620b48f60ac2,关联报告版本；不等同于独立CORE90基线
a1_r3_scratch_s392005_20260908_r1,A1-R3：无需checkpoint的从零训练实验,E:\type10-7\automation_reports\CV-SincNet\a1_r3_scratch_s392005_20260908_r1\report.md,3c9f65a0b1a2a8ee350baa6033c003da5685a80ee5fe0db1d82464ffd89dfd9d,关联报告版本；不等同于独立CORE90基线
a1_status_full_20260910_0912,A1实验完整状态、预计时间与测试结果,E:\type10-7\automation_reports\CV-SincNet\a1_status_full_20260910_0912\report.md,972e67d6bae4160ffad7a5a77f7de5a340f729d7337b3e2c2a8f8779d92b9ef5,关联报告版本；不等同于独立CORE90基线
adv3b02_a1_comprehensive_20260907,A1全面分析：clean优势、LEO代价与训练稳定性,E:\type10-7\automation_reports\CV-SincNet\adv3b02_a1_comprehensive_20260907\report.md,847668528db717f942956356b0a80e627d3669d2918bdda6224004b2b867468d,关联报告版本；不等同于独立CORE90基线
adv3b02_all_batches_full_report_20260908,ADV3B02全批次综合报告：A1系列、RX-V2与PAIR三seed实验,E:\type10-7\automation_reports\CV-SincNet\adv3b02_all_batches_full_report_20260908\report.md,32723d6d9a343377451a46b0c2a37e7c3e7dcdda3832df934a6945649ad3fc79,关联报告版本；不等同于独立CORE90基线
adv3b02_two_batch_full_report_20260905,ADV3B02两批优化实验完整报告,E:\type10-7\automation_reports\CV-SincNet\adv3b02_two_batch_full_report_20260905\report.md,eb513565d4f3a08fd8ddb813387da918bd83ffe260431c8e1f43dd1d126166b1,关联报告版本；不等同于独立CORE90基线
binova_d92_stagea_minimal_20260829_r1,BiNOVA-D92阶段A最小实验报告,E:\type10-7\automation_reports\CV-SincNet\binova_d92_stagea_minimal_20260829_r1\report.md,43accbae60fe9588070b31f0411e18973198925407c9487bb82bb0faa9d97eaf,关联报告版本；不等同于独立CORE90基线
bisage_d92_hist_e0_target125_20260830_v1,BiSAGE-D92历史D92 E0 Target125实验报告,E:\type10-7\automation_reports\CV-SincNet\bisage_d92_hist_e0_target125_20260830_v1\report.md,ff646c84a36bae562a9773863d9a80e4b348d905a672e540136c20adb80b3eb7,关联报告版本；不等同于独立CORE90基线
bisage_d92_hist_e0_target125_20260830_v1_techfix1,BiSAGE-D92历史D92 E0 Target125技术修复1实验报告,E:\type10-7\automation_reports\CV-SincNet\bisage_d92_hist_e0_target125_20260830_v1_techfix1\report.md,77bfbf994ba7e4bb5f7f84c9f9ecb4ab3ee680ad45744e2f46958d19a1055721,关联报告版本；不等同于独立CORE90基线
core90_cross_response_s392005_20260911_r1,CORE90交叉响应复验与正式实验发布,E:\type10-7\automation_reports\CV-SincNet\core90_cross_response_s392005_20260911_r1\report.md,f64a13e00369e048ec052ff5fac9aa45f993986d1c97867af2585db3a307a01f,关联报告版本；不等同于独立CORE90基线
core90_evidence_frozen_392005_20260911,CORE90证据头复验与N607发布,E:\type10-7\automation_reports\CV-SincNet\core90_evidence_frozen_392005_20260911\report.md,7aa5e9f019c612e1a24422e6ed6bf1b2ca7384aca206a2e7fe5c9f81777eafa2,关联报告版本；不等同于独立CORE90基线
core90_game_source_20260911_d5f7e5db,CORE90博弈追踪实施与验收,E:\type10-7\automation_reports\CV-SincNet\core90_game_source_20260911_d5f7e5db\report.md,d12df55841e7e8740881b2b4f4ca49fe86c3da39108a58e4e2002f32d194fbb0,关联报告版本；不等同于独立CORE90基线
marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r1,MARC-OT K10 Target5首轮报告,E:\type10-7\automation_reports\CV-SincNet\marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r1\report.md,8bfa94bd5a69826d91a252c4469c727768c7f2289e4ce4ec181ac75f479ed3b6,关联报告版本；不等同于独立CORE90基线
marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r2,MARC-OT K10 Target5技术修复重发报告,E:\type10-7\automation_reports\CV-SincNet\marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r2\report.md,eceba01488d71be4d9e42e30abf2243921b9e7a46aa1d1ea77777bf4b0d658f2,关联报告版本；不等同于独立CORE90基线
marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r3,MARC-OT K10 Target5共享Sinc兼容重发报告,E:\type10-7\automation_reports\CV-SincNet\marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r3\report.md,41336102c0c885d9c4846c4c2bc28e121bc0fd5982690bdd1f492e2a05e39b9e,关联报告版本；不等同于独立CORE90基线
marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r5,MARC-OT Target5/K10 r5最小预登记,E:\type10-7\automation_reports\CV-SincNet\marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r5\report.md,c78b66009d3db524c315bc4f28bcd3854776be75a7628b69c955dd2fc17e798f,关联报告版本；不等同于独立CORE90基线
marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r6,MARC-OT Target5/K10 r6并行pilot最小预登记,E:\type10-7\automation_reports\CV-SincNet\marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r6\report.md,0e5df54c9aa54eaa095d1755e0f8011451ea196b7e60a37c8f3f196622c72c50,关联报告版本；不等同于独立CORE90基线
marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r7,MARC-OT K10 Target5替代实验r7,E:\type10-7\automation_reports\CV-SincNet\marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r7\report.md,4cf894eef985b62981042aebde290f5a310c55b0e158b9138c36440fc7e8fa44,关联报告版本；不等同于独立CORE90基线
marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r8,MARC-OT K10 Target5替代实验r8,E:\type10-7\automation_reports\CV-SincNet\marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r8\report.md,dc4d86d3aaa1669e69cef182bac248f22f5a1049c8346fab68766af8c0d5b052,关联报告版本；不等同于独立CORE90基线
marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r9,MARC-OT K10 Target5替代实验r9,E:\type10-7\automation_reports\CV-SincNet\marc_ot_k10_target5_r0r1r2r4r6r8_20260901_r9\report.md,4e8b822b560432241bfe461bc79be0bd8850bdae0d8fa3c606eb19605b49ff2a,关联报告版本；不等同于独立CORE90基线
mechanism_activation_audit_20260910,对话内实验的机制启用与效果审计,E:\type10-7\automation_reports\CV-SincNet\mechanism_activation_audit_20260910\report.md,459be17ab90501419f142ac81c0f3c4e2c0646430129470805575c6c488e5740,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_bicad_xr_quick24_seed3_u5000_20260831_r1,Phase1 ADV3B02-BiCAD-XR Quick24正式实验报告,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_bicad_xr_quick24_seed3_u5000_20260831_r1\report.md,e3ed4506767e5931f1ccf97be7135fe1a0a99828f2d48338c7dcac25db8e8003,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_bicad_xr_quick24_seed3_u5000_20260831_r2,Phase1 ADV3B02-BiCAD-XR Quick24正式实验报告（r2）,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_bicad_xr_quick24_seed3_u5000_20260831_r2\report.md,111aa5eeba5a301d2bb2a31da31520c86eb4bd2ff866f6f0b422a0257879f6f9,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_bicad_xr_quick24_seed3_u5000_20260831_r3,Phase1 ADV3B02-BiCAD-XR Quick24正式实验报告（r3）,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_bicad_xr_quick24_seed3_u5000_20260831_r3\report.md,db91d5f45955442c69dd9924013bfc533b6aee3564acdd6e4418f3a2a67d22c5,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_completed19_test_20260907_v1,已完成19行目标域诊断测试结果,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_completed19_test_20260907_v1\report.md,e5c73317126808ab72b240a5b2eb5cb09cf9ee14e9ce1c6c17c5ca43eb9e6c88,关联报告版本；不等同于独立CORE90基线
