run,scope,scene,dimension,value,total,accuracy_pct
B0_392005,source_V_27000,clean,overall,all,27000,98.21481481481482
B0_392005,source_V_27000,clean,receiver,1,5400,99.6111111111111
B0_392005,source_V_27000,clean,receiver,3,5400,95.7962962962963
B0_392005,source_V_27000,clean,receiver,4,5400,98.55555555555556
B0_392005,source_V_27000,clean,receiver,6,5400,99.59259259259258
B0_392005,source_V_27000,clean,receiver,8,5400,97.51851851851852
B0_392005,source_V_27000,clean,day,1,9000,98.06666666666666
B0_392005,source_V_27000,clean,day,2,9000,98.62222222222222
B0_392005,source_V_27000,clean,day,3,9000,97.95555555555555
B0_392005,source_V_27000,clean,tx,0,4500,98.37777777777778
B0_392005,source_V_27000,clean,tx,1,4500,97.95555555555555
B0_392005,source_V_27000,clean,tx,2,4500,98.93333333333332
B0_392005,source_V_27000,clean,tx,3,4500,95.55555555555556
B0_392005,source_V_27000,clean,tx,4,4500,99.17777777777778
B0_392005,source_V_27000,clean,tx,5,4500,99.28888888888889
B0_392005,source_V_27000,leo_clear_weak,overall,all,27000,87.96296296296296
B0_392005,source_V_27000,leo_clear_weak,receiver,1,5400,96.12962962962963
B0_392005,source_V_27000,leo_clear_weak,receiver,3,5400,78.14814814814814
B0_392005,source_V_27000,leo_clear_weak,receiver,4,5400,89.01851851851852
B0_392005,source_V_27000,leo_clear_weak,receiver,6,5400,96.48148148148148
B0_392005,source_V_27000,leo_clear_weak,receiver,8,5400,80.03703703703704
B0_392005,source_V_27000,leo_clear_weak,day,1,9000,87.37777777777778
B0_392005,source_V_27000,leo_clear_weak,day,2,9000,88.42222222222222
B0_392005,source_V_27000,leo_clear_weak,day,3,9000,88.08888888888889
B0_392005,source_V_27000,leo_clear_weak,tx,0,4500,72.77777777777777
B0_392005,source_V_27000,leo_clear_weak,tx,1,4500,83.22222222222221
B0_392005,source_V_27000,leo_clear_weak,tx,2,4500,97.82222222222222
B0_392005,source_V_27000,leo_clear_weak,tx,3,4500,77.11111111111111
B0_392005,source_V_27000,leo_clear_weak,tx,4,4500,97.97777777777777
B0_392005,source_V_27000,leo_clear_weak,tx,5,4500,98.86666666666667
B0_392005,source_V_27000,leo_low_elev_weak,overall,all,27000,84.82592592592593
B0_392005,source_V_27000,leo_low_elev_weak,receiver,1,5400,92.07407407407408
B0_392005,source_V_27000,leo_low_elev_weak,receiver,3,5400,75.57407407407408
B0_392005,source_V_27000,leo_low_elev_weak,receiver,4,5400,85.42592592592592
B0_392005,source_V_27000,leo_low_elev_weak,receiver,6,5400,93.51851851851852
B0_392005,source_V_27000,leo_low_elev_weak,receiver,8,5400,77.53703703703704
B0_392005,source_V_27000,leo_low_elev_weak,day,1,9000,83.46666666666667
B0_392005,source_V_27000,leo_low_elev_weak,day,2,9000,85.92222222222222
B0_392005,source_V_27000,leo_low_elev_weak,day,3,9000,85.08888888888889
B0_392005,source_V_27000,leo_low_elev_weak,tx,0,4500,68.93333333333334
B0_392005,source_V_27000,leo_low_elev_weak,tx,1,4500,77.95555555555555
B0_392005,source_V_27000,leo_low_elev_weak,tx,2,4500,96.2
B0_392005,source_V_27000,leo_low_elev_weak,tx,3,4500,70.19999999999999
B0_392005,source_V_27000,leo_low_elev_weak,tx,4,4500,97.46666666666667
B0_392005,source_V_27000,leo_low_elev_weak,tx,5,4500,98.2
B0_392005,source_V_27000,leo_rain_weak,overall,all,27000,84.52592592592593
B0_392005,source_V_27000,leo_rain_weak,receiver,1,5400,92.64814814814815
B0_392005,source_V_27000,leo_rain_weak,receiver,3,5400,75.18518518518519
B0_392005,source_V_27000,leo_rain_weak,receiver,4,5400,85.4074074074074
B0_392005,source_V_27000,leo_rain_weak,receiver,6,5400,92.74074074074075
B0_392005,source_V_27000,leo_rain_weak,receiver,8,5400,76.64814814814814
B0_392005,source_V_27000,leo_rain_weak,day,1,9000,84.42222222222222
B0_392005,source_V_27000,leo_rain_weak,day,2,9000,84.93333333333334
B0_392005,source_V_27000,leo_rain_weak,day,3,9000,84.22222222222221
B0_392005,source_V_27000,leo_rain_weak,tx,0,4500,70.86666666666666
B0_392005,source_V_27000,leo_rain_weak,tx,1,4500,75.55555555555556
B0_392005,source_V_27000,leo_rain_weak,tx,2,4500,96.13333333333334
B0_392005,source_V_27000,leo_rain_weak,tx,3,4500,68.4888888888889
B0_392005,source_V_27000,leo_rain_weak,tx,4,4500,97.66666666666667
B0_392005,source_V_27000,leo_rain_weak,tx,5,4500,98.44444444444444
B0_392002,source_V_27000,clean,overall,all,27000,98.04074074074074
B0_392002,source_V_27000,clean,receiver,1,5400,99.46296296296296
B0_392002,source_V_27000,clean,receiver,3,5400,95.12962962962963
B0_392002,source_V_27000,clean,receiver,4,5400,98.5
B0_392002,source_V_27000,clean,receiver,6,5400,99.53703703703704
B0_392002,source_V_27000,clean,receiver,8,5400,97.57407407407406
B0_392002,source_V_27000,clean,day,1,9000,98.07777777777777
B0_392002,source_V_27000,clean,day,2,9000,98.35555555555555
B0_392002,source_V_27000,clean,day,3,9000,97.6888888888889
B0_392002,source_V_27000,clean,tx,0,4500,98.6888888888889
B0_392002,source_V_27000,clean,tx,1,4500,97.55555555555556
B0_392002,source_V_27000,clean,tx,2,4500,98.75555555555555
B0_392002,source_V_27000,clean,tx,3,4500,95.19999999999999
B0_392002,source_V_27000,clean,tx,4,4500,98.86666666666667
B0_392002,source_V_27000,clean,tx,5,4500,99.17777777777778
B0_392002,source_V_27000,leo_clear_weak,overall,all,27000,89.45185185185184
B0_392002,source_V_27000,leo_clear_weak,receiver,1,5400,95.66666666666667
B0_392002,source_V_27000,leo_clear_weak,receiver,3,5400,80.35185185185185
B0_392002,source_V_27000,leo_clear_weak,receiver,4,5400,90.87037037037037
B0_392002,source_V_27000,leo_clear_weak,receiver,6,5400,95.66666666666667
B0_392002,source_V_27000,leo_clear_weak,receiver,8,5400,84.70370370370371
B0_392002,source_V_27000,leo_clear_weak,day,1,9000,88.9
B0_392002,source_V_27000,leo_clear_weak,day,2,9000,90.46666666666667
B0_392002,source_V_27000,leo_clear_weak,day,3,9000,88.98888888888888
B0_392002,source_V_27000,leo_clear_weak,tx,0,4500,81.28888888888889
B0_392002,source_V_27000,leo_clear_weak,tx,1,4500,82.17777777777778
B0_392002,source_V_27000,leo_clear_weak,tx,2,4500,95.35555555555555
B0_392002,source_V_27000,leo_clear_weak,tx,3,4500,82.91111111111111
B0_392002,source_V_27000,leo_clear_weak,tx,4,4500,96.44444444444444
B0_392002,source_V_27000,leo_clear_weak,tx,5,4500,98.53333333333333
B0_392002,source_V_27000,leo_low_elev_weak,overall,all,27000,85.48518518518519
B0_392002,source_V_27000,leo_low_elev_weak,receiver,1,5400,90.5925925925926
B0_392002,source_V_27000,leo_low_elev_weak,receiver,3,5400,76.27777777777777
B0_392002,source_V_27000,leo_low_elev_weak,receiver,4,5400,87.62962962962963
