row,scene,group_type,group_id,count,accuracy_percent,macro_recall_percent,macro_f1_percent,worst_tx_accuracy_percent
B0,clean,overall,all,27000,98.21481481481482,98.21481481481482,98.21278715245315,95.55555555555556
B0,clean,rx,1,5400,99.6111111111111,99.6111111111111,99.61091153070366,98.88888888888889
B0,clean,rx,3,5400,95.7962962962963,95.79629629629629,95.78896448607294,92.55555555555556
B0,clean,rx,4,5400,98.55555555555556,98.55555555555556,98.55290229781039,95.66666666666667
B0,clean,rx,6,5400,99.59259259259258,99.59259259259258,99.59243602321935,98.66666666666667
B0,clean,rx,8,5400,97.51851851851852,97.51851851851852,97.50513571456942,90.66666666666666
B0,clean,day,1,9000,98.06666666666666,98.06666666666666,98.06362517379553,94.6
B0,clean,day,2,9000,98.62222222222222,98.62222222222222,98.62075198019912,96.66666666666667
B0,clean,day,3,9000,97.95555555555555,97.95555555555556,97.9543477902807,95.39999999999999
B0,clean,tx,0,4500,98.37777777777778,,,
B0,clean,tx,1,4500,97.95555555555555,,,
B0,clean,tx,2,4500,98.93333333333332,,,
B0,clean,tx,3,4500,95.55555555555556,,,
B0,clean,tx,4,4500,99.17777777777778,,,
B0,clean,tx,5,4500,99.28888888888889,,,
B0,leo_clear_weak,overall,all,27000,87.96296296296296,87.96296296296296,87.83865506652789,72.77777777777777
B0,leo_clear_weak,rx,1,5400,96.12962962962963,96.12962962962963,96.12886143301797,90.0
B0,leo_clear_weak,rx,3,5400,78.14814814814814,78.14814814814815,77.53215177006511,51.11111111111111
B0,leo_clear_weak,rx,4,5400,89.01851851851852,89.01851851851852,88.57835682834288,54.888888888888886
B0,leo_clear_weak,rx,6,5400,96.48148148148148,96.48148148148148,96.47486257588587,89.22222222222223
B0,leo_clear_weak,rx,8,5400,80.03703703703704,80.03703703703704,79.34658165401048,54.22222222222223
B0,leo_clear_weak,day,1,9000,87.37777777777778,87.37777777777778,87.22740076630613,69.6
B0,leo_clear_weak,day,2,9000,88.42222222222222,88.42222222222222,88.2641477427963,69.66666666666667
