row,batch,status,unique_mechanism,teacher_views,lambda_tangent,lambda_route,lambda_rx,lambda_tail,lambda_nuisance,lambda_fingerprint,lambda_subspace,claim_boundary
A1,V1,ANALYZED,"clean+medium两fresh教师，均值聚合",2,0,0,0,0,0,0,0,"完成；域判别失衡与训练塌陷史限制归因"
A2,V1,ANALYZED,"A1+hard视图，三fresh教师上界",3,0,0,0,0,0,0,0,"性能上界实验，不是默认实现"
A3,V1,ANALYZED,"A2+部署加权鲁棒球面聚合",3,0,0,0,0,0,0,0,"性能上界实验，不是默认实现"
A4,V1,ANALYZED,"A3+单参数tangent",3,0.05,0,0,0,0,0,0,"单seed相邻对照"
A5,V1,ANALYZED,"A3+协方差随机方向tangent",3,0.05,0,0,0,0,0,0,"单seed相邻对照"
A6,V1,ANALYZED,"A3+分支选择性tangent+nuisance",3,0.05,0,0,0,0.10,0,0,"多项同时变化"
A7,V1,ANALYZED,"A6+fingerprint keep",3,0.05,0,0,0,0.10,0.10,0,"单seed相邻对照"
P1,RX-V2,ANALYZED,"两fresh+Temporal Orbit Memory+连续U可信度+结构化batch",2,0,0,0,0,0,0,0,"RX-V2共同基础"
P2,RX-V2,ANALYZED,"P1+预算化tangent",2,0.035,0,0,0,0,0,0,"单seed相邻对照"
P3,RX-V2,ANALYZED,"P2+Directional Jacobian Routing",2,0.035,0.05,0,0,0,0,0,"单seed相邻对照"
P4,RX-V2,ANALYZED,"P3+同TX同激励桶跨RX对齐",2,0.035,0.05,0.075,0,0,0,0,"单seed相邻对照"
P5,RX-V2,STOPPED_EARLY_SYSTEMIC_TECHNICAL_FAILURE,"P4+receiver×severity尾部CVaR",2,0.035,0.05,0.075,0.10,0,0,0,"E10失败；tail尚未进入有效阶段；无性能结果"
E1,RX-V2-OPTIONAL,ANALYZED,"P5配置+批量identity-only教师前向",2,0.035,0.05,0.075,0.10,0,0,0,"P5失败，缺少严格效率A/B"
R1,RX-V2-OPTIONAL,ANALYZED,"E1+选择性nuisance子空间开关",2,0.035,0.05,0.075,0.10,0,0,0.05,"basis未安装且loss为0，不能归因于子空间"
