rung,gpu,phase,planned_start_epoch,planned_end_epoch,observed_start_epoch,observed_end_epoch,observed_epoch_count,mean_train_loss,mean_train_tx_acc,mean_val_tx_acc,std_val_tx_acc,best_val_tx_acc,best_val_epoch,mean_val_dom_acc,mean_epoch_time_s,skipped_backward_batches_in_phase
R1,0,P1_E1_40_clear_p030_sat_ce_off,1,40,1,40,40,8.933443666791188,60.261546024659864,89.83638888888889,13.782513453801423,96.12222222222222,36,48.736296296296295,393.90682009004524,4
R1,0,P2_E41_79_low_rain_p060_sat_ce_off,41,79,41,79,39,6.446513069137611,78.24664020255538,96.84140550807217,0.41580731984442854,97.5111111111111,79,69.93057929724596,386.4467925585042,8
R1,0,P3_E80_90_low_rain_p060_sat_ce_on,80,90,80,90,11,9.694610580966271,79.353085263663,97.44107744107745,0.13233633985508386,97.64444444444445,87,74.51380471380472,397.28037652745843,3
R1,0,P4_E91_200_all_leo_p080_sat_ce_on,91,200,91,123,33,9.74274493762511,81.37023334428469,97.6395061728395,0.21365159730205746,97.87407407407407,101,76.85353535353535,342.2759704173571,7
R2,1,P1_E1_40_clear_p030_sat_ce_off,1,40,1,40,40,8.88776655270172,60.58444276147959,90.09222222222222,13.585215963908833,96.27037037037037,38,48.31472222222222,417.8467179645551,4
R2,1,P2_E41_79_low_rain_p060_sat_ce_off,41,79,41,79,39,6.447769665198761,78.35326488367782,96.93333333333334,0.4342877811221468,97.48518518518519,79,69.40588793922127,421.1360485791348,3
R2,1,P3_E80_90_low_rain_p060_sat_ce_on,80,90,80,90,11,9.682730083341722,79.58603896103897,97.54646464646466,0.1166444850913777,97.6962962962963,85,74.4090909090909,384.184968651103,0
R2,1,P4_E91_200_all_leo_p080_sat_ce_on,91,200,91,116,26,9.763090930973517,81.69715433099385,97.66823361823361,0.16675445614461354,97.88888888888889,113,76.4920227920228,348.39778571692295,6
R3,2,P1_E1_40_clear_p030_sat_ce_off,1,40,1,40,40,8.91020379423004,60.363877484587576,90.06296296296296,13.555643101134539,96.25555555555556,38,48.24814814814815,417.6544546119752,4
R3,2,P2_E41_79_low_rain_p060_sat_ce_off,41,79,41,69,29,6.563971196783,78.45053228726835,96.83703703703704,0.3644755761641967,97.41851851851852,67,68.3360153256705,1015.2524455612814,4
R4,3,P1_E1_40_clear_p030_sat_ce_off,1,40,1,40,40,8.93354437346428,60.29692980707908,90.05175925925926,13.423698750661082,96.1037037037037,38,48.52953703703704,423.0226911942009,4
R4,3,P2_E41_79_low_rain_p060_sat_ce_off,41,79,41,66,26,6.7177445915213525,78.13957091441834,96.73945868945869,0.4228675280640732,97.45925925925926,65,67.97977207977208,1118.9622699579475,4
R5,4,P1_E1_40_clear_p030_sat_ce_off,1,40,1,40,40,8.91752780686122,60.344653486394556,90.05324074074073,13.611259004888062,96.37407407407407,38,48.384537037037035,425.98908676604043,4
R5,4,P2_E41_79_low_rain_p060_sat_ce_off,41,79,41,67,27,6.670713124654551,78.38059413580247,96.77517146776407,0.309311398124313,97.4074074074074,64,68.38888888888889,1084.3403579373155,2
R6,5,P1_E1_40_clear_p030_sat_ce_off,1,40,1,40,40,8.925039981127558,60.337171489689624,89.96018518518518,13.850934268606455,96.25925925925925,40,48.35722222222222,423.2775278990157,4
R6,5,P2_E41_79_low_rain_p060_sat_ce_off,41,79,41,66,26,6.738222643128712,78.0566125188056,96.75313390313391,0.32151381013024,97.38148148148149,66,67.44344729344729,1141.0224225864781,3
R7,6,P1_E1_40_clear_p030_sat_ce_off,1,40,1,40,40,8.924865528347826,60.295094600340136,89.90611111111112,13.67139672544861,96.21481481481482,38,48.50296296296297,432.429051715706,5
R7,6,P2_E41_79_low_rain_p060_sat_ce_off,41,79,41,63,23,6.823324558690644,77.54881079469831,96.55169082125603,0.27157950711157397,97.17037037037036,62,67.66876006441224,1255.8677090302353,2
R8,7,P1_E1_40_clear_p030_sat_ce_off,1,40,1,40,40,8.902254681162486,60.34503547512755,89.85861111111112,13.768850432290806,96.23703703703704,38,49.00527777777778,432.4052944760071,4
R8,7,P2_E41_79_low_rain_p060_sat_ce_off,41,79,41,65,25,6.726856007065091,78.17645886479592,96.65333333333334,0.3427143594080802,97.25555555555556,64,68.31451851851851,1145.693531178776,1
