rung,gpu,checkpoint_kind,scenario,status,tx_acc,strict_udu_tx_acc,seen_day_unseen_rx_tx_acc,unseen_day_unseen_rx_tx_acc,worst_rx_tx_acc,primary_ood_score,correct,total,selected_val_tx_acc
R1,0,epoch200_latest,clean,COMPLETE,78.83035714285714,,79.75,76.06,65.31111111111112,77.44613095238094,132435,168000,
R1,0,epoch200_latest,leo_clear_weak,COMPLETE,51.62,49.26,,,,,86721,168000,
R1,0,epoch200_latest,leo_low_elev_weak,COMPLETE,50.41,48.48,,,,,84683,168000,
R1,0,epoch200_latest,leo_rain_weak,COMPLETE,50.6,48.88,,,,,85016,168000,
R1,0,selected_best,clean,COMPLETE,78.8,,79.61,76.39,,,132388,168000,98.0
R1,0,selected_best,leo_clear_weak,PENDING_EVALUATION,,,,,,,,,
R1,0,selected_best,leo_low_elev_weak,PENDING_EVALUATION,,,,,,,,,
R1,0,selected_best,leo_rain_weak,PENDING_EVALUATION,,,,,,,,,
R2,1,epoch200_latest,clean,COMPLETE,79.29285714285714,,80.5,75.68,66.46111111111111,77.4857142857143,133212,168000,
R2,1,epoch200_latest,leo_clear_weak,COMPLETE,52.02,49.45,,,,,87390,168000,
R2,1,epoch200_latest,leo_low_elev_weak,COMPLETE,50.84,48.35,,,,,85411,168000,
R2,1,epoch200_latest,leo_rain_weak,COMPLETE,51.1,49.27,,,,,85852,168000,
R2,1,selected_best,clean,COMPLETE,78.61,,79.5,75.93,,,132065,168000,98.02
R2,1,selected_best,leo_clear_weak,COMPLETE,51.42,48.8,,,,,86394,168000,98.02
R2,1,selected_best,leo_low_elev_weak,COMPLETE,50.27,47.87,,,,,84447,168000,98.02
R2,1,selected_best,leo_rain_weak,COMPLETE,50.58,48.57,,,,,84980,168000,98.02
R3,2,epoch200_latest,clean,PENDING_E200,,,,,,,,,
R3,2,epoch200_latest,leo_clear_weak,PENDING_E200,,,,,,,,,
R3,2,epoch200_latest,leo_low_elev_weak,PENDING_E200,,,,,,,,,
R3,2,epoch200_latest,leo_rain_weak,PENDING_E200,,,,,,,,,
R3,2,selected_best,clean,PENDING_E200,,,,,,,,,
R3,2,selected_best,leo_clear_weak,PENDING_E200,,,,,,,,,
R3,2,selected_best,leo_low_elev_weak,PENDING_E200,,,,,,,,,
R3,2,selected_best,leo_rain_weak,PENDING_E200,,,,,,,,,
R4,3,epoch200_latest,clean,PENDING_E200,,,,,,,,,
R4,3,epoch200_latest,leo_clear_weak,PENDING_E200,,,,,,,,,
R4,3,epoch200_latest,leo_low_elev_weak,PENDING_E200,,,,,,,,,
R4,3,epoch200_latest,leo_rain_weak,PENDING_E200,,,,,,,,,
R4,3,selected_best,clean,PENDING_E200,,,,,,,,,
R4,3,selected_best,leo_clear_weak,PENDING_E200,,,,,,,,,
R4,3,selected_best,leo_low_elev_weak,PENDING_E200,,,,,,,,,
R4,3,selected_best,leo_rain_weak,PENDING_E200,,,,,,,,,
R5,4,epoch200_latest,clean,PENDING_E200,,,,,,,,,
R5,4,epoch200_latest,leo_clear_weak,PENDING_E200,,,,,,,,,
R5,4,epoch200_latest,leo_low_elev_weak,PENDING_E200,,,,,,,,,
R5,4,epoch200_latest,leo_rain_weak,PENDING_E200,,,,,,,,,
R5,4,selected_best,clean,PENDING_E200,,,,,,,,,
R5,4,selected_best,leo_clear_weak,PENDING_E200,,,,,,,,,
R5,4,selected_best,leo_low_elev_weak,PENDING_E200,,,,,,,,,
R5,4,selected_best,leo_rain_weak,PENDING_E200,,,,,,,,,
R6,5,epoch200_latest,clean,PENDING_E200,,,,,,,,,
R6,5,epoch200_latest,leo_clear_weak,PENDING_E200,,,,,,,,,
R6,5,epoch200_latest,leo_low_elev_weak,PENDING_E200,,,,,,,,,
R6,5,epoch200_latest,leo_rain_weak,PENDING_E200,,,,,,,,,
R6,5,selected_best,clean,PENDING_E200,,,,,,,,,
R6,5,selected_best,leo_clear_weak,PENDING_E200,,,,,,,,,
R6,5,selected_best,leo_low_elev_weak,PENDING_E200,,,,,,,,,
R6,5,selected_best,leo_rain_weak,PENDING_E200,,,,,,,,,
R7,6,epoch200_latest,clean,PENDING_E200,,,,,,,,,
R7,6,epoch200_latest,leo_clear_weak,PENDING_E200,,,,,,,,,
R7,6,epoch200_latest,leo_low_elev_weak,PENDING_E200,,,,,,,,,
R7,6,epoch200_latest,leo_rain_weak,PENDING_E200,,,,,,,,,
R7,6,selected_best,clean,PENDING_E200,,,,,,,,,
R7,6,selected_best,leo_clear_weak,PENDING_E200,,,,,,,,,
R7,6,selected_best,leo_low_elev_weak,PENDING_E200,,,,,,,,,
R7,6,selected_best,leo_rain_weak,PENDING_E200,,,,,,,,,
R8,7,epoch200_latest,clean,PENDING_E200,,,,,,,,,
R8,7,epoch200_latest,leo_clear_weak,PENDING_E200,,,,,,,,,
R8,7,epoch200_latest,leo_low_elev_weak,PENDING_E200,,,,,,,,,
R8,7,epoch200_latest,leo_rain_weak,PENDING_E200,,,,,,,,,
R8,7,selected_best,clean,PENDING_E200,,,,,,,,,
R8,7,selected_best,leo_clear_weak,PENDING_E200,,,,,,,,,
R8,7,selected_best,leo_low_elev_weak,PENDING_E200,,,,,,,,,
R8,7,selected_best,leo_rain_weak,PENDING_E200,,,,,,,,,
