row,epoch,family,metric,value
B0,1,LOSS-CORE-RAW,total,16.1186
B0,1,LOSS-CORE-RAW,cls,12.4525
B0,1,LOSS-CORE-RAW,dom,2.7149
B0,1,LOSS-CORE-RAW,adv,2.7179
B0,1,LOSS-CORE-RAW,orth,0.0006
B0,1,LOSS-CORE-RAW,cons,0.266
B0,1,LOSS-CORE-RAW,group_ce,12.9082
B0,1,LOSS-CORE-W,cls,12.4525
B0,1,LOSS-CORE-W,dom,2.7149
B0,1,LOSS-CORE-W,adv,0.9513
B0,1,LOSS-CORE-W,orth,0.0
B0,1,LOSS-CORE-W,cons,0.0
B0,1,LOSS-CORE-W,group_ce,0.0
B0,1,LOSS-AUX-RAW,cls_pa,0.0
B0,1,LOSS-AUX-RAW,cls_dac,0.0
B0,1,LOSS-AUX-RAW,pa_joint_inv,0.0
B0,1,LOSS-AUX-RAW,pa_kl,0.0
B0,1,LOSS-AUX-RAW,dac_reg,0.0
B0,1,LOSS-AUX-RAW,pa_reg,0.0
B0,1,LOSS-AUX-RAW,gap_dac,0.0
B0,1,LOSS-AUX-RAW,gap_pa,0.0
B0,1,LOSS-AUX-RAW,cos_joint_pa,nan
B0,1,LOSS-AUX-RAW,cos_imp_pa,nan
B0,1,LOSS-AUX-W,cls_pa,0.0
B0,1,LOSS-AUX-W,cls_dac,0.0
B0,1,LOSS-AUX-W,pa_joint_inv,0.0
B0,1,LOSS-AUX-W,pa_kl,0.0
B0,1,LOSS-AUX-W,dac_reg,0.0
B0,1,LOSS-AUX-W,pa_reg,0.0
B0,1,LOSS-SAT-RAW,cls_sat,12.483
B0,1,LOSS-SAT-RAW,sat_cons,0.0
B0,1,LOSS-SAT-RAW,sat_cos,nan
B0,1,LOSS-SAT-W,cls_sat,0.0
B0,1,LOSS-SAT-W,sat_cons,0.0
B0,1,LOSS-DG-RAW,proto,0.0
B0,1,LOSS-DG-RAW,proto_cos,nan
B0,1,LOSS-DG-RAW,supcon,0.0
B0,1,LOSS-DG-RAW,fishr,0.0
B0,1,LOSS-DG-RAW,feature_norm,59.6944
B0,1,LOSS-DG-RAW,z_id_norm,7.4919
B0,1,LOSS-DG-W,proto,0.0
B0,1,LOSS-DG-W,supcon,0.0
B0,1,LOSS-DG-W,fishr,0.0
B0,1,LOSS-DG-W,ow_feat,0.0
B0,1,LOSS-DG-W,feature_norm,0.0
B0,1,LOSS-OW-FEAT,loss,0.0
B0,1,LOSS-OW-FEAT,compact,0.0
B0,1,LOSS-OW-FEAT,inter,0.0
B0,1,LOSS-OW-FEAT,sample_margin,0.0
B0,1,LOSS-OW-FEAT,domain_align,0.0
B0,1,LOSS-OW-FEAT,active_cls,0.0
B0,1,LOSS-OW-FEAT,pos_deg,nan
B0,1,LOSS-OW-FEAT,min_inter_deg,nan
B0,1,LOSS-META-SSL,tx,0.0
B0,1,LOSS-META-SSL,proto,0.0
B0,1,LOSS-META-SSL,dom,0.0
B0,1,LOSS-META-SSL,adv,0.0
B0,1,LOSS-META-SSL,coverage,0.0
B0,1,LOSS-META-SSL,accepted,0.0
B0,1,LOSS-META-SSL,proto_agree,nan
B0,1,LOSS-META-SSL,teacher_conf,nan
B0,1,LOSS-META-SSL,active_proto,0.0
B0,1,LOSS-META-SSL-W,tx,0.0
B0,1,LOSS-META-SSL-W,proto,0.0
B0,1,LOSS-META-SSL-W,dom,0.0
B0,1,LOSS-META-SSL-W,adv,0.0
B0,1,LOSS-WEIGHT,dom,1.0
B0,1,LOSS-WEIGHT,adv,0.7
B0,1,LOSS-WEIGHT,orth,0.5
B0,1,LOSS-WEIGHT,cons,0.0
B0,1,LOSS-WEIGHT,group_ce,0.5
B0,1,LOSS-WEIGHT,aux_scale,0.0
B0,1,LOSS-TOP,cls,12.4525
B0,1,LOSS-TOP,dom,2.7149
B0,1,LOSS-TOP,adv,0.9513
B0,1,LOSS-TOP,orth,0.0
B0,1,GRAD,total,1.272
B0,1,GRAD,backbone,1.0
B0,1,GRAD,aux,0.61
B0,1,GRAD,domain,0.483
B0,2,LOSS-CORE-RAW,total,15.5639
B0,2,LOSS-CORE-RAW,cls,11.9361
B0,2,LOSS-CORE-RAW,dom,2.6784
B0,2,LOSS-CORE-RAW,adv,2.7126
B0,2,LOSS-CORE-RAW,orth,0.0006
B0,2,LOSS-CORE-RAW,cons,0.2223
B0,2,LOSS-CORE-RAW,group_ce,12.2584
B0,2,LOSS-CORE-W,cls,11.9361
B0,2,LOSS-CORE-W,dom,2.6784
B0,2,LOSS-CORE-W,adv,0.9494
B0,2,LOSS-CORE-W,orth,0.0
B0,2,LOSS-CORE-W,cons,0.0
B0,2,LOSS-CORE-W,group_ce,0.0
B0,2,LOSS-AUX-RAW,cls_pa,0.0
B0,2,LOSS-AUX-RAW,cls_dac,0.0
B0,2,LOSS-AUX-RAW,pa_joint_inv,0.0
B0,2,LOSS-AUX-RAW,pa_kl,0.0
B0,2,LOSS-AUX-RAW,dac_reg,0.0
B0,2,LOSS-AUX-RAW,pa_reg,0.0
B0,2,LOSS-AUX-RAW,gap_dac,0.0
B0,2,LOSS-AUX-RAW,gap_pa,0.0
B0,2,LOSS-AUX-RAW,cos_joint_pa,nan
B0,2,LOSS-AUX-RAW,cos_imp_pa,nan
B0,2,LOSS-AUX-W,cls_pa,0.0
B0,2,LOSS-AUX-W,cls_dac,0.0
B0,2,LOSS-AUX-W,pa_joint_inv,0.0
B0,2,LOSS-AUX-W,pa_kl,0.0
B0,2,LOSS-AUX-W,dac_reg,0.0
B0,2,LOSS-AUX-W,pa_reg,0.0
B0,2,LOSS-SAT-RAW,cls_sat,11.994
