row,scene,path,group,group_value,correct,count,accuracy
B0,clean,raw,receiver,0,19821,24000,82.5875
B0,clean,raw,receiver,2,17290,24000,72.04166666666667
B0,clean,raw,receiver,5,20595,24000,85.8125
B0,clean,raw,receiver,7,17942,24000,74.75833333333334
B0,clean,raw,receiver,9,20636,24000,85.98333333333333
B0,clean,raw,receiver,10,18017,24000,75.07083333333334
B0,clean,raw,receiver,11,19372,24000,80.71666666666667
B0,clean,raw,day,0,32726,42000,77.91904761904762
B0,clean,raw,day,1,33924,42000,80.77142857142857
B0,clean,raw,day,2,31802,42000,75.71904761904761
B0,clean,raw,day,3,35221,42000,83.85952380952381
B0,clean,raw,receiver_day,0:0,4160,6000,69.33333333333333
B0,clean,raw,receiver_day,0:1,5177,6000,86.28333333333333
B0,clean,raw,receiver_day,0:2,5330,6000,88.83333333333333
B0,clean,raw,receiver_day,0:3,5154,6000,85.9
B0,clean,raw,receiver_day,2:0,4453,6000,74.21666666666667
B0,clean,raw,receiver_day,2:1,4024,6000,67.06666666666666
B0,clean,raw,receiver_day,2:2,3995,6000,66.58333333333333
B0,clean,raw,receiver_day,2:3,4818,6000,80.3
B0,clean,raw,receiver_day,5:0,4977,6000,82.95
B0,clean,raw,receiver_day,5:1,5402,6000,90.03333333333333
B0,clean,raw,receiver_day,5:2,5468,6000,91.13333333333334
B0,clean,raw,receiver_day,5:3,4748,6000,79.13333333333334
B0,clean,raw,receiver_day,7:0,5444,6000,90.73333333333333
B0,clean,raw,receiver_day,7:1,4437,6000,73.95
B0,clean,raw,receiver_day,7:2,3156,6000,52.6
B0,clean,raw,receiver_day,7:3,4905,6000,81.75
B0,clean,raw,receiver_day,9:0,4188,6000,69.8
B0,clean,raw,receiver_day,9:1,5761,6000,96.01666666666667
B0,clean,raw,receiver_day,9:2,4946,6000,82.43333333333334
B0,clean,raw,receiver_day,9:3,5741,6000,95.68333333333334
B0,clean,raw,receiver_day,10:0,4679,6000,77.98333333333333
B0,clean,raw,receiver_day,10:1,3990,6000,66.5
B0,clean,raw,receiver_day,10:2,4525,6000,75.41666666666667
B0,clean,raw,receiver_day,10:3,4823,6000,80.38333333333334
B0,clean,raw,receiver_day,11:0,4825,6000,80.41666666666667
B0,clean,raw,receiver_day,11:1,5133,6000,85.55
B0,clean,raw,receiver_day,11:2,4382,6000,73.03333333333333
B0,clean,raw,receiver_day,11:3,5032,6000,83.86666666666666
B0,clean,raw,tx,0,25858,28000,92.35
B0,clean,raw,tx,1,13922,28000,49.72142857142857
B0,clean,raw,tx,2,21390,28000,76.39285714285714
B0,clean,raw,tx,3,17891,28000,63.89642857142857
B0,clean,raw,tx,4,27782,28000,99.22142857142858
B0,clean,raw,tx,5,26830,28000,95.82142857142857
B0,leo_clear_weak,raw,receiver,0,15838,24000,65.99166666666666
B0,leo_clear_weak,raw,receiver,2,9542,24000,39.75833333333333
B0,leo_clear_weak,raw,receiver,5,15391,24000,64.12916666666666
B0,leo_clear_weak,raw,receiver,7,10187,24000,42.44583333333333
B0,leo_clear_weak,raw,receiver,9,14880,24000,62.0
B0,leo_clear_weak,raw,receiver,10,12066,24000,50.275
B0,leo_clear_weak,raw,receiver,11,12703,24000,52.92916666666667
B0,leo_clear_weak,raw,day,0,21379,42000,50.90238095238095
B0,leo_clear_weak,raw,day,1,23756,42000,56.56190476190476
B0,leo_clear_weak,raw,day,2,22014,42000,52.41428571428571
B0,leo_clear_weak,raw,day,3,23458,42000,55.852380952380955
B0,leo_clear_weak,raw,receiver_day,0:0,3445,6000,57.416666666666664
B0,leo_clear_weak,raw,receiver_day,0:1,4220,6000,70.33333333333333
B0,leo_clear_weak,raw,receiver_day,0:2,4328,6000,72.13333333333334
B0,leo_clear_weak,raw,receiver_day,0:3,3845,6000,64.08333333333333
B0,leo_clear_weak,raw,receiver_day,2:0,2103,6000,35.05
B0,leo_clear_weak,raw,receiver_day,2:1,2316,6000,38.6
B0,leo_clear_weak,raw,receiver_day,2:2,2620,6000,43.666666666666664
B0,leo_clear_weak,raw,receiver_day,2:3,2503,6000,41.71666666666667
B0,leo_clear_weak,raw,receiver_day,5:0,3540,6000,59.0
B0,leo_clear_weak,raw,receiver_day,5:1,4248,6000,70.8
B0,leo_clear_weak,raw,receiver_day,5:2,4121,6000,68.68333333333334
