row,epoch,batches,successful_steps,resp_ce_weighted_mean,cross_rx_weighted_mean,u_pair_weighted_mean,fused_ce_weighted_mean,base_grad_mean,response_grad_mean,physical_grad_mean,fusion_grad_mean
B2,1,49,47,0.0,0.0,0.0,0.0,1.246086954202813,0.0,0.2721985595178654,0.0
B2,2,49,48,0.0,0.0,0.0,0.0,1.2716538453279331,0.0,0.273721673458985,0.0
B2,3,49,49,0.0,0.0,0.0,0.0,1.3485259521799524,0.0,0.2784302193885835,0.0
B2,4,49,49,0.0,0.0,0.0,0.0,1.326244044914816,0.0,0.2475030181153989,0.0
B2,5,49,49,0.0,0.0,0.0,0.0,1.3885998725999091,0.0,0.24192486198918367,0.0
B2,6,49,49,0.0,0.0,0.0,0.0,1.4074659459797263,0.0,0.2939578133169519,0.0
B2,7,49,49,0.0,0.0,0.0,0.0,1.428113898319059,0.0,0.3031252682727672,0.0
B2,8,49,49,0.0,0.0,0.0,0.0,1.4659987922619406,0.0,0.2848937834058306,0.0
B2,9,49,49,0.0,0.0,0.0,0.0,1.4933278920408777,0.0,0.3009222448815907,0.0
B2,10,49,49,0.0,0.0,0.0,0.0,1.5133616314126486,0.0,0.3017042023632094,0.0
B2,11,49,49,0.0,0.0,0.0,0.0,1.6979814040494048,0.0,0.3360020816563984,0.0
B2,12,49,49,0.0,0.0,0.0,0.0,1.5701599819842558,0.0,0.3214548857490639,0.0
B2,13,49,49,0.0,0.0,0.0,0.0,1.514943241952882,0.0,0.33833781710478267,0.0
B2,14,49,49,0.0,0.0,0.0,0.0,1.6079589853019747,0.0,0.3262587402777297,0.0
B2,15,49,49,0.0,0.0,0.0,0.0,1.5214951931633145,0.0,0.30455656558645133,0.0
B2,16,49,49,0.0,0.0,0.0,0.0,1.50678865981819,0.0,0.3114475457534428,0.0
B2,17,49,49,0.0,0.0,0.0,0.0,1.8198461944275826,0.0,0.29242623710723664,0.0
B2,18,49,49,0.0,0.0,0.0,0.0,1.6104452311145998,0.0,0.27330752039782813,0.0
B2,19,49,49,0.0,0.0,0.0,0.0,1.8324527685895948,0.0,0.3123132332012658,0.0
B2,20,49,49,0.0,0.0,0.0,0.0,1.510679704965942,0.0,0.28530225275939114,0.0
B2,21,49,49,0.0,0.0,0.0,0.0,1.6064996562533735,0.0,0.24311732514288542,0.0
B2,22,49,49,0.0,0.0,0.0,0.0,1.6494390758075756,0.0,0.25121439570008447,0.0
B2,23,49,49,0.0,0.0,0.0,0.0,1.5479511679461986,0.0,0.267500736375483,0.0
B2,24,49,49,0.0,0.0,0.0,0.0,1.6785841213195514,0.0,0.23820892816709296,0.0
B2,25,49,49,0.0,0.0,0.0,0.0,1.6300866944825008,0.0,0.2431482244128592,0.0
B2,26,49,49,0.0,0.0,0.0,0.0,1.7941961889207012,0.0,0.23417990330937208,0.0
B2,27,49,49,0.0,0.0,0.0,0.0,1.9338515526117146,0.0,0.2396106077887313,0.0
B2,28,49,49,0.0,0.0,0.0,0.0,1.9739126356383354,0.0,0.22518278366871583,0.0
B2,29,49,49,0.0,0.0,0.0,0.0,1.9140078326203078,0.0,0.21814798150402864,0.0
B2,30,49,49,0.0,0.0,0.0,0.0,1.811299559540825,0.0,0.2159720130128192,0.0
B2,31,49,48,0.0,0.0,0.0,0.0,1.6875622073210417,0.0,0.2206491993173299,0.0
B2,32,49,49,0.0,0.0,0.0,0.0,1.886770863872932,0.0,0.2047607055061007,0.0
B2,33,49,49,0.0,0.0,0.0,0.0,1.5819180254094336,0.0,0.19883830013299217,0.0
B2,34,49,49,0.0,0.0,0.0,0.0,1.8372011850737582,0.0,0.20583879474535163,0.0
B2,35,49,49,0.0,0.0,0.0,0.0,1.5631512384713955,0.0,0.2149972611247617,0.0
B2,36,49,49,0.0,0.0,0.0,0.0,1.8122948100900163,0.0,0.17540582316172806,0.0
B2,37,49,49,0.0,0.0,0.0,0.0,1.9262144344948144,0.0,0.15088637843393246,0.0
B2,38,49,49,0.0,0.0,0.0,0.0,1.699184548787791,0.0,0.14792735180895683,0.0
B2,39,49,49,0.0,0.0,0.0,0.0,1.6306930951528287,0.0,0.13979712030808017,0.0
B2,40,49,49,0.0,0.0,0.0,0.0,1.5936828079617034,0.0,0.12919954116196225,0.0
B2,41,49,49,0.0,0.0,0.0,0.0,1.6398686781103193,0.007488818299520076,0.4470903136503711,0.0
B2,42,49,49,0.0,0.0,0.0,0.0,1.6997276055426025,0.008540845929176944,0.4553652051239353,0.0
B2,43,49,49,0.0,0.0,0.0,0.0,1.652244874916136,0.009361220538100613,0.500002549846006,0.0
B2,44,49,49,0.0,0.0,0.0,0.0,1.6228009827218748,0.009696431294030422,0.5233890227146688,0.0
B2,45,49,49,0.0,0.0,0.0,0.0,1.7839093231567797,0.00735814267849758,0.47169394334364023,0.0
B2,46,49,49,0.0,0.0,0.0,0.0,1.6999523827422691,0.005393295289966795,0.4567753445220251,0.0
B2,47,49,49,0.0,0.0,0.0,0.0,1.5963985172681403,0.004154775305104408,0.44630422897974975,0.0
B2,48,49,48,0.0,0.0,0.0,0.0,1.6626127454485315,0.003326366223347563,0.41205444330231905,0.0
B2,49,49,49,0.0,0.0,0.0,0.0,1.8164406337229948,0.002462247859710701,0.4057269876466471,0.0
B2,50,49,49,0.0,0.0,0.0,0.0,1.6910107297795736,0.0018805623648649999,0.3903207928128284,0.0
B2,51,49,49,0.0,0.0,0.0,0.0,1.6737536502160086,0.0014623530793863879,0.3857218910873332,0.0
B2,52,49,49,0.0,0.0,0.0,0.0,1.5880503992148776,0.0011440732424613357,0.3636221243273807,0.0
B2,53,49,49,0.0,0.0,0.0,0.0,1.8418076617662662,0.0008669308116384858,0.34562228270696116,0.0
B2,54,49,49,0.0,0.0,0.0,0.0,1.8875405540100358,0.0007555369981551476,0.3458401680249185,0.0
B2,55,49,49,0.0,0.0,0.0,0.0,1.6942995111785004,0.0006472786459953819,0.33692084139372686,0.0
B2,56,49,49,0.0,0.0,0.0,0.0,1.8538460890909108,0.0006157894163460585,0.3263214201553757,0.0
B2,57,49,49,0.0,0.0,0.0,0.0,1.6722503949958742,0.0004635835724122221,0.30205983563674066,0.0
B2,58,49,49,0.0,0.0,0.0,0.0,1.82013657089675,0.00044700514910214653,0.2983113049705756,0.0
B2,59,49,49,0.0,0.0,0.0,0.0,1.657110819961224,0.0003489361224914824,0.28671052498819716,0.0
B2,60,49,48,0.0,0.0,0.0,0.0,1.7698420377574584,0.0003635405674104191,0.2832912333341606,0.0
B2,61,49,49,0.0,0.0,0.0,0.0,1.7622115589523544,0.00032485281869015277,0.29433564069571094,0.0
B2,62,49,49,0.0,0.0,0.0,0.0,1.9848907721838485,0.00023149049245290917,0.25915128635391976,0.0
B2,63,31,30,0.0,0.0,0.0,0.0,1.7706576711653383,0.0003007105061885474,0.2398906538031547,0.0
B3a,1,49,48,0.26700909709443854,0.0,0.0,0.0,1.2494417037745287,0.026432867048629773,0.0,0.0
