rung,checkpoint,scope,scenario,val_tx_acc_pct,overall_tx_acc_pct,strict_udu_tx_acc_pct,primary_score,correct,total
R1,FINAL-BEST,main,clean,98.0,78.8,,,,
R1,FINAL-BEST,seen_day_unseen_rx,clean,,79.61,,,100305,126000
R1,FINAL-BEST,unseen_day_unseen_rx,clean,,76.39,,,32083,42000
R1,FINAL-BEST,main,leo_clear_weak,,50.96,48.56,,85605,168000
R1,FINAL-BEST,main,leo_low_elev_weak,,49.82,47.93,,83701,168000
R1,FINAL-BEST,main,leo_rain_weak,,49.98,48.18,,83965,168000
R1,FINAL-PRIMARY,main,clean,97.87,78.83,76.06,77.45,,
R1,FINAL-PRIMARY,seen_day_unseen_rx,clean,,79.75,,,100489,126000
R1,FINAL-PRIMARY,unseen_day_unseen_rx,clean,,76.06,,,31946,42000
R1,FINAL-PRIMARY,main,leo_clear_weak,,51.62,49.26,,86721,168000
R1,FINAL-PRIMARY,main,leo_low_elev_weak,,50.41,48.48,,84683,168000
R1,FINAL-PRIMARY,main,leo_rain_weak,,50.6,48.88,,85016,168000
R2,FINAL-BEST,main,clean,98.02,78.61,,,,
R2,FINAL-BEST,seen_day_unseen_rx,clean,,79.5,,,100173,126000
R2,FINAL-BEST,unseen_day_unseen_rx,clean,,75.93,,,31892,42000
R2,FINAL-BEST,main,leo_clear_weak,,51.42,48.8,,86394,168000
R2,FINAL-BEST,main,leo_low_elev_weak,,50.27,47.87,,84447,168000
R2,FINAL-BEST,main,leo_rain_weak,,50.58,48.57,,84980,168000
R2,FINAL-PRIMARY,main,clean,97.94,79.29,75.68,77.49,,
R2,FINAL-PRIMARY,seen_day_unseen_rx,clean,,80.5,,,101427,126000
R2,FINAL-PRIMARY,unseen_day_unseen_rx,clean,,75.68,,,31785,42000
R2,FINAL-PRIMARY,main,leo_clear_weak,,52.02,49.45,,87390,168000
R2,FINAL-PRIMARY,main,leo_low_elev_weak,,50.84,48.35,,85411,168000
R2,FINAL-PRIMARY,main,leo_rain_weak,,51.1,49.27,,85852,168000
R3,FINAL-BEST,main,clean,98.03,78.75,,,,
R3,FINAL-BEST,seen_day_unseen_rx,clean,,79.58,,,100274,126000
R3,FINAL-BEST,unseen_day_unseen_rx,clean,,76.23,,,32018,42000
R3,FINAL-BEST,main,leo_clear_weak,,51.75,49.15,,86947,168000
R3,FINAL-BEST,main,leo_low_elev_weak,,50.61,48.43,,85019,168000
R3,FINAL-BEST,main,leo_rain_weak,,50.75,48.84,,85261,168000
R3,FINAL-PRIMARY,main,clean,97.94,79.43,75.99,77.71,,
R3,FINAL-PRIMARY,seen_day_unseen_rx,clean,,80.57,,,101522,126000
