rung,stage,epoch_start,epoch_end,epoch_count,train_loss_mean,train_loss_start,train_loss_end,train_tx_acc_mean,train_tx_acc_start,train_tx_acc_end,val_tx_acc_mean,val_tx_acc_start,val_tx_acc_end,val_dom_acc_mean,val_dom_acc_start,val_dom_acc_end,epoch_time_s_mean,epoch_time_s_start,epoch_time_s_end,train_time_s_mean,train_time_s_start,train_time_s_end,eval_time_s_mean,eval_time_s_start,eval_time_s_end,skipped_backward_batches_this_epoch_mean,skipped_backward_batches_this_epoch_start,skipped_backward_batches_this_epoch_end,val_tx_acc_best
R1,Stage2_canonical_content_cycle,1,40,40,8.933443666791188,20.322380512318713,6.726485023693162,60.261546024659864,0.0,76.61033163265306,89.83638888888889,24.42962962962963,96.03333333333333,48.736296296296295,10.133333333333333,62.818518518518516,393.90682009004524,340.7498488910496,342.2598585658707,246.04319962982555,198.41767656384036,219.35773988766596,147.8635167835746,142.3320341333747,122.90202041901648,0.1,2.0,0.0,96.12222222222222
R1,Stage3_split_pair,41,90,50,7.161094521739916,7.059057673629449,9.383280866000117,78.49005811599906,74.01147959183673,79.70344387755102,96.97333333333334,96.1962962962963,97.57037037037037,70.93888888888888,62.7037037037037,75.35555555555555,388.83018103167416,342.4926206199452,349.0507329958491,250.35806274467149,220.05468033067882,224.69421104621142,138.4720158174541,122.43785187229514,124.35642810212448,0.22,0.0,0.0,97.64444444444445
R1,Stage4_discriminative_gate,91,200,110,9.19232214275303,10.298962210615477,9.089193529012253,82.8472715435606,80.615234375,85.49107142857143,97.77117845117846,97.65185185185184,97.87407407407407,77.8352861952862,75.02222222222223,77.38888888888889,398.4859937784643,343.9311644430272,4672.384353652131,231.54676255024546,220.94886545278132,247.5462667029351,166.93913249747234,122.98220048006624,4424.837970719207,0.14545454545454545,1.0,0.0,97.9962962962963
R2,Stage2_canonical_content_cycle,1,40,40,8.88776655270172,20.324595471645925,6.655512566469153,60.58444276147959,0.0,77.1045918367347,90.09222222222222,25.79259259259259,95.97037037037038,48.31472222222222,9.981481481481481,62.648148148148145,417.8467179645551,363.3247821540572,370.8772944668308,261.4243517067167,215.18647124199197,239.27450275886804,156.4222619578708,148.1381458886899,131.60269204666838,0.1,2.0,0.0,96.27037037037037
R2,Stage3_split_pair,41,90,50,7.159460957190212,7.030006189735568,9.354560949364487,78.62447518069729,74.20280612244898,80.08609693877551,97.06822222222223,95.89259259259259,97.66296296296296,70.50659259259258,62.507407407407406,75.14814814814815,413.0068109949678,373.28216276783496,344.2696537533775,268.76861729747617,240.93477400857955,219.8952340632677,144.23809421932324,132.34728325065225,124.37432378809899,0.06,0.0,0.0,97.6962962962963
R2,Stage4_discriminative_gate,91,200,110,9.134673138601046,10.410344634737287,8.89643474987575,82.96437378596265,79.46428571428571,85.98533163265306,97.83390572390573,97.78888888888889,97.93703703703704,78.57255892255893,74.71481481481482,79.85925925925926,356.68278821386735,345.64937687432393,3902.547633419279,206.81143190961924,221.78388391342014,196.63477676734328,149.87125839253633,123.86537736933678,3705.9127425975166,0.2,0.0,0.0,98.02222222222223
R3,Stage2_canonical_content_cycle,1,40,40,8.91020379423004,20.323188173009996,6.754547333230778,60.363877484587576,0.0,76.69005102040816,90.06296296296296,25.348148148148148,96.0962962962963,48.24814814814815,11.248148148148148,62.24444444444445,417.6544546119752,368.2514559170231,379.59201106475666,262.25404388762547,215.95795068796724,245.04343392606825,155.40030451152705,152.29335727076977,134.54846921004355,0.1,2.0,0.0,96.25555555555556
R3,Stage3_split_pair,41,90,50,7.234281847339185,7.254435675484793,9.334216395202947,78.57600480351715,73.83609693877551,80.42091836734694,97.11148148148148,96.5037037037037,97.6037037037037,70.58066666666667,63.01111111111111,75.76666666666667,886.5239606398064,997.9111796789803,575.5463918438181,757.3213168338593,861.8226988413371,467.88199158525094,129.20255044672638,136.08838196797296,107.66430709091946,0.14,0.0,0.0,97.73333333333333
R3,Stage4_discriminative_gate,91,200,110,9.14253331256987,10.381976628790097,8.980592280018087,83.07524187972457,79.73533163265306,85.8577806122449,97.81531986531986,97.58518518518518,97.93703703703704,78.62905723905725,75.10740740740741,79.54074074074074,893.0075127480255,576.5146255036816,6074.111107796896,713.4301303793507,468.43047755397856,923.957128692884,179.57726869433273,108.08405316481367,5150.153860972263,0.17272727272727273,0.0,0.0,98.02962962962962
R4,Stage2_canonical_content_cycle,1,40,40,8.93354437346428,20.323480971316073,6.6861141798447585,60.29692980707908,0.0,77.12053571428571,90.05175925925926,25.603703703703705,95.97407407407407,48.52953703703704,11.225925925925926,62.55185185185185,423.0226911942009,366.2112762411125,381.3553475709632,265.6974820914678,215.80558497924358,249.2393254097551,157.32510392881233,150.40553828608245,132.11592245893553,0.1,2.0,0.0,96.1037037037037
