rung,epoch,stage,event,lr,train_loss,train_tx_acc_pct,val_tx_acc_pct,val_dom_acc_pct,epoch_time_s,skipped_backward_batches_this_epoch,delta_train_loss_from_previous_milestone,delta_val_tx_acc_from_previous_milestone
R1,1,Stage2_canonical_content_cycle,Stage2开始；clear LEO，p=0.30,0.00019998772493192525,20.322380512318713,0.0,24.42962962962963,10.133333333333333,340.7498488910496,2,,
R1,10,Stage2_canonical_content_cycle,milestone,0.00019877498988921623,8.353008026979408,65.33801020408163,91.54074074074074,42.49629629629629,337.6997573231347,0,-11.969372485339305,67.11111111111111
R1,20,Stage2_canonical_content_cycle,milestone,0.00019513012337136785,9.180350362038126,60.076530612244895,94.4037037037037,51.8,444.00566922919825,0,0.8273423350587183,2.8629629629629534
R1,40,Stage2_canonical_content_cycle,milestone,0.00018099719094030728,6.726485023693162,76.61033163265306,96.03333333333333,62.818518518518516,342.2598585658707,0,-2.453865338344964,1.6296296296296333
R1,41,Stage3_split_pair,Stage3开始；low-elevation/rain LEO，p=0.60,0.00018006862351946555,7.059057673629449,74.01147959183673,96.1962962962963,62.7037037037037,342.4926206199452,0,0.3325726499362869,0.16296296296296475
R1,60,Stage3_split_pair,milestone,0.0001589846326031011,6.991471191247304,75.048828125,97.10740740740741,70.22222222222223,390.34564566612244,1,-0.06758648238214526,0.9111111111111114
R1,79,Stage3_split_pair,milestone,0.00013272978311071586,6.792284104288841,74.04336734693878,97.5111111111111,73.85185185185185,437.72484840173274,0,-0.19918708695846288,0.4037037037036981
R1,80,Stage3_split_pair,卫星分类权重进入既定有效区间,0.00013124719094030727,10.46784308491921,75.01594387755102,97.50740740740741,73.72962962962963,432.9723439561203,0,3.6755589806303686,-0.0037037037036924403
R1,90,Stage3_split_pair,milestone,0.00011606522927150298,9.383280866000117,79.70344387755102,97.57037037037037,75.35555555555555,349.0507329958491,0,-1.0845622189190927,0.06296296296295623
R1,91,Stage4_discriminative_gate,Stage4开始；三类LEO，p=0.80,0.00011451967257778949,10.298962210615477,80.615234375,97.65185185185184,75.02222222222223,343.9311644430272,1,0.9156813446153595,0.08148148148147527
R1,100,Stage4_discriminative_gate,milestone,0.00010049999999999999,10.68117963537878,78.68303571428571,97.37777777777778,76.5925925925926,343.1098628458567,0,0.38221742476330256,-0.2740740740740648
R1,120,Stage4_discriminative_gate,milestone,6.975280905969274e-05,9.032595298728165,82.31823979591837,97.81111111111112,78.0111111111111,349.6139306342229,0,-1.6485843366506145,0.4333333333333371
R1,150,Stage4_discriminative_gate,milestone,3.01428752719385e-05,8.856749325990677,83.349609375,97.85925925925926,79.4,374.5340461009182,1,-0.1758459727374877,0.04814814814814383
R1,180,Stage4_discriminative_gate,milestone,5.869876628632218e-06,9.973463019546198,78.02933673469387,97.88888888888889,77.85185185185185,371.97278482373804,0,1.1167136935555213,0.029629629629624787
R1,190,Stage4_discriminative_gate,milestone,2.2250101107838023e-06,9.687505892344884,78.07716836734694,97.92962962962963,77.37407407407407,372.70074885478243,0,-0.28595712720131417,0.04074074074074474
R1,194,Stage4_discriminative_gate,milestone,1.44158452199354e-06,9.100987293282333,80.59630102040816,97.92592592592592,77.41851851851852,371.03884467994794,0,-0.5865185990625505,-0.003703703703706651
R1,195,Stage4_discriminative_gate,milestone,1.3067252935537674e-06,8.558586339561307,85.66645408163265,97.95555555555555,77.44074074074074,371.46572629595175,0,-0.5424009537210264,0.029629629629624787
R1,196,Stage4_discriminative_gate,milestone,1.1963405213869797e-06,9.336473747175567,80.37308673469387,97.8962962962963,77.41481481481482,371.7431005886756,0,0.7778874076142603,-0.059259259259249575
R1,197,Stage4_discriminative_gate,milestone,1.1104574412839946e-06,9.730334997177124,78.125,97.8962962962963,77.41481481481482,372.4396854522638,0,0.3938612500015566,0.0
R1,198,Stage4_discriminative_gate,milestone,1.0490972436097059e-06,8.520099046278974,85.22002551020408,97.87407407407407,77.41481481481482,370.0935420221649,0,-1.2102359508981504,-0.022222222222225696
R1,199,Stage4_discriminative_gate,milestone,1.0122750680747714e-06,9.389679850364217,79.71938775510205,97.87777777777778,77.38888888888889,375.29899936169386,0,0.8695808040852437,0.003703703703706651
R1,200,Stage4_discriminative_gate,训练终点与最终评估,1e-06,9.089193529012253,85.49107142857143,97.87407407407407,77.38888888888889,4672.384353652131,0,-0.30048632135196485,-0.003703703703706651
