scenario,new_class_count,elapsed_seconds,user_seconds,system_seconds,cpu_percent,max_rss_kib,involuntary_context_switches
leo_clear_weak,1,14.95,847.89,33.5,5892%,1443388,102037
leo_clear_weak,2,613.82,6635.89,397.38,1145%,1451932,223165838
leo_clear_weak,3,573.4,6091.65,325.29,1119%,1437336,200562356
leo_clear_weak,5,621.73,7017.51,426.41,1197%,1468496,235160257
leo_clear_weak,10,592.1,6301.28,362.89,1125%,1475704,220079173
leo_clear_weak,15,594.13,6506.99,378.87,1158%,1453404,220699345
leo_clear_weak,20,627.71,6580.14,395.27,1111%,1454188,234764362
leo_low_elev_weak,1,424.77,5533.25,271.06,1366%,1446992,170969145
leo_low_elev_weak,2,559.1,6655.82,380.21,1258%,1445964,205441968
leo_low_elev_weak,3,536.19,6094.89,328.84,1198%,1443276,193723512
leo_low_elev_weak,5,558.63,6118.35,343.84,1156%,1447924,198845016
leo_low_elev_weak,10,581.09,6943.9,410.52,1265%,1474084,226696861
leo_low_elev_weak,15,552.97,6019.44,328.64,1147%,1455644,206657890
leo_low_elev_weak,20,620.58,7394.77,445.47,1263%,1451432,259151749
leo_rain_weak,1,258.89,4944.98,238.91,2002%,1457796,146836958
leo_rain_weak,2,244.6,5435.62,284.02,2338%,1447020,138673062
leo_rain_weak,3,224.36,5434.91,309.96,2560%,1444144,145633100
leo_rain_weak,5,231.05,5630.96,324.86,2577%,1445844,145432460
leo_rain_weak,10,565.15,6318.35,356.9,1181%,1445704,214243680
leo_rain_weak,15,454.40999999999997,5884.13,312.72,1363%,1459916,196948662
leo_rain_weak,20,552.75,7013.65,440.85,1348%,1456064,255618829
