scenario,method,state,old_to_new,old_to_wrong_old,new_to_old
leo_clear_weak,J1_R0,DA0_REG1,0.11666666666666667,0.03333333333333333,0.05
leo_clear_weak,J1_R0,DA1_REG1,0.11666666666666667,0.03333333333333333,0.05
leo_clear_weak,J2_R3,DA0_REG1,0.11666666666666667,0.03333333333333333,0.05
leo_clear_weak,J2_R3,DA1_REG1,0.11666666666666667,0.03333333333333333,0.05
leo_clear_weak,J3_R5D92_G,DA0_REG1,0.11666666666666667,0.03333333333333333,0.05
leo_clear_weak,J3_R5D92_G,DA1_REG1,0.11666666666666667,0.03333333333333333,0.05
leo_low_elev_weak,J1_R0,DA0_REG1,0.175,0.05,0.1
leo_low_elev_weak,J1_R0,DA1_REG1,0.175,0.05,0.1
leo_low_elev_weak,J2_R3,DA0_REG1,0.175,0.05,0.1
leo_low_elev_weak,J2_R3,DA1_REG1,0.18333333333333332,0.041666666666666664,0.1
leo_low_elev_weak,J3_R5D92_G,DA0_REG1,0.175,0.05,0.1
leo_low_elev_weak,J3_R5D92_G,DA1_REG1,0.175,0.05,0.1
leo_rain_weak,J1_R0,DA0_REG1,0.10833333333333334,0.175,0.13
leo_rain_weak,J1_R0,DA1_REG1,0.10833333333333334,0.175,0.13
leo_rain_weak,J2_R3,DA0_REG1,0.10833333333333334,0.175,0.13
leo_rain_weak,J2_R3,DA1_REG1,0.10833333333333334,0.175,0.13
leo_rain_weak,J3_R5D92_G,DA0_REG1,0.10833333333333334,0.175,0.13
leo_rain_weak,J3_R5D92_G,DA1_REG1,0.10833333333333334,0.175,0.13
