candidate,scenario,new_class_count,query_rows,DA0_REG0_old_acc,DA0_REG0_old_floor,DA0_REG0_old_nll,DA0_REG0_old_ece10,DA0_REG0_registered_acc,DA0_REG0_registered_floor,DA0_REG0_registered_nll,DA0_REG0_seen_new_acc,DA0_REG0_new_floor,DA0_REG0_H_old_new,DA1_REG0_old_acc,DA1_REG0_old_floor,DA1_REG0_old_nll,DA1_REG0_old_ece10,DA1_REG0_registered_acc,DA1_REG0_registered_floor,DA1_REG0_registered_nll,DA1_REG0_seen_new_acc,DA1_REG0_new_floor,DA1_REG0_H_old_new,DA0_REG1_old_acc,DA0_REG1_old_floor,DA0_REG1_old_nll,DA0_REG1_old_ece10,DA0_REG1_registered_acc,DA0_REG1_registered_floor,DA0_REG1_registered_nll,DA0_REG1_seen_new_acc,DA0_REG1_new_floor,DA0_REG1_H_old_new,DA1_REG1_old_acc,DA1_REG1_old_floor,DA1_REG1_old_nll,DA1_REG1_old_ece10,DA1_REG1_registered_acc,DA1_REG1_registered_floor,DA1_REG1_registered_nll,DA1_REG1_seen_new_acc,DA1_REG1_new_floor,DA1_REG1_H_old_new,da_before_old_acc,da_after_old_acc,da_after_new_acc,da_after_h,da_after_registered_acc,da_before_old_nll,da_after_old_nll,da_after_old_ece10,da_after_registered_nll,registration_without_da_old_acc,registration_with_da_old_acc,interaction_old_acc
D0_T3_D92,leo_clear_weak,10,320,0.9083333333333333,0.8,0.8734497926520762,0.45484979548062177,0.9083333333333333,0.8,0.8734497926520762,,,,0.9083333333333333,0.8,0.8748006943071011,0.4553503387800337,0.9083333333333333,0.8,0.8748006943071011,,,,0.8166666666666667,0.65,1.477282796137537,0.5467603360968727,0.8375,0.65,1.4752665002576983,0.85,0.65,0.833,0.8166666666666667,0.65,1.4773090180989612,0.5469002473064727,0.834375,0.65,1.4757170566513393,0.845,0.65,0.8305917753259778,0.0,0.0,-0.0050000000000000044,-0.0024082246740221303,-0.0031250000000000444,0.0013509016550248276,2.622196142421096e-05,0.0001399112095999966,0.00045055639364099953,-0.09166666666666667,-0.09166666666666667,0.0
D0_T3_D92,leo_clear_weak,2,160,0.9083333333333333,0.8,0.8734497866352877,0.4548497944484509,0.9083333333333333,0.8,0.8734497866352877,,,,0.9083333333333333,0.8,0.8748006877125877,0.45535033612598763,0.9083333333333333,0.8,0.8748006877125877,,,,0.925,0.8,0.9732827757630851,0.5079810283933196,0.94375,0.8,0.9153766049722833,1.0,1.0,0.961038961038961,0.925,0.8,0.9713006653654539,0.5070380376374752,0.94375,0.8,0.914016057661194,1.0,1.0,0.961038961038961,0.0,0.0,0.0,0.0,0.0,0.0013509010772999597,-0.001982110397631187,-0.000942990755844364,-0.0013605473110893662,0.01666666666666672,0.01666666666666672,0.0
D0_T3_D92,leo_clear_weak,20,520,0.9083333333333333,0.8,0.8734497894983584,0.45484979634746353,0.9083333333333333,0.8,0.8734497894983584,,,,0.9083333333333333,0.8,0.8748006940462277,0.4553503388912767,0.9083333333333333,0.8,0.8748006940462277,,,,0.8416666666666667,0.7,1.8909180272259993,0.6585959094168059,0.7846153846153846,0.55,1.9258402429448567,0.7675,0.55,0.8028741584671155,0.8416666666666667,0.7,1.8911655667126426,0.6587010891879332,0.7826923076923077,0.55,1.926114618030621,0.765,0.55,0.8015041493775933,0.0,0.0,-0.0024999999999999467,-0.0013700090895222283,-0.0019230769230769162,0.001350904547869347,0.00024753948664324454,0.00010517977112733945,0.00027437508576433345,-0.06666666666666665,-0.06666666666666665,0.0
D0_T3_D92,leo_low_elev_weak,10,320,0.9083333333333333,0.9,0.9136692986565697,0.45336198432989877,0.9083333333333333,0.9,0.9136692986565697,,,,0.9,0.85,0.9133390797064668,0.4447955507391407,0.9,0.85,0.9133390797064668,,,,0.7,0.45,1.6880252473867012,0.46644586967626006,0.6875,0.4,1.7683864008359353,0.68,0.4,0.6898550724637681,0.7083333333333334,0.45,1.7006786391787463,0.4787946168521958,0.696875,0.4,1.7716602173669824,0.69,0.4,0.6990464839094158,-0.008333333333333304,0.008333333333333415,0.009999999999999898,0.009191411445647724,0.009375000000000022,-0.0003302189501028785,0.012653391792045054,0.01234874717593576,0.00327381653104708,-0.20833333333333337,-0.19166666666666665,0.01666666666666672
D0_T3_D92,leo_low_elev_weak,2,160,0.9083333333333333,0.9,0.9136692999810889,0.4533619853170095,0.9083333333333333,0.9,0.9136692999810889,,,,0.9,0.85,0.9133390798656262,0.44479555010735417,0.9,0.85,0.9133390798656262,,,,0.8416666666666667,0.7,1.0862736523498466,0.44114428112614895,0.8625,0.7,1.0560337041445043,0.925,0.85,0.8813679245283019,0.8416666666666667,0.7,1.085969300181256,0.44098595609841273,0.8625,0.7,1.0555506756028077,0.925,0.85,0.8813679245283019,-0.008333333333333304,0.0,0.0,0.0,0.0,-0.00033022011546268715,-0.00030435216859059366,-0.00015832502773621693,-0.00048302854169657294,-0.06666666666666665,-0.05833333333333335,0.008333333333333304
D0_T3_D92,leo_low_elev_weak,20,520,0.9083333333333333,0.9,0.9136693012228981,0.4533619855623815,0.9083333333333333,0.9,0.9136693012228981,,,,0.9,0.85,0.9133390817507153,0.444795551446342,0.9,0.85,0.9133390817507153,,,,0.7083333333333334,0.45,2.045239557189916,0.5360473680303193,0.6211538461538462,0.4,2.138581602946599,0.595,0.4,0.6467391304347826,0.7083333333333334,0.45,2.043545097927438,0.535652206735201,0.6211538461538462,0.4,2.136636396162759,0.595,0.4,0.6467391304347826,-0.008333333333333304,0.0,0.0,0.0,0.0,-0.00033021947218281333,-0.0016944592624779098,-0.0003951612951182959,-0.0019452067838403586,-0.19999999999999996,-0.19166666666666665,0.008333333333333304
D0_T3_D92,leo_rain_weak,10,320,0.825,0.55,0.901568093043517,0.36732466810829123,0.825,0.55,0.901568093043517,,,,0.8166666666666667,0.55,0.8987094012533483,0.35888511345576923,0.8166666666666667,0.55,0.8987094012533483,,,,0.7,0.5,1.8099904243405756,0.5161406154098108,0.721875,0.5,1.8390573879525784,0.735,0.55,0.7170731707317072,0.7,0.5,1.8112308466586873,0.5164234691318118,0.721875,0.5,1.8401629914088904,0.735,0.55,0.7170731707317072,-0.008333333333333304,0.0,0.0,0.0,0.0,-0.0028586917901687325,0.0012404223181117224,0.00028285372200098635,0.0011056034563119432,-0.125,-0.1166666666666667,0.008333333333333304
D0_T3_D92,leo_rain_weak,2,160,0.825,0.55,0.9015680934334483,0.36732467131748797,0.825,0.55,0.9015680934334483,,,,0.8166666666666667,0.55,0.8987093999835184,0.3588851122994426,0.8166666666666667,0.55,0.8987093999835184,,,,0.7666666666666667,0.5,1.089279361985706,0.38002486179151823,0.81875,0.5,1.0314952871323175,0.975,0.95,0.8583732057416268,0.775,0.5,1.0885651944277563,0.38805449439777284,0.825,0.5,1.0306377939172748,0.975,0.95,0.8635714285714285,-0.008333333333333304,0.008333333333333304,0.0,0.005198222829801757,0.006249999999999978,-0.00285869344992995,-0.0007141675579496187,0.00802963260625461,-0.0008574932150426928,-0.05833333333333324,-0.04166666666666663,0.016666666666666607
D0_T3_D92,leo_rain_weak,20,520,0.825,0.55,0.9015681657344561,0.36732471281935813,0.825,0.55,0.9015681657344561,,,,0.8166666666666667,0.55,0.8987094475237328,0.3588851451711694,0.8166666666666667,0.55,0.8987094475237328,,,,0.675,0.4,2.163755948261605,0.5425651556734175,0.6115384615384616,0.3,2.290360277379098,0.5925,0.3,0.6310650887573965,0.675,0.4,2.163567525510079,0.542526400823158,0.6115384615384616,0.3,2.2902934355878677,0.5925,0.3,0.6310650887573965,-0.008333333333333304,0.0,0.0,0.0,0.0,-0.0028587182107232545,-0.00018842275152586296,-3.875485025950365e-05,-6.684179123039868e-05,-0.1499999999999999,-0.1416666666666666,0.008333333333333304
R3_DUALDELTA_T3_D92_INLOOP,leo_clear_weak,10,320,0.9083333333333333,0.8,0.8734497926520762,0.45484979548062177,0.9083333333333333,0.8,0.8734497926520762,,,,0.9083333333333333,0.8,0.8734497926520762,0.45484979548062177,0.9083333333333333,0.8,0.8734497926520762,,,,0.8166666666666667,0.65,1.477282796137537,0.5467603360968727,0.8375,0.65,1.4752665002576983,0.85,0.65,0.833,0.8166666666666667,0.65,1.477282796137537,0.5467603360968727,0.8375,0.65,1.4752665002576983,0.85,0.65,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09166666666666667,-0.09166666666666667,0.0
