scenario,split,group_type,group_key,receiver_label,receiver_index,transmitter_label,transmitter_index,day_label,day_index,sample_count,correct_count,accuracy,confusion_json
leo_clear_weak,test_seen_day_unseen_rx,per_receiver,1-1,1-1,0,14-10,0,2021_03_01,0,18000,11433,63.516666666666666,"{""0->0"": 2469, ""0->1"": 63, ""0->2"": 1, ""0->3"": 467, ""1->0"": 646, ""1->1"": 84, ""1->2"": 2, ""1->3"": 2267, ""1->4"": 1, ""2->0"": 26, ""2->1"": 47, ""2->2"": 2801, ""2->3"": 9, ""2->4"": 2, ""2->5"": 115, ""3->0"": 615, ""3->1"": 29, ""3->3"": 2346, ""3->4"": 5, ""3->5"": 5, ""4->0"": 18, ""4->1"": 210, ""4->2"": 1, ""4->3"": 859, ""4->4"": 1907, ""4->5"": 5, ""5->0"": 116, ""5->1"": 12, ""5->2"": 1011, ""5->3"": 13, ""5->4"": 22, ""5->5"": 1826}"
leo_clear_weak,test_seen_day_unseen_rx,per_receiver,14-7,14-7,2,14-10,0,2021_03_01,0,18000,8808,48.93333333333333,"{""0->0"": 2346, ""0->1"": 64, ""0->2"": 1, ""0->3"": 589, ""1->0"": 381, ""1->1"": 522, ""1->3"": 2084, ""1->4"": 13, ""2->0"": 106, ""2->1"": 385, ""2->2"": 1346, ""2->3"": 397, ""2->4"": 261, ""2->5"": 505, ""3->0"": 262, ""3->1"": 1687, ""3->2"": 173, ""3->3"": 596, ""3->4"": 193, ""3->5"": 89, ""4->0"": 216, ""4->1"": 564, ""4->2"": 20, ""4->3"": 952, ""4->4"": 1206, ""4->5"": 42, ""5->0"": 1, ""5->2"": 180, ""5->4"": 27, ""5->5"": 2792}"
leo_clear_weak,test_seen_day_unseen_rx,per_receiver,2-1,2-1,5,14-10,0,2021_03_01,0,18000,12555,69.75,"{""0->0"": 2316, ""0->1"": 236, ""0->2"": 36, ""0->3"": 338, ""0->4"": 63, ""0->5"": 11, ""1->0"": 533, ""1->1"": 1279, ""1->2"": 13, ""1->3"": 1084, ""1->4"": 77, ""1->5"": 14, ""2->0"": 51, ""2->1"": 490, ""2->2"": 2373, ""2->3"": 76, ""2->4"": 4, ""2->5"": 6, ""3->0"": 181, ""3->1"": 781, ""3->2"": 1, ""3->3"": 1955, ""3->4"": 75, ""3->5"": 7, ""4->0"": 14, ""4->1"": 245, ""4->2"": 4, ""4->3"": 418, ""4->4"": 2314, ""4->5"": 5, ""5->0"": 7, ""5->2"": 638, ""5->3"": 8, ""5->4"": 29, ""5->5"": 2318}"
leo_clear_weak,test_seen_day_unseen_rx,per_receiver,20-1,20-1,7,14-10,0,2021_03_01,0,18000,8126,45.144444444444446,"{""0->0"": 1805, ""0->1"": 876, ""0->2"": 4, ""0->3"": 297, ""0->4"": 13, ""0->5"": 5, ""1->0"": 223, ""1->1"": 457, ""1->2"": 11, ""1->3"": 2213, ""1->4"": 81, ""1->5"": 15, ""2->0"": 898, ""2->1"": 258, ""2->2"": 1190, ""2->3"": 541, ""2->4"": 64, ""2->5"": 49, ""3->0"": 679, ""3->1"": 1252, ""3->2"": 5, ""3->3"": 1007, ""3->4"": 37, ""3->5"": 20, ""4->0"": 16, ""4->1"": 246, ""4->2"": 18, ""4->3"": 1202, ""4->4"": 1470, ""4->5"": 48, ""5->0"": 9, ""5->1"": 9, ""5->2"": 560, ""5->3"": 11, ""5->4"": 214, ""5->5"": 2197}"
leo_clear_weak,test_seen_day_unseen_rx,per_receiver,7-14,7-14,9,14-10,0,2021_03_01,0,18000,12499,69.43888888888888,"{""0->0"": 2762, ""0->1"": 5, ""0->2"": 3, ""0->3"": 230, ""1->0"": 161, ""1->1"": 774, ""1->3"": 2027, ""1->4"": 32, ""1->5"": 6, ""2->0"": 597, ""2->1"": 660, ""2->2"": 1204, ""2->3"": 153, ""2->4"": 71, ""2->5"": 315, ""3->0"": 79, ""3->1"": 92, ""3->3"": 2819, ""3->4"": 10, ""4->0"": 5, ""4->1"": 30, ""4->2"": 1, ""4->3"": 584, ""4->4"": 2378, ""4->5"": 2, ""5->0"": 16, ""5->1"": 8, ""5->2"": 151, ""5->3"": 3, ""5->4"": 260, ""5->5"": 2562}"
leo_clear_weak,test_seen_day_unseen_rx,per_receiver,7-7,7-7,10,14-10,0,2021_03_01,0,18000,11068,61.48888888888889,"{""0->0"": 2174, ""0->1"": 146, ""0->2"": 1, ""0->3"": 678, ""0->4"": 1, ""1->0"": 901, ""1->1"": 1087, ""1->3"": 1010, ""1->4"": 1, ""1->5"": 1, ""2->0"": 1137, ""2->1"": 58, ""2->2"": 1540, ""2->3"": 245, ""2->4"": 3, ""2->5"": 17, ""3->0"": 938, ""3->1"": 231, ""3->2"": 59, ""3->3"": 1662, ""3->4"": 70, ""3->5"": 40, ""4->0"": 1, ""4->1"": 763, ""4->2"": 1, ""4->3"": 383, ""4->4"": 1851, ""4->5"": 1, ""5->0"": 16, ""5->1"": 1, ""5->2"": 222, ""5->3"": 1, ""5->4"": 6, ""5->5"": 2754}"
leo_clear_weak,test_seen_day_unseen_rx,per_receiver,8-8,8-8,11,14-10,0,2021_03_01,0,18000,12204,67.8,"{""0->0"": 1971, ""0->1"": 22, ""0->2"": 3, ""0->3"": 1003, ""0->4"": 1, ""1->0"": 92, ""1->1"": 279, ""1->3"": 2626, ""1->4"": 3, ""2->0"": 123, ""2->1"": 117, ""2->2"": 1708, ""2->3"": 806, ""2->4"": 55, ""2->5"": 191, ""3->0"": 90, ""3->1"": 27, ""3->3"": 2879, ""3->4"": 4, ""4->0"": 4, ""4->1"": 198, ""4->3"": 344, ""4->4"": 2449, ""4->5"": 5, ""5->0"": 1, ""5->1"": 1, ""5->2"": 15, ""5->4"": 65, ""5->5"": 2918}"
leo_clear_weak,test_seen_day_unseen_rx,per_transmitter,14-10,1-1,0,14-10,0,2021_03_01,0,21000,15843,75.44285714285714,"{""0->0"": 15843, ""0->1"": 1412, ""0->2"": 49, ""0->3"": 3602, ""0->4"": 78, ""0->5"": 16}"
leo_clear_weak,test_seen_day_unseen_rx,per_transmitter,14-7,1-1,0,14-7,1,2021_03_01,0,21000,4482,21.34285714285714,"{""1->0"": 2937, ""1->1"": 4482, ""1->2"": 26, ""1->3"": 13311, ""1->4"": 208, ""1->5"": 36}"
leo_clear_weak,test_seen_day_unseen_rx,per_transmitter,20-15,1-1,0,20-15,2,2021_03_01,0,21000,12162,57.91428571428571,"{""2->0"": 2938, ""2->1"": 2015, ""2->2"": 12162, ""2->3"": 2227, ""2->4"": 460, ""2->5"": 1198}"
