row,scene,scope,group,correct,total,accuracy
M00,clean,day,0,31879,42000,0.7590238095238095
M00,clean,day,1,34477,42000,0.8208809523809524
M00,clean,day,2,30599,42000,0.728547619047619
M00,clean,day,3,34861,42000,0.8300238095238095
M00,clean,rx,0,18375,24000,0.765625
M00,clean,rx,10,19119,24000,0.796625
M00,clean,rx,11,19058,24000,0.7940833333333334
M00,clean,rx,2,16147,24000,0.6727916666666667
M00,clean,rx,5,20499,24000,0.854125
M00,clean,rx,7,17711,24000,0.7379583333333334
M00,clean,rx,9,20907,24000,0.871125
M00,clean,rx_day,0:0,3994,6000,0.6656666666666666
M00,clean,rx_day,0:1,5197,6000,0.8661666666666666
M00,clean,rx_day,0:2,4335,6000,0.7225
M00,clean,rx_day,0:3,4849,6000,0.8081666666666667
M00,clean,rx_day,10:0,4854,6000,0.809
M00,clean,rx_day,10:1,4928,6000,0.8213333333333334
M00,clean,rx_day,10:2,4273,6000,0.7121666666666666
M00,clean,rx_day,10:3,5064,6000,0.844
M00,clean,rx_day,11:0,4686,6000,0.781
M00,clean,rx_day,11:1,4837,6000,0.8061666666666667
M00,clean,rx_day,11:2,4479,6000,0.7465
M00,clean,rx_day,11:3,5056,6000,0.8426666666666667
M00,clean,rx_day,2:0,3960,6000,0.66
M00,clean,rx_day,2:1,3910,6000,0.6516666666666666
M00,clean,rx_day,2:2,3701,6000,0.6168333333333333
M00,clean,rx_day,2:3,4576,6000,0.7626666666666667
M00,clean,rx_day,5:0,4533,6000,0.7555
M00,clean,rx_day,5:1,5567,6000,0.9278333333333333
M00,clean,rx_day,5:2,5595,6000,0.9325
M00,clean,rx_day,5:3,4804,6000,0.8006666666666666
M00,clean,rx_day,7:0,5416,6000,0.9026666666666666
M00,clean,rx_day,7:1,4155,6000,0.6925
M00,clean,rx_day,7:2,3220,6000,0.5366666666666666
M00,clean,rx_day,7:3,4920,6000,0.82
M00,clean,rx_day,9:0,4436,6000,0.7393333333333333
M00,clean,rx_day,9:1,5883,6000,0.9805
M00,clean,rx_day,9:2,4996,6000,0.8326666666666667
M00,clean,rx_day,9:3,5592,6000,0.932
M00,clean,rx_tx,0:0,3995,4000,0.99875
M00,clean,rx_tx,0:1,734,4000,0.1835
M00,clean,rx_tx,0:2,1979,4000,0.49475
M00,clean,rx_tx,0:3,3897,4000,0.97425
M00,clean,rx_tx,0:4,3985,4000,0.99625
M00,clean,rx_tx,0:5,3785,4000,0.94625
