row,family,clean,leo_clear_weak,leo_low_elev_weak,leo_rain_weak,leo_mean
M00,old,78.46190476190476,63.49285714285714,61.975,62.04642857142857,62.5047619047619
M01,old,76.8,62.75654761904762,60.77678571428572,60.5845238095238,61.37261904761905
M02,old,78.7642857142857,62.645833333333336,60.87261904761905,60.68333333333334,61.400595238095235
M03,old,79.13095238095238,64.05952380952381,61.83988095238095,61.75595238095239,62.55178571428572
M04,old,79.27380952380952,60.25297619047619,57.445238095238096,57.50714285714286,58.4017857142857
M05,old,79.9422619047619,61.72380952380953,59.904761904761905,59.90357142857143,60.51071428571428
M06,old,78.79464285714286,59.47083333333333,56.735119047619044,56.980357142857144,57.72876984126984
M07,old,79.70238095238096,60.12499999999999,57.17142857142857,57.01309523809523,58.1031746031746
M08,old,78.19285714285714,60.6547619047619,58.46666666666667,58.67380952380953,59.26507936507935
M09,old,78.16190476190476,69.59821428571429,67.6327380952381,67.74702380952381,68.32599206349207
M10,old,78.37380952380953,68.92142857142856,66.9327380952381,67.20535714285715,67.68650793650794
M11,old,80.20238095238095,59.24821428571428,57.95297619047619,58.0202380952381,58.407142857142865
M12,old,77.09761904761905,58.5595238095238,56.63214285714285,56.71488095238095,57.30218253968254
M13,old,78.43214285714286,64.52142857142857,61.977380952380955,61.677976190476194,62.725595238095245
M14,old,80.34821428571428,58.40119047619048,56.55535714285714,56.75714285714286,57.23789682539683
DR-M14,dr,76.70535714285714,56.06666666666666,54.57857142857143,54.68511904761905,55.110119047619044
DR-M11,dr,79.06785714285715,55.82857142857143,54.11785714285714,54.29940476190475,54.74861111111111
DR-M05,dr,77.44166666666666,54.13035714285714,52.608333333333334,52.814880952380946,53.18452380952382
DR-M08,dr,77.82976190476191,53.43154761904761,51.8154761904762,52.18214285714286,52.47638888888889
DR-M07,dr,76.91071428571429,52.969047619047615,51.53214285714286,51.68869047619048,52.063293650793646
DR-M12,dr,77.06904761904761,56.256547619047616,54.68630952380953,54.9047619047619,55.282539682539685
DR-M13,dr,76.1529761904762,54.12380952380952,52.75892857142858,53.12797619047619,53.33690476190477
F-A1,full_new,78.24880952380953,70.21845238095239,67.88214285714285,67.99940476190476,68.7
F-M14,full_new,76.29047619047618,67.00297619047619,64.93809523809524,65.27440476190476,65.73849206349206
F-M11,full_new,77.67619047619047,69.42023809523809,66.9625,66.98035714285714,67.78769841269842
F-M05,full_new,77.25059523809524,67.2642857142857,65.28095238095239,65.50178571428572,66.0156746031746
F-M08,full_new,78.26369047619048,68.47797619047618,66.33154761904761,66.49702380952381,67.10218253968253
F-M12,full_new,77.26190476190476,66.4077380952381,64.4297619047619,64.90892857142858,65.24880952380953
