row,scene,true_tx,predicted_tx,count
M00,clean,0,0,26702
M00,clean,0,1,104
M00,clean,0,2,184
M00,clean,0,3,975
M00,clean,0,4,25
M00,clean,0,5,10
M00,clean,1,0,734
M00,clean,1,1,14449
M00,clean,1,2,63
M00,clean,1,3,12685
M00,clean,1,4,51
M00,clean,1,5,18
M00,clean,2,0,2859
M00,clean,2,1,458
M00,clean,2,2,17382
M00,clean,2,3,3180
M00,clean,2,4,248
M00,clean,2,5,3873
M00,clean,3,0,2457
M00,clean,3,1,7171
M00,clean,3,2,40
M00,clean,3,3,18290
M00,clean,3,4,18
M00,clean,3,5,24
M00,clean,4,0,8
M00,clean,4,1,5
M00,clean,4,2,13
M00,clean,4,3,8
M00,clean,4,4,27958
M00,clean,4,5,8
M00,clean,5,0,42
M00,clean,5,1,23
M00,clean,5,2,103
M00,clean,5,3,29
M00,clean,5,4,768
M00,clean,5,5,27035
M00,leo_clear_weak,0,0,17050
M00,leo_clear_weak,0,1,1550
M00,leo_clear_weak,0,2,382
M00,leo_clear_weak,0,3,8776
M00,leo_clear_weak,0,4,208
M00,leo_clear_weak,0,5,34
M00,leo_clear_weak,1,0,1128
M00,leo_clear_weak,1,1,6110
M00,leo_clear_weak,1,2,85
M00,leo_clear_weak,1,3,20360
M00,leo_clear_weak,1,4,290
M00,leo_clear_weak,1,5,27
M00,leo_clear_weak,2,0,1758
M00,leo_clear_weak,2,1,1292
M00,leo_clear_weak,2,2,15471
M00,leo_clear_weak,2,3,3250
M00,leo_clear_weak,2,4,2099
M00,leo_clear_weak,2,5,4130
M00,leo_clear_weak,3,0,3357
M00,leo_clear_weak,3,1,4423
M00,leo_clear_weak,3,2,864
M00,leo_clear_weak,3,3,18994
M00,leo_clear_weak,3,4,146
M00,leo_clear_weak,3,5,216
M00,leo_clear_weak,4,0,115
M00,leo_clear_weak,4,1,1040
M00,leo_clear_weak,4,2,125
M00,leo_clear_weak,4,3,3096
M00,leo_clear_weak,4,4,23609
M00,leo_clear_weak,4,5,15
M00,leo_clear_weak,5,0,64
M00,leo_clear_weak,5,1,178
M00,leo_clear_weak,5,2,329
M00,leo_clear_weak,5,3,73
M00,leo_clear_weak,5,4,1922
M00,leo_clear_weak,5,5,25434
M00,leo_low_elev_weak,0,0,17361
M00,leo_low_elev_weak,0,1,1476
M00,leo_low_elev_weak,0,2,436
M00,leo_low_elev_weak,0,3,8321
M00,leo_low_elev_weak,0,4,371
M00,leo_low_elev_weak,0,5,35
M00,leo_low_elev_weak,1,0,1722
M00,leo_low_elev_weak,1,1,5777
M00,leo_low_elev_weak,1,2,125
M00,leo_low_elev_weak,1,3,19816
M00,leo_low_elev_weak,1,4,529
M00,leo_low_elev_weak,1,5,31
M00,leo_low_elev_weak,2,0,2114
M00,leo_low_elev_weak,2,1,1212
M00,leo_low_elev_weak,2,2,14698
M00,leo_low_elev_weak,2,3,3390
M00,leo_low_elev_weak,2,4,2242
M00,leo_low_elev_weak,2,5,4344
M00,leo_low_elev_weak,3,0,4253
M00,leo_low_elev_weak,3,1,4193
M00,leo_low_elev_weak,3,2,978
M00,leo_low_elev_weak,3,3,17953
M00,leo_low_elev_weak,3,4,374
M00,leo_low_elev_weak,3,5,249
M00,leo_low_elev_weak,4,0,167
M00,leo_low_elev_weak,4,1,1059
M00,leo_low_elev_weak,4,2,192
M00,leo_low_elev_weak,4,3,3494
M00,leo_low_elev_weak,4,4,23063
M00,leo_low_elev_weak,4,5,25
M00,leo_low_elev_weak,5,0,176
M00,leo_low_elev_weak,5,1,179
M00,leo_low_elev_weak,5,2,330
M00,leo_low_elev_weak,5,3,85
M00,leo_low_elev_weak,5,4,1964
M00,leo_low_elev_weak,5,5,25266
M00,leo_rain_weak,0,0,18001
M00,leo_rain_weak,0,1,1444
M00,leo_rain_weak,0,2,459
M00,leo_rain_weak,0,3,7691
M00,leo_rain_weak,0,4,369
M00,leo_rain_weak,0,5,36
M00,leo_rain_weak,1,0,2126
M00,leo_rain_weak,1,1,5745
M00,leo_rain_weak,1,2,143
M00,leo_rain_weak,1,3,19359
M00,leo_rain_weak,1,4,592
M00,leo_rain_weak,1,5,35
M00,leo_rain_weak,2,0,2281
M00,leo_rain_weak,2,1,1268
M00,leo_rain_weak,2,2,14578
