row,baseline,scene,both_correct,rescue,harm,both_wrong,net_correct,delta_pp
F-A1,M00,clean,123287,8171,8529,28013,-358,-0.2130952380952381
F-A1,M00,leo_clear_weak,97579,20388,9089,40944,11299,6.725595238095238
F-A1,M00,leo_low_elev_weak,94049,19993,10069,43889,9924,5.9071428571428575
F-A1,M00,leo_rain_weak,94532,19707,9706,44055,10001,5.952976190476191
M09,F-A1,clean,127211,4101,4247,32441,-146,-0.0869047619047619
M09,F-A1,leo_clear_weak,109382,7543,8585,42490,-1042,-0.6202380952380953
M09,F-A1,leo_low_elev_weak,104932,8691,9110,45267,-419,-0.2494047619047619
M09,F-A1,leo_rain_weak,105034,8781,9205,44980,-424,-0.2523809523809524
M09,M00,clean,123113,8199,8703,27985,-504,-0.3
M09,M00,leo_clear_weak,98241,18684,8427,42648,10257,6.105357142857143
M09,M00,leo_low_elev_weak,94653,18970,9465,44912,9505,5.657738095238095
M09,M00,leo_rain_weak,94934,18881,9304,44881,9577,5.7005952380952385
M10,F-A1,clean,126581,5087,4877,31455,210,0.125
M10,F-A1,leo_clear_weak,108310,7478,9657,42555,-2179,-1.2970238095238096
M10,F-A1,leo_low_elev_weak,103830,8617,10212,45341,-1595,-0.9494047619047619
M10,F-A1,leo_rain_weak,104149,8756,10090,45005,-1334,-0.794047619047619
M10,M00,clean,123714,7954,8102,28230,-148,-0.0880952380952381
M10,M00,leo_clear_weak,97916,17872,8752,43460,9120,5.428571428571429
M10,M00,leo_low_elev_weak,94517,17930,9601,45952,8329,4.957738095238096
M10,M00,leo_rain_weak,94972,17933,9266,45829,8667,5.1589285714285715
F-M14,F-A1,clean,125204,2964,6254,33578,-3290,-1.9583333333333333
F-M14,F-A1,leo_clear_weak,105934,6631,12033,43402,-5402,-3.2154761904761906
F-M14,F-A1,leo_low_elev_weak,101605,7491,12437,46467,-4946,-2.9440476190476192
F-M14,F-A1,leo_rain_weak,101995,7666,12244,46095,-4578,-2.725
F-M14,M00,clean,120959,7209,10857,28975,-3648,-2.1714285714285713
F-M14,M00,leo_clear_weak,96518,16047,10150,45285,5897,3.510119047619048
F-M14,M00,leo_low_elev_weak,92748,16348,11370,47534,4978,2.9630952380952382
F-M14,M00,leo_rain_weak,93020,16641,11218,47121,5423,3.2279761904761903
F-M11,F-A1,clean,127738,2758,3720,33784,-962,-0.5726190476190476
F-M11,F-A1,leo_clear_weak,111965,4661,6002,45372,-1341,-0.7982142857142858
F-M11,F-A1,leo_low_elev_weak,107467,5030,6575,48928,-1545,-0.9196428571428571
F-M11,F-A1,leo_rain_weak,107482,5045,6757,48716,-1712,-1.019047619047619
F-M11,M00,clean,123250,7246,8566,28938,-1320,-0.7857142857142857
F-M11,M00,leo_clear_weak,97225,19401,9443,41931,9958,5.927380952380952
F-M11,M00,leo_low_elev_weak,93586,18911,10532,44971,8379,4.9875
F-M11,M00,leo_rain_weak,93893,18634,10345,45128,8289,4.933928571428571
F-M05,F-A1,clean,126257,3524,5201,33018,-1677,-0.9982142857142857
F-M05,F-A1,leo_clear_weak,105658,7346,12309,42687,-4963,-2.9541666666666666
F-M05,F-A1,leo_low_elev_weak,101237,8435,12805,45523,-4370,-2.6011904761904763
F-M05,F-A1,leo_rain_weak,101608,8435,12631,45326,-4196,-2.4976190476190476
F-M05,M00,clean,122240,7541,9576,28643,-2035,-1.2113095238095237
F-M05,M00,leo_clear_weak,97319,15685,9349,45647,6336,3.7714285714285714
F-M05,M00,leo_low_elev_weak,93720,15952,10398,47930,5554,3.3059523809523808
F-M05,M00,leo_rain_weak,93994,16049,10244,47713,5805,3.455357142857143
F-M08,F-A1,clean,127071,4412,4387,32130,25,0.01488095238095238
F-M08,F-A1,leo_clear_weak,107096,7947,10871,42086,-2924,-1.7404761904761905
F-M08,F-A1,leo_low_elev_weak,102432,9005,11610,44953,-2605,-1.5505952380952381
F-M08,F-A1,leo_rain_weak,102721,8994,11518,44767,-2524,-1.5023809523809524
F-M08,M00,clean,123677,7806,8139,28378,-333,-0.1982142857142857
F-M08,M00,leo_clear_weak,98375,16668,8293,44664,8375,4.9851190476190474
F-M08,M00,leo_low_elev_weak,94766,16671,9352,47211,7319,4.356547619047619
F-M08,M00,leo_rain_weak,94995,16720,9243,47042,7477,4.4505952380952385
F-M12,F-A1,clean,126006,3794,5452,32748,-1658,-0.986904761904762
F-M12,F-A1,leo_clear_weak,105088,6477,12879,43556,-6402,-3.8107142857142855
F-M12,F-A1,leo_low_elev_weak,100906,7336,13136,46622,-5800,-3.4523809523809526
F-M12,F-A1,leo_rain_weak,101505,7542,12734,46219,-5192,-3.0904761904761906
F-M12,M00,clean,122632,7168,9184,29016,-2016,-1.2
F-M12,M00,leo_clear_weak,96091,15474,10577,45858,4897,2.9148809523809525
F-M12,M00,leo_low_elev_weak,92382,15860,11736,48022,4124,2.454761904761905
F-M12,M00,leo_rain_weak,93049,15998,11189,47764,4809,2.8625
