row,scene,correct,total,accuracy_percent,macro_f1_percent,macro_precision_percent,macro_recall_percent
M00,clean,131816,168000,78.46190476190476,78.15014117160543,79.94734105173816,78.46190476190475
M00,leo_clear_weak,106668,168000,63.49285714285714,63.52643202871292,67.94577030328458,63.49285714285714
M00,leo_low_elev_weak,104118,168000,61.975,61.81228552470689,65.93027015987111,61.975
M00,leo_rain_weak,104238,168000,62.04642857142857,61.731807931917906,65.52264133854308,62.04642857142857
F-A1,clean,131458,168000,78.24880952380953,78.04615354055909,79.47683388542409,78.24880952380951
F-A1,leo_clear_weak,117967,168000,70.21845238095239,70.09476228399855,71.77638322044899,70.21845238095239
F-A1,leo_low_elev_weak,114042,168000,67.88214285714285,67.75465034112335,69.62123359714558,67.88214285714285
F-A1,leo_rain_weak,114239,168000,67.99940476190476,67.80677447534455,69.57118040154225,67.99940476190476
M09,clean,131312,168000,78.16190476190476,77.96501099909102,79.39843843505496,78.16190476190475
M09,leo_clear_weak,116925,168000,69.59821428571429,69.61049797197583,71.68246403289585,69.59821428571429
M09,leo_low_elev_weak,113623,168000,67.6327380952381,67.68269843618224,69.76194942179633,67.6327380952381
M09,leo_rain_weak,113815,168000,67.74702380952381,67.72880266549912,69.65181940801148,67.74702380952381
M10,clean,131668,168000,78.37380952380953,78.18010106473923,79.51041980050744,78.37380952380953
M10,leo_clear_weak,115788,168000,68.92142857142856,68.91686492161743,71.3486538140543,68.92142857142856
M10,leo_low_elev_weak,112447,168000,66.9327380952381,66.90112649685274,69.26380724303344,66.9327380952381
M10,leo_rain_weak,112905,168000,67.20535714285715,67.11842451523457,69.32893392280924,67.20535714285715
F-M14,clean,128168,168000,76.29047619047618,76.10387399590427,77.79069961439859,76.29047619047618
F-M14,leo_clear_weak,112565,168000,67.00297619047619,67.12513868367488,70.04761288524789,67.00297619047619
F-M14,leo_low_elev_weak,109096,168000,64.93809523809524,65.05246848312953,67.88315884756973,64.93809523809524
F-M14,leo_rain_weak,109661,168000,65.27440476190476,65.32955257911848,67.87563797854176,65.27440476190476
F-M11,clean,130496,168000,77.67619047619047,77.45514337997257,78.88784885482274,77.67619047619048
F-M11,leo_clear_weak,116626,168000,69.42023809523809,69.37088824406378,71.35092937030385,69.42023809523809
F-M11,leo_low_elev_weak,112497,168000,66.9625,66.83702090841736,69.00618185072315,66.9625
F-M11,leo_rain_weak,112527,168000,66.98035714285714,66.8278671667644,68.90496439580095,66.98035714285714
F-M05,clean,129781,168000,77.25059523809524,76.86827197842611,78.28555019556345,77.25059523809524
F-M05,leo_clear_weak,113004,168000,67.2642857142857,67.1812876668267,69.73354533075246,67.26428571428572
F-M05,leo_low_elev_weak,109672,168000,65.28095238095239,65.16591209182064,67.56718899187665,65.28095238095239
F-M05,leo_rain_weak,110043,168000,65.50178571428572,65.31309116102022,67.4837924551178,65.50178571428572
F-M08,clean,131483,168000,78.26369047619048,77.88164782600074,78.98891912035685,78.26369047619048
F-M08,leo_clear_weak,115043,168000,68.47797619047618,68.30889736512714,70.54712811522609,68.47797619047618
F-M08,leo_low_elev_weak,111437,168000,66.33154761904761,66.12850809221665,68.30883328415823,66.33154761904761
F-M08,leo_rain_weak,111715,168000,66.49702380952381,66.20026931160086,68.19383847117221,66.49702380952381
F-M12,clean,129800,168000,77.26190476190476,77.12469399264742,78.71564527909625,77.26190476190476
F-M12,leo_clear_weak,111565,168000,66.4077380952381,66.68890731270784,69.86043486632207,66.40773809523809
F-M12,leo_low_elev_weak,108242,168000,64.4297619047619,64.61727773083489,67.63848962590703,64.4297619047619
F-M12,leo_rain_weak,109047,168000,64.90892857142858,65.00439088909921,67.73852656964574,64.90892857142858
