run,row,inherited_target_contact,scene,true_tx,predicted_tx,count
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,0,0,25967
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,0,1,357
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,0,2,130
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,0,3,1517
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,0,4,20
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,0,5,9
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,1,0,412
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,1,1,12370
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,1,2,15
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,1,3,15120
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,1,4,71
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,1,5,12
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,2,0,1212
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,2,1,1665
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,2,2,19825
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,2,3,1250
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,2,4,106
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,2,5,3942
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,3,0,2080
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,3,1,6806
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,3,2,331
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,3,3,18717
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,3,4,25
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,3,5,41
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,4,0,7
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,4,1,14
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,4,2,28
