run,row,inherited_target_contact,scene,scope,group,correct,total,accuracy_pct
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,day,0,32788,42000,78.06666666666666
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,day,1,34145,42000,81.29761904761905
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,day,2,32022,42000,76.24285714285715
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,day,3,32874,42000,78.27142857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,rx,0,19933,24000,83.05416666666666
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,rx,10,20201,24000,84.17083333333333
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,rx,11,18607,24000,77.52916666666667
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,rx,2,14749,24000,61.454166666666666
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,rx,5,21351,24000,88.9625
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,rx,7,17034,24000,70.975
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,rx,9,19954,24000,83.14166666666667
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,rx_day,0:0,4189,6000,69.81666666666666
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,rx_day,0:1,5173,6000,86.21666666666667
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,rx_day,0:2,5418,6000,90.3
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,rx_day,0:3,5153,6000,85.88333333333334
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,rx_day,10:0,5388,6000,89.8
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,False,clean,rx_day,10:1,4872,6000,81.2
