family,run,row,seed,status,clean,leo_clear_weak,leo_low_elev_weak,leo_rain_weak,leo_mean,source_table,comparison_warning,inherited_target_contact
A1,a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,392005,COMPLETE_SCORED,78.46964285714286,69.19999999999999,67.51071428571429,67.66309523809524,68.12460317460318,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,392005,COMPLETE_SCORED,79.1327380952381,69.67023809523809,67.83214285714286,68.04761904761905,68.51666666666667,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,392005,COMPLETE_SCORED,78.42023809523809,69.27678571428572,67.64345238095238,67.7017857142857,68.20734126984128,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,392005,COMPLETE_SCORED,78.73392857142856,69.45595238095238,67.69940476190476,67.95238095238095,68.36924603174604,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,392005,COMPLETE_SCORED,78.4297619047619,68.88511904761904,67.23928571428571,67.4375,67.85396825396826,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_ecrs_cross_rx_s392005_20260909_r1,X5_BALANCED_L,392005,COMPLETE_SCORED,78.25,65.4029761904762,64.03928571428571,64.10357142857143,64.51527777777777,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_ecrs_cross_rx_s392005_20260909_r1,X6_BOUNDED_DOMAIN,392005,COMPLETE_SCORED,78.73154761904762,68.27559523809525,66.46666666666667,66.54464285714286,67.09563492063492,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,392005,COMPLETE_SCORED,75.99761904761905,65.05833333333332,63.463095238095235,63.774404761904755,64.0986111111111,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_extended_s392005_20260910_r1,R3_CLEAN_RX_E400,392005,COMPLETE_SCORED,76.05059523809524,70.25714285714287,69.14464285714286,69.50595238095238,69.6359126984127,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_extended_s392005_20260910_r1,X2_E400,392005,COMPLETE_SCORED,77.49880952380951,70.84166666666667,69.4654761904762,69.79404761904762,70.03373015873017,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,392005,COMPLETE_SCORED,76.62142857142857,68.92023809523809,66.93452380952381,67.16726190476192,67.67400793650795,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",True
A1,a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,392005,COMPLETE_SCORED,76.73392857142856,68.88988095238095,66.9327380952381,67.07738095238095,67.63333333333333,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",True
A1,a1_fast_v2_s392005_20260909_r1,F0_FIXED_BASE,392005,COMPLETE_SCORED,79.84642857142858,69.28214285714286,67.46011904761905,67.61011904761904,68.11746031746031,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_fast_v2_s392005_20260909_r1,F1_RUNTIME,392005,COMPLETE_SCORED,78.93571428571428,69.05714285714286,67.22440476190476,67.4047619047619,67.89543650793651,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_fast_v2_s392005_20260909_r1,F2_WARM_EMA,392005,COMPLETE_SCORED,78.86071428571428,69.14345238095238,67.51547619047619,67.59880952380952,68.0859126984127,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_fast_v2_s392005_20260909_r1,F3_COVERAGE_KL,392005,COMPLETE_SCORED,78.90238095238095,68.33869047619048,66.56369047619047,66.87083333333334,67.2577380952381,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_mechanism_periodic_s392005_20260910_r1,B0_FIXED,392005,COMPLETE_SCORED,77.67380952380952,68.81190476190476,67.2547619047619,67.42797619047619,67.83154761904761,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_mechanism_periodic_s392005_20260910_r1,B1_TAIL_LR,392005,COMPLETE_SCORED,78.25357142857143,69.48035714285714,67.7845238095238,68.22738095238095,68.49742063492063,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_mechanism_periodic_s392005_20260910_r1,B2_RC4_WEIGHT,392005,COMPLETE_SCORED,78.6922619047619,68.97857142857143,67.25357142857142,67.41904761904762,67.88373015873015,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_mechanism_periodic_s392005_20260910_r1,D0_NO_ORBIT,392005,COMPLETE_SCORED,77.81071428571428,65.20357142857142,62.94345238095238,63.00476190476191,63.717261904761905,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_mechanism_periodic_s392005_20260910_r1,D1_THREE_VIEW,392005,COMPLETE_SCORED,79.09345238095239,69.52202380952382,67.65654761904763,67.73154761904762,68.30337301587302,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_mechanism_periodic_s392005_20260910_r1,D2_PHYSICAL_ORBIT,392005,COMPLETE_SCORED,78.04702380952381,67.79642857142856,66.14047619047619,66.32321428571429,66.75337301587302,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_mechanism_periodic_s392005_20260910_r1,D3_TANGENT,392005,COMPLETE_SCORED,78.8125,68.98809523809524,67.25178571428572,67.48690476190477,67.90892857142858,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_mechanism_periodic_s392005_20260910_r1,E0_RESPONSE_ONLY,392005,COMPLETE_SCORED,79.77321428571429,69.93273809523811,68.08214285714286,68.1297619047619,68.71488095238095,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_mechanism_periodic_s392005_20260910_r1,F0_R3_REFERENCE,392005,COMPLETE_SCORED,78.66250000000001,67.97678571428571,66.20595238095238,66.5345238095238,66.90575396825398,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_mechanism_periodic_s392005_20260910_r1,F1_R3_CONTINUOUS,392005,COMPLETE_SCORED,78.91309523809524,68.68035714285713,67.21666666666667,67.42261904761905,67.77321428571429,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_mechanism_periodic_s392005_20260910_r1,F2_R3_IDENTITY,392005,COMPLETE_SCORED,78.60535714285714,68.53035714285714,66.85357142857143,66.87142857142857,67.41845238095237,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_mechanism_periodic_s392005_20260910_r1,F3_R3_SWAP,392005,COMPLETE_SCORED,77.81130952380953,67.91071428571429,66.53690476190476,66.82142857142857,67.08968253968254,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_r3_budget_s392005_20260909_r2,R3_B120,392005,COMPLETE_SCORED,77.36964285714286,64.775,63.60178571428572,63.7077380952381,64.0281746031746,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_r3_budget_s392005_20260909_r2,R3_B160,392005,COMPLETE_SCORED,78.58035714285714,67.79107142857143,66.10833333333333,66.38214285714285,66.76051587301588,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_r3_scratch_s392005_20260908_r1,R3_FAST_SEQUENTIAL,392005,COMPLETE_SCORED,78.61488095238094,69.27380952380953,67.51309523809523,67.91011904761905,68.23234126984127,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_r3_scratch_s392005_20260908_r1,R3_REFERENCE,392005,COMPLETE_SCORED,79.1125,69.56964285714285,67.81904761904762,68.15119047619046,68.51329365079364,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
A1,a1_r3_scratch_s392005_20260908_r1,R3_STRUCTURE_CONTROL,392005,COMPLETE_SCORED,77.98869047619048,68.64226190476191,66.94940476190476,67.11190476190477,67.56785714285714,E:\type10-7\automation_reports\CV-SincNet\all_exploration_20260913\all_final_results.csv,"row records, not unique independent models; compare only matched conditions",False
GAME_V1,,B0,392005,scored,74.36428571428571,62.9375,61.335119047619045,61.13392857142858,61.80218253968254,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B1,392005,scored,73.62619047619047,64.38809523809523,62.15714285714286,61.705952380952375,62.75039682539681,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V1,,B2,392005,scored,77.0625,65.2845238095238,63.250595238095244,62.813095238095244,63.7827380952381,E:\type10-7\docs\evidence\core90_optimization_summary_392005.csv,"row records, not unique independent models; compare only matched conditions",
