row,origin_epoch,actions,scenes,satellite_selected_by_scene,grad_norm,loss,term_tx,term_dom,term_adv,term_orth,term_cons,term_group_ce,term_fishr,term_proto,term_open_world_feat,term_zid_compact,term_proxy_unknown,term_soft_unknown_mixup,term_source_episode,term_sat_cls,hard_count,partial_count,negative_count,satellite_samples,term_unlabeled_ce,term_unlabeled_entropy,term_daot_labeled,term_daot_unlabeled,term_rc4_total,term_rc4_identity,term_rc4_domain,term_rc4_self,term_daot_L_orbit_z,term_daot_U_orbit_z,term_daot_L_orbit_logit,term_daot_U_orbit_logit,term_daot_L_orbit_proto,term_daot_U_orbit_proto,term_daot_L_orbit_relation,term_daot_U_orbit_relation,term_daot_L_tangent,term_daot_U_tangent,term_daot_L_nuisance,term_daot_U_nuisance,term_daot_L_fingerprint,term_daot_U_fingerprint,term_rc4_hard,term_rc4_partial_set,term_rc4_partial_conditional,term_rc4_negative_set,term_rc4_adv,term_rc4_satellite,term_rc4_feature_anchor,term_x_cross_rx,term_u_normalized,weighted_daot_orbit_z,weighted_daot_orbit_logit,weighted_daot_orbit_proto,weighted_daot_orbit_relation,weighted_daot_tangent,weighted_daot_nuisance,weighted_daot_fingerprint,weighted_rc4_hard,weighted_rc4_partial_set,weighted_rc4_partial_conditional,weighted_rc4_adv,weighted_rc4_negative,weighted_rc4_domain,weighted_rc4_self,weighted_rc4_satellite,weighted_rc4_anchor
F-M00,1,"{""NORMAL"": 222}","{""leo_clear_weak"": 222}","{""leo_clear_weak"": 8554}",26.860140791539408,16.831543372558045,12.42642896669405,2.708304919638075,2.7181903607136495,0.0004988709476599177,0.0,12.867677581202877,0.013659307737373285,0.2749181995923455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-M00,2,"{""NORMAL"": 222}","{""leo_clear_weak"": 222}","{""leo_clear_weak"": 8505}",24.705547452548167,14.845733165740967,10.856434968140748,2.3822571640616066,2.7087769948684417,0.000648970775875716,0.0,11.774819460001078,0.0134989177506115,0.26529217833602753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-M00,3,"{""NORMAL"": 222}","{""leo_clear_weak"": 222}","{""leo_clear_weak"": 8540}",32.74946800599731,10.370688683277852,7.049405763815115,1.9260933409940015,2.7031209211091736,0.0004676937053256945,0.0,9.141954445624137,0.012533664306927775,0.32986709985647117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-M00,4,"{""NORMAL"": 222}","{""leo_clear_weak"": 222}","{""leo_clear_weak"": 8544}",38.631076578478094,7.400795947324048,4.539160548029719,1.632135016424162,2.6967507493388547,0.0004710532407730457,0.0,7.091095348736188,0.009374343507990308,0.35065246125062305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-M00,5,"{""NORMAL"": 222}","{""leo_clear_weak"": 222}","{""leo_clear_weak"": 8463}",38.023688834530184,6.390372044331318,3.7712456229570748,1.453244122835967,2.6893078486124673,0.0006548406017827801,0.0,6.319929511697443,0.00774644868058228,0.33789923840814884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-M00,6,"{""NORMAL"": 222}","{""leo_clear_weak"": 222}","{""leo_clear_weak"": 8524}",36.37923173576616,5.226518926319775,2.8749585323505573,1.282309929529826,2.6801056894096167,0.0008439051094470202,0.0,5.1422741209064515,0.005972612753556622,0.3070798872693165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-M00,7,"{""NORMAL"": 222}","{""leo_clear_weak"": 222}","{""leo_clear_weak"": 8493}",35.35495989477855,4.930712607529786,2.701091503237819,1.1889020464978777,2.6704164496413223,0.0010212988857568456,0.0,4.8158685683130145,0.005113145319728164,0.30233600749088835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-M00,8,"{""NORMAL"": 222}","{""leo_clear_weak"": 222}","{""leo_clear_weak"": 8530}",35.16131641596032,5.064301289953627,2.8806542987759047,1.1375706152872995,2.6600567832723394,0.0012257143799443667,0.0,4.888863140935296,0.0049476181214616576,0.3039521655520877,0.0,0.06413127888027612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-M00,9,"{""NORMAL"": 222}","{""leo_clear_weak"": 222}","{""leo_clear_weak"": 8614}",30.569499573237522,4.221279634011759,2.204749071114772,1.0447763593884203,2.6549947809528662,0.0015608764274270266,0.0,3.952321809154373,0.004309393029485888,0.27333202159351055,0.0,0.12527115894733248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-M00,10,"{""NORMAL"": 222}","{""leo_clear_weak"": 222}","{""leo_clear_weak"": 8412}",31.402414101981137,4.370317838750444,2.380943196313875,1.0048181301838643,2.6592756509780884,0.0017090719349227158,0.0,4.072947109604741,0.004184268633646236,0.2803424093368891,0.0,0.19034360194796915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
