row,step,origin_epoch,x_enabled,u_enabled,legal_anchors,normalized_valid_blocks,normalized_unavailable_blocks,x_weighted_identity_grad_norm,u_weighted_identity_grad_norm,xu_gradient_cosine,configured,full_extensions,daot_executed,rc4_executed,identity_active,tangent_scheduled,u_samples,hard_count,partial_count,negative_count,satellite_samples,prototype_rows,anchor_active,rc4_u_grl_lambda,scale_commits_before,daot_labeled,daot_unlabeled,rc4_identity,rc4_total,daot_grad_norm,rc4_grad_norm,daot_orbit_z_grad_norm,daot_orbit_logit_grad_norm,daot_orbit_proto_grad_norm,daot_orbit_relation_grad_norm,daot_tangent_grad_norm,daot_nuisance_grad_norm,daot_fingerprint_grad_norm,rc4_hard_grad_norm,rc4_partial_set_grad_norm,rc4_partial_conditional_grad_norm,rc4_adv_grad_norm,rc4_negative_grad_norm,rc4_domain_grad_norm,rc4_self_grad_norm,rc4_satellite_grad_norm,rc4_anchor_grad_norm,nuisance_head_grad_norm,weighted_daot_orbit_z,weighted_daot_orbit_logit,weighted_daot_orbit_proto,weighted_daot_orbit_relation,weighted_daot_tangent,weighted_daot_nuisance,weighted_daot_fingerprint,weighted_rc4_hard,weighted_rc4_partial_set,weighted_rc4_partial_conditional,weighted_rc4_adv,weighted_rc4_negative,weighted_rc4_domain,weighted_rc4_self,weighted_rc4_satellite,weighted_rc4_anchor
F-M05,0,1,True,True,128,4,0,0.0004215387161821127,9.933748515322804e-05,-0.21833790838718414,True,True,False,True,False,False,256,0,0,0,0,0,False,0.0,0,0.0,0.0,-0.0,0.8618261218070984,0.0,0.7444578690337158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3550998245717743,0.0,0.638678564404922,0.14216653868384876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.4214397668838501,-0.0,0.44444242119789124,-0.004056045785546303,0.0,-0.0
F-M05,1000,5,True,True,128,4,0,0.0013215402141213417,0.00038131000474095345,0.12834873795509338,True,True,False,True,False,False,256,0,0,0,0,0,False,0.0,1000,0.0,0.0,-0.0,0.622779130935669,0.0,2.0009046202141887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22516198904260049,0.0,1.9881747996741532,0.009074349866906101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.42974233627319336,-0.0,0.29119157791137695,-0.09815481305122375,0.0,-0.0
F-M05,2000,10,True,True,128,4,0,0.001607044949196279,0.00041558415978215635,0.12686936557292938,True,True,False,True,False,False,256,0,0,0,0,0,False,0.0,2000,0.0,0.0,-0.0,0.39477232098579407,0.0,1.1415517685408576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818864159409361,0.0,1.106005265417137,0.02080484506294059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.4390052258968353,-0.0,0.05376030504703522,-0.09799321740865707,0.0,-0.0
F-M05,3000,14,True,True,128,4,0,0.0009377041715197265,0.00023019328364171088,0.124758780002594,True,True,False,True,False,False,256,0,0,0,0,0,False,0.0,3000,0.0,0.0,-0.0,0.45062685012817383,0.0,2.2750295211326486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2495310760947107,0.0,2.2612856257449603,0.008992455773373154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.42601442337036133,-0.0,0.12390533834695816,-0.09929291903972626,0.0,-0.0
F-M05,4000,19,True,True,128,4,0,0.002382580190896988,0.0005595677648670971,0.18788623809814453,True,True,False,True,False,False,256,0,0,0,0,0,False,0.0,4000,0.0,0.0,-0.0,0.3820789158344269,0.0,3.2731613468205314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46757317130493076,0.0,3.2395905859865466,0.0036478162833535844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.4303992688655853,-0.0,0.05153166502714157,-0.09985203295946121,0.0,-0.0
F-M05,5000,23,True,True,128,4,0,0.0011640202719718218,0.00026958828675560653,0.2862774133682251,True,True,True,True,True,False,256,0,0,51,0,6,True,0.0,5000,0.03936927765607834,0.0704294890165329,5.552066806302491e-09,0.4481165111064911,1.2287516321091696,2.158926984976151,0.08791711757870319,0.4125033818156681,0.8452982421343295,0.035387269316090646,0.0,0.07749308608219933,0.0,0.0,0.0,0.0,0.6811443188239009,1.9613980861545374e-07,2.0486573016569403,0.00336044177476531,0.0,9.653627164838013e-05,0.07638765625580414,0.06705256551504135,0.019229860976338387,0.025175221264362335,0.006103133782744408,0.0,-0.007762011606246233,0.0,-0.0,-0.0,-0.0,0.4261524975299835,1.1104134278738798e-09,0.12172846496105194,-0.09985469281673431,0.0,9.027193300426006e-05
F-M05,6000,28,True,True,128,4,0,0.0009252848103642464,0.00021404285507742316,0.10247640311717987,True,True,True,True,True,False,256,0,0,104,0,6,True,0.0,6000,0.15080396831035614,0.16848567128181458,9.899169839400201e-08,0.49047645926475525,2.4208150403676676,3.1881397383746006,0.6325919670711245,1.4410346883605059,0.953591227390769,0.09321487956523856,0.0,0.17442545353992134,0.0,0.0,0.0,0.0,0.2705965757199326,3.541392306147609e-06,3.176356353310544,0.040092058815713885,0.0,0.0021661039779649026,0.17342867177660123,0.18562868237495422,0.08340050280094147,0.052399892359972,0.017925867810845375,0.0,-0.0200653076171875,0.0,-0.0,-0.0,-0.0,0.4321974515914917,1.9798340744614507e-08,0.15696893632411957,-0.09884776175022125,0.0,0.0001577930961502716
F-M05,7000,32,True,True,128,4,0,0.00022587984858546406,0.00010103703971253708,0.19574561715126038,True,True,True,True,True,False,256,0,0,207,0,6,True,0.0,7000,0.3232451379299164,0.2947388291358948,1.5440652987308567e-06,0.35432782769203186,3.884299392232153,0.9060831650900959,0.8386095408583727,2.5603864002678214,1.7184873803441783,0.29263625224326784,0.0,0.4813385199236394,0.0,0.0,0.0,0.0,0.372505133219147,0.00011299095929439926,0.8259649855408233,0.0028038804839241073,0.0,0.0006501061033506942,0.48125390566921356,0.3486179709434509,0.1494816392660141,0.11932644248008728,0.03070724382996559,0.0,-0.030149336904287338,0.0,-0.0,-0.0,-0.0,0.4199341833591461,3.088130711148551e-07,0.03388532996177673,-0.09968224912881851,0.0,0.00019026777590624988
F-M05,8000,37,True,True,128,4,0,0.00013747467892244458,6.171390123199672e-05,0.1950947344303131,True,True,True,True,True,False,256,0,0,78,0,6,True,0.0,8000,0.39102688431739807,0.3588622808456421,1.9516345872716556e-08,0.4393620491027832,4.2817913258191735,1.9213414875183172,0.5300595358310204,3.3739567030960003,1.1416454075139504,0.19866867961909945,0.0,0.5689920908837597,0.0,0.0,0.0,0.0,0.6921765632450224,5.724194055390686e-07,1.7923277519411212,0.002398170901829467,0.0,0.0004136425758424159,0.5687276341510309,0.4343681335449219,0.20873421430587769,0.11335936933755875,0.03567569702863693,0.0,-0.04224826395511627,0.0,-0.0,-0.0,-0.0,0.4089010953903198,3.903269263361153e-09,0.13005943596363068,-0.09983884543180466,0.0,0.00024038006085902452
F-M05,9000,41,True,True,128,4,0,0.00019973803136963397,5.7203164033126086e-05,0.21445581316947937,True,True,True,True,True,False,256,0,0,74,0,6,True,0.0,9000,0.49037986993789673,0.6150323152542114,1.0820614988915622e-05,0.48069027066230774,10.656596138561598,2.3547429011882914,0.9046767070110866,4.2989783632379925,8.124703096116045,0.373916667998101,0.0,0.5352658220163,0.0,0.0,0.0,0.0,0.7534190936274855,0.0007510489363459332,2.2308947473580334,0.01614112650309629,0.0,0.0007230802224191634,0.5350294835946685,0.5393259525299072,0.22192281484603882,0.3437342941761017,0.05315745994448662,0.0,-0.05272835120558739,0.0,-0.0,-0.0,-0.0,0.4548141658306122,2.1641230887325946e-06,0.12493760138750076,-0.0993138775229454,0.0,0.0002502056013327092
F-M05,10000,46,True,True,128,4,0,0.0004262679140083492,0.00010420356557006016,0.290778785943985,True,True,True,True,True,False,256,0,0,51,0,6,True,0.0,10000,0.814187228679657,0.3509238660335541,0.0,0.32162341475486755,13.155261442783036,0.6433753240965024,0.9041271522944162,4.426285425160299,8.204728380454712,0.33175121139953795,0.0,0.5273810837903516,0.0,0.0,0.0,0.0,0.6433257318329592,2.1092935392154872e-08,0.007821504886024297,0.001620682639598584,0.0,7.871025201415797e-05,0.5271952237526185,0.5758035182952881,0.2501530051231384,0.3435458540916443,0.06122929975390434,0.0,-0.06562058627605438,0.0,0.0,0.0,0.0,0.42127978801727295,0.0,0.00020189925271552056,-0.09994412958621979,0.0,8.587025513406843e-05
F-M05,11000,50,True,True,128,4,0,0.00017489527817815542,5.552845323109068e-05,0.2763250768184662,True,True,True,True,True,False,256,0,0,71,0,6,True,0.0,11000,0.5514621138572693,0.5627697706222534,7.448939413734479e-06,0.36923152208328247,19.17729509073339,1.349056135185303,2.0077022215361118,4.324156103718256,12.43087460503347,0.9888362569482487,0.0,0.7895578290124793,0.0,0.0,0.0,0.0,0.5271293427233984,0.0016809068450304786,1.2418015597600425,0.0031474234387647514,0.0,0.0001194400872380756,0.7894357453049511,0.6475898623466492,0.17326992750167847,0.2920534610748291,0.07625794410705566,0.0,-0.0749392881989479,0.0,0.0,0.0,0.0,0.4373403787612915,1.4897879054842633e-06,0.03152794390916824,-0.09972738474607468,0.0,8.910326141631231e-05
F-M05,12000,55,True,True,128,4,0,0.0006172170978970826,0.0001368554512737319,0.18785619735717773,True,True,True,True,True,False,256,0,0,44,0,6,True,0.0,12000,0.8925891518592834,0.5025695562362671,0.0,0.2973339557647705,8.968710009417306,0.8209395454711319,2.299052221427266,3.5818727968579873,4.159526437498035,0.6539076401340085,0.0,0.3700531547282216,0.0,0.0,0.0,0.0,0.7463534847685604,3.9074610775129696e-08,0.3418952333384451,0.0024209297070465763,0.0,3.44434568281176e-05,0.3690841910235671,0.8181064128875732,0.27249875664711,0.3151894807815552,0.07699143141508102,0.0,-0.08762745559215546,0.0,0.0,0.0,0.0,0.3887326717376709,0.0,0.008412611670792103,-0.09989217668771744,0.0,8.08627373771742e-05
F-M05,13000,59,True,True,128,4,0,0.00016418781888205558,5.1626888307509944e-05,0.1909029185771942,True,True,True,True,True,False,256,0,0,51,0,6,True,0.0,13000,0.9481050372123718,0.5991942286491394,0.0,0.33610671758651733,9.049678287568074,0.5254900241328153,0.697611303535296,2.5033511104917427,6.842495665383263,0.19291412989048567,0.0,2.0766155159009787,0.0,0.0,0.0,0.0,0.5254554296432099,1.2163687308644602e-08,0.0057727488598156695,0.0017404837956771916,0.0,7.997378999423346e-05,2.0765300892640095,0.8724097609519958,0.261870414018631,0.4133816063404083,0.09654469788074493,0.0,-0.09690731763839722,0.0,0.0,0.0,0.0,0.43585503101348877,0.0,0.00010721838043536991,-0.09993844479322433,0.0,8.290569530799985e-05
F-M05,14000,64,True,True,128,4,0,0.00015708290447946638,4.368117151898332e-05,0.26904693245887756,True,True,True,True,True,True,256,0,0,253,0,6,True,0.0,14000,0.821556568145752,0.9443358182907104,2.819646624629968e-06,0.3831654489040375,8.441257270083183,0.5476694663007874,1.0014800519078413,5.997596815131938,3.970313798592767,0.5129718507413519,0.007957930361741673,1.9651108881687118,0.0,0.0,0.0,0.0,0.3256747575766528,0.00013932182520784623,0.44029135255735463,0.004472094220314416,0.0,0.000478812182992479,1.9650147268978782,1.0911259651184082,0.36441394686698914,0.3021889328956604,0.10496599972248077,0.002607978181913495,-0.09941049665212631,0.0,-0.0,-0.0,-0.0,0.45371150970458984,5.639293476633611e-07,0.028841456398367882,-0.09973680227994919,0.0,0.00034870245144702494
F-M05,15000,68,True,True,128,4,0,0.0002952388604171574,7.890160486567765e-05,0.397634357213974,True,True,True,True,True,True,256,0,0,78,0,6,True,0.0,15000,1.0561293363571167,0.9612909555435181,2.8118662953602325e-08,0.33944034576416016,16.12581874478181,0.712232927068192,1.4968296387274471,6.201600066958555,10.292042862128396,0.6116441317162907,0.02576790658703606,1.171167813581657,0.0,0.0,0.0,0.0,0.5251893525663871,6.679471086250808e-07,0.4810825875036164,0.0031742020523756395,0.0,0.0003623197098005044,1.1710922110301232,1.0237524509429932,0.5058995485305786,0.4783691465854645,0.10382027924060822,0.005689241923391819,-0.1001102477312088,0.0,-0.0,-0.0,-0.0,0.42739856243133545,5.623732590720465e-09,0.011542633175849915,-0.09981407970190048,0.0,0.0003132461861241609
F-M05,16000,73,True,True,128,4,0,0.00028185779228806496,5.960968337603845e-05,0.39262035489082336,True,True,True,True,True,True,256,0,0,51,0,6,True,0.0,16000,0.7171308994293213,0.6821062564849854,3.701220219198831e-09,0.3494044542312622,7.866128473101189,0.6389354799021002,0.8221337266262033,2.671726565513458,4.935909966285185,0.40630685095272456,0.04507685937377098,1.9137685100461135,0.0,0.0,0.0,0.0,0.4913739212250852,7.815750338795131e-08,0.40839800911817886,0.001131583686556898,0.0,4.987297610120527e-05,1.9136153091638655,0.9247499704360962,0.2283364087343216,0.25411584973335266,0.08456040173768997,0.007724478375166655,-0.10024990141391754,0.0,0.0,0.0,0.0,0.4330800175666809,7.402440327375359e-10,0.01616373285651207,-0.09991760551929474,0.0,7.830938557162881e-05
F-M05,17000,77,True,True,128,4,0,0.00024100978043861687,5.2046751079615206e-05,0.29997000098228455,True,True,True,True,True,True,256,0,0,51,0,6,True,0.0,17000,0.7473978996276855,0.6800990700721741,1.8510135646465642e-09,0.35097140073776245,11.952188037011336,0.5665752810413157,0.65567793747627,3.502305413391856,7.790008954318875,0.49143992052191054,0.014545658569039941,0.7289300737551091,0.0,0.0,0.0,0.0,0.42641051934652224,4.529025663571278e-08,0.37306631601643103,0.0017683231129005264,0.0,5.5083372524974905e-05,0.7287855720024308,0.9147926568984985,0.20787577331066132,0.3069670796394348,0.08767614513635635,0.011003871448338032,-0.10081858932971954,0.0,0.0,0.0,0.0,0.4425327479839325,3.702027295826582e-10,0.008204950019717216,-0.09985490143299103,0.0,8.862636605044827e-05
F-M05,18000,82,True,True,128,4,0,0.0004451415443327278,0.00010090046998811886,0.2073967605829239,True,True,True,True,True,True,256,0,0,53,0,6,True,0.0,18000,0.825563907623291,0.9614295959472656,1.5004223996584187e-07,0.3980449140071869,14.4259815985016,2.3847952702978885,1.8000534820985992,11.160818909119325,4.924735310235152,0.44002233852523004,0.016449744311296467,0.5837521510204214,0.0,0.0,0.0,0.0,0.39785157143630745,3.751837531236798e-06,2.3513554514311896,0.008895057133009678,0.0,0.0007511375074293874,0.5836715451667825,1.111223816871643,0.4508121609687805,0.2135164737701416,0.09890459477901459,0.012639378197491169,-0.10010293871164322,0.0,-0.0,-0.0,-0.0,0.4437033236026764,3.000844728262564e-08,0.05387614667415619,-0.09982042759656906,0.0,0.00028587269480340183
F-M05,19000,86,True,True,128,4,0,0.0003154806327074766,5.6626762670930475e-05,0.26483863592147827,True,True,True,True,True,True,256,0,0,88,0,6,True,0.0,19000,0.8194690346717834,0.8130614161491394,0.0058920918963849545,0.43289968371391296,10.584602950272105,1.9480330773152883,2.317357215959954,7.311617940765926,1.9973919279448484,0.7283500813211495,0.07603246555720089,0.5142037867903188,0.0,0.0,0.0,0.0,0.2974501958054729,0.5591315723951196,1.8349562927828458,0.027024927900021804,0.0,0.0006809358434344471,0.5140923917185715,1.0288445949554443,0.32867977023124695,0.2697266638278961,0.09058397263288498,0.015415665693581104,-0.10072024166584015,0.0,-0.0,-0.0,-0.0,0.43346840143203735,0.0011784184025600553,0.09624618291854858,-0.09832581132650375,0.0,0.00033246324164792895
F-M05,20000,91,True,True,128,4,0,0.00019794235413428396,6.464909529313445e-05,0.23956884443759918,True,True,True,True,True,True,256,0,0,69,0,6,True,0.0,20000,0.7194498777389526,0.9911788105964661,2.644611868163338e-06,0.03849994018673897,8.72505274023263,0.7957665221575386,0.8490303622560204,6.5720947598449,3.1420060054791343,0.2854317313688109,0.036313665264228794,0.7632576074519254,0.0,0.0,0.0,0.0,0.09063510784975874,0.0002273897183636077,0.790547387998659,0.007748791906128398,0.0,0.0004288356151295598,0.7628734511627212,0.9903799295425415,0.4368095397949219,0.2843731939792633,0.08336412161588669,0.01645360141992569,-0.1007516160607338,0.0,-0.0,-0.0,-0.0,0.10804229229688644,5.289223850013514e-07,0.02931433543562889,-0.09913237392902374,0.0,0.00027516900445334613
F-M05,21000,95,True,True,128,4,0,0.00016105154645629227,5.427249561762437e-05,0.15247799456119537,True,True,True,True,True,True,256,4,0,52,4,6,True,0.0,21000,0.7580662965774536,0.8602635264396667,1.5332796010625316e-07,0.1009291261434555,8.082880292990255,0.8808789738193177,1.0169372454185754,3.536505457437737,4.699408267491916,0.2855115436459745,0.05576934910045105,0.7520347499870594,0.0,5.627046649127465e-06,0.0,0.0,0.2605855654207549,1.5882392613318515e-06,0.8056061978234245,0.015966479661156295,0.2421676726308233,0.0004393836509476773,0.7518660824538189,0.9820249676704407,0.30193161964416504,0.3243565857410431,0.09059907495975494,0.018994251266121864,-0.09957679361104965,0.0,5.2448655196712934e-08,-0.0,-0.0,0.16902852058410645,1.3182708258341336e-08,0.021486405283212662,-0.0989936962723732,0.009114406071603298,0.00029343576170504093
F-M05,22000,100,True,True,128,4,0,0.00020751223200932145,5.70139818591997e-05,0.24282748997211456,True,True,True,True,True,True,256,0,0,255,0,6,True,0.0,22000,0.8006954193115234,1.2950046062469482,2.0784154841635427e-08,0.18418297171592712,10.950744730522606,0.9434649378425409,1.6272408827758307,12.264019430544396,2.2803448225812972,0.6285856810781966,0.11621829876272267,0.19636580242798696,0.0,0.0,0.0,0.0,0.1849367620132972,9.93864536250514e-07,0.9251595472491296,0.0019691850308066732,0.0,0.0004892973125424906,0.19544907559390975,0.9895623326301575,0.7680341601371765,0.30301839113235474,0.10793466866016388,0.027358725666999817,-0.10020812600851059,0.0,-0.0,-0.0,-0.0,0.25761547684669495,4.1568308795092435e-09,0.026055708527565002,-0.09983070939779282,0.0,0.00034249041345901787
F-M05,23000,104,True,True,128,4,0,0.000398972857510671,7.274855306604877e-05,0.39393720030784607,True,True,True,True,True,True,256,26,0,26,26,6,True,0.0,23000,0.7457003593444824,0.7793973088264465,3.420719707492026e-08,0.2665141820907593,6.388638852071828,1.2553498809723713,1.1355088995857983,4.039900955257449,2.894104370513515,0.43618205607527655,0.09709150317167539,0.46332521174336033,0.0,7.317171249824573e-07,0.0,0.0,0.46299762793085886,4.849446388084947e-07,1.1531567131208131,0.0008490982230266617,0.17805274183616243,0.00028748098606494146,0.46316804155036223,0.9447541832923889,0.28777337074279785,0.27134206891059875,0.0932018905878067,0.02726101689040661,-0.09923484176397324,0.0,7.353945008503615e-09,-0.0,-0.0,0.31783172488212585,4.390124264119777e-09,0.04338899627327919,-0.09985361248254776,0.00486111780628562,0.0002859451051335782
F-M05,24000,109,True,True,128,4,0,0.00016360951121896505,5.17990265507251e-05,0.18144096434116364,True,True,True,True,True,True,256,26,0,26,26,6,True,0.0,24000,0.7895441651344299,0.8031493425369263,5.4884132794086327e-08,0.3208075165748596,6.143167301678312,1.7312576863124423,1.1913819799158203,2.865188300786418,2.077138925381112,0.5587685431786111,0.06024407025969527,0.9205179263591756,0.0,4.6937636255741753e-07,0.0,0.0,0.6983031705171618,9.9108546199139e-07,1.5841793183596524,0.001236640660408874,2.769866864503038e-06,0.00028996912391244254,0.9204608092864911,0.9729089140892029,0.2877413332462311,0.30430105328559875,0.09865731000900269,0.02975812926888466,-0.10067323595285416,0.0,4.355571459058183e-09,-0.0,-0.0,0.3839734196662903,9.524970145946554e-09,0.036394402384757996,-0.09984343498945236,1.536674965052498e-08,0.0002831245365086943
F-M05,25000,113,True,True,128,4,0,0.0001639434922253713,6.296105857472867e-05,0.2837461829185486,True,True,True,True,True,True,256,0,0,75,0,6,True,0.0,25000,0.8170911073684692,0.6700644493103027,0.06411092728376389,0.38767561316490173,3.6854283604298086,1.3801930235730453,1.3794557657252005,2.6239382661807613,1.09201295360764,0.5273314791704145,0.06469260932007967,0.41649543739428607,0.0,0.0,0.0,0.0,0.4159256007727414,1.2347083178759215,0.4582646110461399,0.009518503489750422,0.0,0.00014639710820530871,0.41634373504864347,0.9705451130867004,0.21653404831886292,0.27829819917678833,0.09250810742378235,0.029376856982707977,-0.1001068502664566,0.0,0.0,0.0,0.0,0.4407333731651306,0.012822185643017292,0.03367085009813309,-0.09965691715478897,0.0,0.00010612994810799137
F-M05,26000,118,True,True,128,4,0,0.0003018997667822987,6.565235526068136e-05,0.2330162078142166,True,True,True,True,True,True,256,0,0,183,0,6,True,0.0,26000,0.7911189198493958,1.2332488298416138,1.6826938065150898e-07,0.38394370675086975,10.841138642199263,0.5010229374428092,1.2426608678792086,12.691918341206758,2.5572506620201505,0.5384305889585032,0.10376278714731814,0.3275969451477442,0.0,0.0,0.0,0.0,0.3319010856331761,1.9983797874133995e-05,0.3730998124105367,0.04092640749101133,0.0,0.0004343262900510083,0.3273764758909282,1.045558214187622,0.6255927085876465,0.32011061906814575,0.09937764704227448,0.03343098238110542,-0.09970247745513916,0.0,-0.0,-0.0,-0.0,0.45155102014541626,3.3653876130301796e-08,0.03119293786585331,-0.09918244928121567,0.0,0.00038217808469198644
F-M05,27000,122,True,True,128,4,0,0.00021600030595436692,7.079069473547861e-05,0.28245583176612854,True,True,True,True,True,True,256,0,0,255,0,6,True,0.0,27000,0.8967425227165222,1.5596380233764648,0.0013060754863545299,0.336532324552536,17.040414073137615,0.6206185025765174,1.3616045999555686,13.799228020370792,7.55538718146967,0.48085895804972667,0.14216733566697104,0.5636230049717512,0.0,0.0,0.0,0.0,0.3488436949008811,0.08584935399165325,0.5047788103323276,0.016112008485503582,0.0,0.00045894287533799116,0.5634807591110538,0.9780877828598022,1.0533651113510132,0.3790683448314667,0.10608529299497604,0.04036647453904152,-0.10059257596731186,0.0,-0.0,-0.0,-0.0,0.42969831824302673,0.00026121511473320425,0.005667646881192923,-0.0994458794593811,0.0,0.00035100310924462974
F-M05,28000,127,True,True,128,4,0,0.0003246745909564197,9.876790863927454e-05,0.1941480040550232,True,True,True,True,True,True,256,3,0,46,3,6,True,0.0,28000,0.9343737959861755,0.7331839203834534,0.0025707706809043884,0.33970725536346436,8.315818320893163,1.416568832293728,0.7793505176510435,2.811753848034717,5.525189111162999,0.47896522216234183,0.14623795015085145,0.22957366685127373,0.0,4.27843982810793e-08,0.0,0.0,0.3593908897934993,0.7789105982132597,1.125094789074622,0.009496771027373183,4.581307754456549e-08,0.00019307978937199125,0.22920089102179392,0.941460132598877,0.21573762595653534,0.47692281007766724,0.0908634141087532,0.042659737169742584,-0.10008598864078522,0.0,3.4170277718459374e-10,0.0,0.0,0.41640037298202515,0.000514154031407088,0.02218574285507202,-0.09954941272735596,3.7252886886385284e-10,0.00015639989578630775
F-M05,29000,131,True,True,128,4,0,0.0005654872511513531,0.00013102823868393898,0.1940491497516632,True,True,True,True,True,True,256,0,0,74,0,6,True,0.0,29000,0.9800242781639099,0.9402446746826172,3.873467946391429e-08,0.3812490999698639,9.040508459534122,2.0640761124446505,2.351868658097564,5.282859449703911,3.7502271465942116,0.7391639448895452,0.06921317926505215,0.8425741109015731,0.0,0.0,0.0,0.0,0.4902665193722493,8.058948987212867e-07,2.0050049720217813,0.001920546086592724,0.0,0.0003774705226147799,0.8425026198938788,1.1178226470947266,0.43655848503112793,0.3152570426464081,0.10333752632141113,0.04675440117716789,-0.09946106374263763,0.0,-0.0,-0.0,-0.0,0.42760366201400757,7.74693642568991e-09,0.05318756029009819,-0.09981825202703476,0.0,0.00027615201543085277
F-M05,30000,136,True,True,128,4,0,0.0002464769931975752,7.283809100044891e-05,0.28595244884490967,True,True,True,True,True,True,256,1,0,78,1,6,True,0.0,30000,0.8708958625793457,1.2122523784637451,0.0,0.3676309585571289,15.389677281933203,0.919100780130799,1.580534558874094,3.132421607879263,11.191102134664398,0.844517616720434,0.20085359889643387,0.6648942749205383,0.0,8.026938437936454e-10,0.0,0.0,0.34383997599825195,2.332902042017193e-08,0.8522934045393961,0.010817386135756796,1.0742758988102448e-10,0.00012296309967053397,0.6648143855054327,1.0350923538208008,0.2155284732580185,0.7705856561660767,0.11905256658792496,0.04327068105340004,-0.10038154572248459,0.0,0.0,0.0,0.0,0.440518319606781,0.0,0.02662256360054016,-0.09962683171033859,0.0,0.00011691505642374977
F-M05,31000,140,True,True,128,4,0,0.00029855777393095195,6.443200254580006e-05,0.2263561338186264,True,True,True,True,True,True,256,0,0,52,0,6,True,0.0,31000,0.8232855200767517,0.9142735004425049,2.917919061928842e-07,0.3552766740322113,6.572323282886102,0.749866469666437,1.0057763807718059,7.371968453692702,1.2515101205230599,0.26173626012308476,0.1448410777173257,0.2637232371032759,0.0,0.0,0.0,0.0,0.3667681133426739,7.335291875298839e-06,0.6540381037325801,0.003626740565141754,0.0,0.00040709547018111486,0.26319142943937945,0.9613848328590393,0.4527652859687805,0.27428174018859863,0.09304945170879364,0.056188758462667465,-0.10011100023984909,0.0,-0.0,-0.0,-0.0,0.4249575734138489,5.835838123857684e-08,0.029892925173044205,-0.09983544051647186,0.0,0.0002615742268972099
F-M05,32000,145,True,True,128,4,0,0.0005560956196859479,0.00012602120114024729,0.297366201877594,True,True,True,True,True,True,256,12,0,75,12,6,True,0.0,32000,0.7851595282554626,1.0446923971176147,4.422670940584794e-07,0.5023882985115051,8.421603483511646,4.180370195403714,1.219255344539315,5.077046749857198,5.267405464235782,0.5588380038549053,0.21817925963356535,0.6558581175455054,0.0,0.00014199032439906093,0.0,0.0,0.5061750608691848,2.2878242930390637e-06,4.138496368862067,0.0497240488558528,0.3022837880130695,0.0007464763552929657,0.6557969689570112,1.01192045211792,0.4065353572368622,0.35309505462646484,0.10942640155553818,0.04859745129942894,-0.09972282499074936,0.0,2.0251756893685524e-07,-0.0,-0.0,0.41945013403892517,2.0947567236362374e-08,0.17666172981262207,-0.0981956273317337,0.004186296369880438,0.0002855035709217191
