family,row,training_status,last_epoch,action_records,accepted,has_completion,target_score_in_pipeline,score_note,read_at
INITIAL15,M00,SCORED,200,9800,9800,True,True,,1789295569.0846522
INITIAL15,M01,SCORED,200,9800,9800,True,True,,1789295569.0846522
INITIAL15,M02,SCORED,200,9800,9800,True,True,,1789295569.0846522
INITIAL15,M03,SCORED,200,9800,9800,True,True,,1789295569.0846522
INITIAL15,M04,SCORED,200,9800,9800,True,True,,1789295569.0846522
INITIAL15,M05,SCORED,200,9800,9800,True,True,,1789295569.0846522
INITIAL15,M06,SCORED,200,9800,9800,True,True,,1789295569.0846522
INITIAL15,M07,SCORED,200,9800,9800,True,True,,1789295569.0846522
INITIAL15,M08,SCORED,200,9800,9800,True,True,,1789295569.0846522
INITIAL15,M09,SCORED,,,,True,True,,1789295569.0846522
INITIAL15,M10,SCORED,,,,True,True,,1789295569.0846522
INITIAL15,M11,SCORED,200,9800,9800,True,True,,1789295569.0846522
INITIAL15,M12,SCORED,200,9800,9800,True,True,,1789295569.0846522
INITIAL15,M13,SCORED,200,9800,9800,True,True,,1789295569.0846522
INITIAL15,M14,SCORED,200,9800,9800,True,True,,1789295569.0846522
DR7,DR-M14,SCORED,200,9800,9800,True,True,,1789295569.0846522
DR7,DR-M11,SCORED,200,9800,9800,True,True,,1789295569.0846522
DR7,DR-M05,SCORED,200,9800,9800,True,True,,1789295569.0846522
DR7,DR-M08,SCORED,200,9800,9800,True,True,,1789295569.0846522
DR7,DR-M07,SCORED,200,9800,9800,True,True,,1789295569.0846522
DR7,DR-M12,SCORED,200,9800,9800,True,True,,1789295569.0846522
DR7,DR-M13,SCORED,200,9800,9800,True,True,,1789295569.0846522
FULL9,F-M00,RUNNING,178,39616,39616,False,False,FULL6 early evaluator scores live outside the parent pipeline,1789354287.6786616
FULL9,F-A1,TRAINING_COMPLETE,200,44400,44400,True,False,FULL6 early evaluator scores live outside the parent pipeline,1789354287.6786616
FULL9,F-M14,TRAINING_COMPLETE,200,44400,44400,True,False,FULL6 early evaluator scores live outside the parent pipeline,1789354287.6786616
FULL9,F-M11,TRAINING_COMPLETE,200,44400,44400,True,False,FULL6 early evaluator scores live outside the parent pipeline,1789354287.6786616
FULL9,F-M05,TRAINING_COMPLETE,200,44400,44400,True,False,FULL6 early evaluator scores live outside the parent pipeline,1789354287.6786616
FULL9,F-M08,TRAINING_COMPLETE,200,44400,44400,True,False,FULL6 early evaluator scores live outside the parent pipeline,1789354287.6786616
FULL9,F-M07,RUNNING,177,39456,39456,False,False,FULL6 early evaluator scores live outside the parent pipeline,1789354287.6786616
FULL9,F-M12,TRAINING_COMPLETE,200,44400,44400,True,False,FULL6 early evaluator scores live outside the parent pipeline,1789354287.6786616
FULL9,F-M13,RUNNING,163,36365,36365,False,False,FULL6 early evaluator scores live outside the parent pipeline,1789354287.6786616
