accepted,adaptation_mode,day_i,gate_method,predicted_label,role,rx_label,sample_id,scenario,sig_i,true_label,tx_label,unknown_score
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-10|20-1|day0|eq1|sig5,leo_clear_weak,5,0,14-10,-0.24211621284484863
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig6,leo_clear_weak,6,0,14-10,-0.4092888832092285
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,14-10|20-1|day0|eq1|sig7,leo_clear_weak,7,0,14-10,-0.2053539752960205
True,support_head_finetune,0,support_head_confidence_quantile,4,target_old_query,20-1,14-10|20-1|day0|eq1|sig8,leo_clear_weak,8,0,14-10,-0.341312438249588
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,14-10|20-1|day0|eq1|sig9,leo_clear_weak,9,0,14-10,-0.3536757230758667
True,support_head_finetune,0,support_head_confidence_quantile,4,target_old_query,20-1,14-10|20-1|day0|eq1|sig10,leo_clear_weak,10,0,14-10,-0.25994664430618286
True,support_head_finetune,0,support_head_confidence_quantile,5,target_old_query,20-1,14-10|20-1|day0|eq1|sig11,leo_clear_weak,11,0,14-10,-0.33297890424728394
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,14-10|20-1|day0|eq1|sig12,leo_clear_weak,12,0,14-10,-0.31131505966186523
True,support_head_finetune,0,support_head_confidence_quantile,5,target_old_query,20-1,14-10|20-1|day0|eq1|sig13,leo_clear_weak,13,0,14-10,-0.2665061056613922
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-10|20-1|day0|eq1|sig14,leo_clear_weak,14,0,14-10,-0.27628400921821594
True,support_head_finetune,0,support_head_confidence_quantile,5,target_old_query,20-1,14-10|20-1|day0|eq1|sig15,leo_clear_weak,15,0,14-10,-0.3180620074272156
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig16,leo_clear_weak,16,0,14-10,-0.4136826992034912
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig17,leo_clear_weak,17,0,14-10,-0.6017855405807495
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,14-10|20-1|day0|eq1|sig18,leo_clear_weak,18,0,14-10,-0.5273701548576355
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig19,leo_clear_weak,19,0,14-10,-0.40668362379074097
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig20,leo_clear_weak,20,0,14-10,-0.33543193340301514
True,support_head_finetune,0,support_head_confidence_quantile,5,target_old_query,20-1,14-10|20-1|day0|eq1|sig21,leo_clear_weak,21,0,14-10,-0.4863521158695221
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig22,leo_clear_weak,22,0,14-10,-0.5498892068862915
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig23,leo_clear_weak,23,0,14-10,-0.5699260234832764
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,14-10|20-1|day0|eq1|sig24,leo_clear_weak,24,0,14-10,-0.23629891872406006
True,support_head_finetune,0,support_head_confidence_quantile,4,target_old_query,20-1,14-7|20-1|day0|eq1|sig5,leo_clear_weak,5,1,14-7,-0.31285563111305237
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,14-7|20-1|day0|eq1|sig6,leo_clear_weak,6,1,14-7,-0.30421021580696106
True,support_head_finetune,0,support_head_confidence_quantile,5,target_old_query,20-1,14-7|20-1|day0|eq1|sig7,leo_clear_weak,7,1,14-7,-0.25546973943710327
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,14-7|20-1|day0|eq1|sig8,leo_clear_weak,8,1,14-7,-0.22340701520442963
True,support_head_finetune,0,support_head_confidence_quantile,4,target_old_query,20-1,14-7|20-1|day0|eq1|sig9,leo_clear_weak,9,1,14-7,-0.2596483826637268
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-7|20-1|day0|eq1|sig10,leo_clear_weak,10,1,14-7,-0.25106751918792725
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-7|20-1|day0|eq1|sig11,leo_clear_weak,11,1,14-7,-0.2799825966358185
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-7|20-1|day0|eq1|sig12,leo_clear_weak,12,1,14-7,-0.3621383309364319
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-7|20-1|day0|eq1|sig13,leo_clear_weak,13,1,14-7,-0.35307615995407104
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,14-7|20-1|day0|eq1|sig14,leo_clear_weak,14,1,14-7,-0.2801347076892853
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig15,leo_clear_weak,15,1,14-7,-0.4235547184944153
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig16,leo_clear_weak,16,1,14-7,-0.2720414698123932
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig17,leo_clear_weak,17,1,14-7,-0.5605427026748657
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-7|20-1|day0|eq1|sig18,leo_clear_weak,18,1,14-7,-0.4631032645702362
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig19,leo_clear_weak,19,1,14-7,-0.38085365295410156
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-7|20-1|day0|eq1|sig20,leo_clear_weak,20,1,14-7,-0.2716846168041229
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-7|20-1|day0|eq1|sig21,leo_clear_weak,21,1,14-7,-0.44262921810150146
True,support_head_finetune,0,support_head_confidence_quantile,4,target_old_query,20-1,14-7|20-1|day0|eq1|sig22,leo_clear_weak,22,1,14-7,-0.6481393575668335
