accepted,adaptation_mode,day_i,gate_method,predicted_label,role,rx_label,sample_id,scenario,sig_i,true_label,tx_label,unknown_score
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig5,clean,5,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig6,clean,6,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig7,clean,7,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig8,clean,8,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig9,clean,9,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig10,clean,10,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig11,clean,11,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig12,clean,12,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig13,clean,13,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig14,clean,14,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig15,clean,15,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig16,clean,16,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig17,clean,17,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig18,clean,18,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig19,clean,19,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig20,clean,20,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig21,clean,21,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig22,clean,22,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig23,clean,23,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig24,clean,24,0,14-10,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig5,clean,5,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig6,clean,6,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig7,clean,7,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig8,clean,8,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig9,clean,9,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig10,clean,10,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig11,clean,11,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig12,clean,12,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig13,clean,13,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig14,clean,14,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig15,clean,15,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig16,clean,16,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig17,clean,17,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig18,clean,18,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig19,clean,19,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig20,clean,20,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig21,clean,21,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig22,clean,22,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig23,clean,23,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig24,clean,24,1,14-7,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-15|20-1|day0|eq1|sig5,clean,5,2,20-15,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-15|20-1|day0|eq1|sig6,clean,6,2,20-15,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-15|20-1|day0|eq1|sig7,clean,7,2,20-15,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-15|20-1|day0|eq1|sig8,clean,8,2,20-15,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-15|20-1|day0|eq1|sig9,clean,9,2,20-15,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-15|20-1|day0|eq1|sig10,clean,10,2,20-15,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-15|20-1|day0|eq1|sig11,clean,11,2,20-15,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-15|20-1|day0|eq1|sig12,clean,12,2,20-15,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-15|20-1|day0|eq1|sig13,clean,13,2,20-15,-0.2227199524641037
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-15|20-1|day0|eq1|sig14,clean,14,2,20-15,-0.2227199524641037
