accepted,adaptation_mode,day_i,gate_method,predicted_label,role,rx_label,sample_id,scenario,sig_i,true_label,tx_label,unknown_score
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig5,clean,5,0,14-10,-0.6421691179275513
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig6,clean,6,0,14-10,-0.6588689684867859
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig7,clean,7,0,14-10,-0.6073784828186035
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig8,clean,8,0,14-10,-0.6874784827232361
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig9,clean,9,0,14-10,-0.7073887586593628
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig10,clean,10,0,14-10,-0.6889331936836243
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig11,clean,11,0,14-10,-0.5287116765975952
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig12,clean,12,0,14-10,-0.5834389328956604
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig13,clean,13,0,14-10,-0.7401801347732544
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig14,clean,14,0,14-10,-0.5901124477386475
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig15,clean,15,0,14-10,-0.6860231161117554
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig16,clean,16,0,14-10,-0.6524618864059448
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig17,clean,17,0,14-10,-0.5650154948234558
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig18,clean,18,0,14-10,-0.558638334274292
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig19,clean,19,0,14-10,-0.7626668214797974
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig20,clean,20,0,14-10,-0.6759516596794128
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig21,clean,21,0,14-10,-0.5987983345985413
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig22,clean,22,0,14-10,-0.7054740786552429
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig23,clean,23,0,14-10,-0.7121641039848328
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig24,clean,24,0,14-10,-0.6203879714012146
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig5,clean,5,1,14-7,-0.4847061038017273
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,14-7|20-1|day0|eq1|sig6,clean,6,1,14-7,-0.38162627816200256
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig7,clean,7,1,14-7,-0.6073383092880249
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig8,clean,8,1,14-7,-0.41923806071281433
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig9,clean,9,1,14-7,-0.5660444498062134
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,14-7|20-1|day0|eq1|sig10,clean,10,1,14-7,-0.3766152560710907
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig11,clean,11,1,14-7,-0.6058326363563538
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig12,clean,12,1,14-7,-0.550348162651062
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig13,clean,13,1,14-7,-0.5462329983711243
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig14,clean,14,1,14-7,-0.5410289168357849
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig15,clean,15,1,14-7,-0.487595796585083
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig16,clean,16,1,14-7,-0.42706939578056335
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig17,clean,17,1,14-7,-0.5259552001953125
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig18,clean,18,1,14-7,-0.609279990196228
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig19,clean,19,1,14-7,-0.5732725858688354
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig20,clean,20,1,14-7,-0.6031978726387024
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig21,clean,21,1,14-7,-0.5166025757789612
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig22,clean,22,1,14-7,-0.5375203490257263
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig23,clean,23,1,14-7,-0.669454038143158
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig24,clean,24,1,14-7,-0.42506885528564453
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig5,clean,5,2,20-15,-0.8542744517326355
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-15|20-1|day0|eq1|sig6,clean,6,2,20-15,-0.3474268317222595
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-15|20-1|day0|eq1|sig7,clean,7,2,20-15,-0.39455869793891907
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-15|20-1|day0|eq1|sig8,clean,8,2,20-15,-0.3629169762134552
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,20-15|20-1|day0|eq1|sig9,clean,9,2,20-15,-0.4123252034187317
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-15|20-1|day0|eq1|sig10,clean,10,2,20-15,-0.3498295247554779
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-15|20-1|day0|eq1|sig11,clean,11,2,20-15,-0.37307435274124146
