accepted,day_i,predicted_label,role,rx_label,sample_id,scenario,sig_i,true_label,tx_label,unknown_score
True,0,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig5,leo_clear_weak,5,0,14-10,-0.9982055425643921
True,0,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig6,leo_clear_weak,6,0,14-10,-0.9967945218086243
True,0,6,target_old_query,20-1,14-10|20-1|day0|eq1|sig7,leo_clear_weak,7,0,14-10,-0.9976553320884705
True,0,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig8,leo_clear_weak,8,0,14-10,-0.997540295124054
True,0,6,target_old_query,20-1,14-10|20-1|day0|eq1|sig9,leo_clear_weak,9,0,14-10,-0.9933009147644043
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig10,leo_clear_weak,10,0,14-10,-0.99224454164505
True,0,2,target_old_query,20-1,14-10|20-1|day0|eq1|sig11,leo_clear_weak,11,0,14-10,-0.9968597888946533
True,0,1,target_old_query,20-1,14-10|20-1|day0|eq1|sig12,leo_clear_weak,12,0,14-10,-0.9955011010169983
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig13,leo_clear_weak,13,0,14-10,-0.9907714128494263
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig14,leo_clear_weak,14,0,14-10,-0.9944121241569519
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig15,leo_clear_weak,15,0,14-10,-0.9932577610015869
True,0,6,target_old_query,20-1,14-10|20-1|day0|eq1|sig16,leo_clear_weak,16,0,14-10,-0.9975600838661194
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig17,leo_clear_weak,17,0,14-10,-0.9964022636413574
True,0,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig18,leo_clear_weak,18,0,14-10,-0.992936372756958
True,0,5,target_old_query,20-1,14-10|20-1|day0|eq1|sig19,leo_clear_weak,19,0,14-10,-0.9885725378990173
True,0,2,target_old_query,20-1,14-10|20-1|day0|eq1|sig20,leo_clear_weak,20,0,14-10,-0.9955088496208191
True,0,2,target_old_query,20-1,14-10|20-1|day0|eq1|sig21,leo_clear_weak,21,0,14-10,-0.9965596795082092
True,0,1,target_old_query,20-1,14-10|20-1|day0|eq1|sig22,leo_clear_weak,22,0,14-10,-0.9951838850975037
True,0,2,target_old_query,20-1,14-10|20-1|day0|eq1|sig23,leo_clear_weak,23,0,14-10,-0.9939286708831787
True,0,4,target_old_query,20-1,14-10|20-1|day0|eq1|sig24,leo_clear_weak,24,0,14-10,-0.9966420531272888
True,0,3,target_old_query,20-1,14-7|20-1|day0|eq1|sig5,leo_clear_weak,5,1,14-7,-0.9960967302322388
True,0,7,target_old_query,20-1,14-7|20-1|day0|eq1|sig6,leo_clear_weak,6,1,14-7,-0.9957588315010071
True,0,3,target_old_query,20-1,14-7|20-1|day0|eq1|sig7,leo_clear_weak,7,1,14-7,-0.9897624254226685
True,0,2,target_old_query,20-1,14-7|20-1|day0|eq1|sig8,leo_clear_weak,8,1,14-7,-0.9956164360046387
True,0,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig9,leo_clear_weak,9,1,14-7,-0.9962934255599976
True,0,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig10,leo_clear_weak,10,1,14-7,-0.9958797693252563
True,0,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig11,leo_clear_weak,11,1,14-7,-0.9969080686569214
True,0,2,target_old_query,20-1,14-7|20-1|day0|eq1|sig12,leo_clear_weak,12,1,14-7,-0.9921551942825317
True,0,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig13,leo_clear_weak,13,1,14-7,-0.9936597347259521
True,0,6,target_old_query,20-1,14-7|20-1|day0|eq1|sig14,leo_clear_weak,14,1,14-7,-0.9937006235122681
True,0,6,target_old_query,20-1,14-7|20-1|day0|eq1|sig15,leo_clear_weak,15,1,14-7,-0.9947806000709534
True,0,6,target_old_query,20-1,14-7|20-1|day0|eq1|sig16,leo_clear_weak,16,1,14-7,-0.996605396270752
True,0,6,target_old_query,20-1,14-7|20-1|day0|eq1|sig17,leo_clear_weak,17,1,14-7,-0.9964665174484253
True,0,3,target_old_query,20-1,14-7|20-1|day0|eq1|sig18,leo_clear_weak,18,1,14-7,-0.9961556792259216
True,0,3,target_old_query,20-1,14-7|20-1|day0|eq1|sig19,leo_clear_weak,19,1,14-7,-0.9959830045700073
True,0,2,target_old_query,20-1,14-7|20-1|day0|eq1|sig20,leo_clear_weak,20,1,14-7,-0.9964761137962341
True,0,7,target_old_query,20-1,14-7|20-1|day0|eq1|sig21,leo_clear_weak,21,1,14-7,-0.993811309337616
True,0,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig22,leo_clear_weak,22,1,14-7,-0.9942007660865784
True,0,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig23,leo_clear_weak,23,1,14-7,-0.9924674034118652
True,0,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig24,leo_clear_weak,24,1,14-7,-0.9941815733909607
False,0,-1,target_old_query,20-1,20-15|20-1|day0|eq1|sig5,leo_clear_weak,5,2,20-15,-0.9646373391151428
True,0,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig6,leo_clear_weak,6,2,20-15,-0.9942375421524048
True,0,6,target_old_query,20-1,20-15|20-1|day0|eq1|sig7,leo_clear_weak,7,2,20-15,-0.99647057056427
True,0,0,target_old_query,20-1,20-15|20-1|day0|eq1|sig8,leo_clear_weak,8,2,20-15,-0.9893361330032349
True,0,1,target_old_query,20-1,20-15|20-1|day0|eq1|sig9,leo_clear_weak,9,2,20-15,-0.995697557926178
True,0,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig10,leo_clear_weak,10,2,20-15,-0.9938890933990479
True,0,6,target_old_query,20-1,20-15|20-1|day0|eq1|sig11,leo_clear_weak,11,2,20-15,-0.9898597002029419
True,0,6,target_old_query,20-1,20-15|20-1|day0|eq1|sig12,leo_clear_weak,12,2,20-15,-0.9943109154701233
True,0,6,target_old_query,20-1,20-15|20-1|day0|eq1|sig13,leo_clear_weak,13,2,20-15,-0.9928669333457947
True,0,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig14,leo_clear_weak,14,2,20-15,-0.9950874447822571
True,0,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig15,leo_clear_weak,15,2,20-15,-0.994903028011322
True,0,6,target_old_query,20-1,20-15|20-1|day0|eq1|sig16,leo_clear_weak,16,2,20-15,-0.9937784671783447
