accepted,day_i,predicted_label,role,rx_label,sample_id,scenario,sig_i,true_label,tx_label,unknown_score
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig5,clean,5,0,14-10,-0.9998121857643127
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig6,clean,6,0,14-10,-0.999654233455658
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig7,clean,7,0,14-10,-0.999890923500061
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig8,clean,8,0,14-10,-0.9992790222167969
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig9,clean,9,0,14-10,-0.9996589422225952
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig10,clean,10,0,14-10,-0.9997755885124207
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig11,clean,11,0,14-10,-0.9995809197425842
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig12,clean,12,0,14-10,-0.9992319345474243
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig13,clean,13,0,14-10,-0.999293327331543
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig14,clean,14,0,14-10,-0.9996532201766968
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig15,clean,15,0,14-10,-0.9996721148490906
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig16,clean,16,0,14-10,-0.9996035695075989
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig17,clean,17,0,14-10,-0.999444305896759
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig18,clean,18,0,14-10,-0.9997076988220215
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig19,clean,19,0,14-10,-0.9988588690757751
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig20,clean,20,0,14-10,-0.9998031854629517
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig21,clean,21,0,14-10,-0.9996038675308228
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig22,clean,22,0,14-10,-0.9996822476387024
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig23,clean,23,0,14-10,-0.9994110465049744
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig24,clean,24,0,14-10,-0.9998891353607178
True,0,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig5,clean,5,1,14-7,-0.9995559453964233
True,0,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig6,clean,6,1,14-7,-0.999112069606781
True,0,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig7,clean,7,1,14-7,-0.9976813793182373
