accepted,day_i,predicted_label,role,rx_label,sample_id,scenario,sig_i,true_label,tx_label,unknown_score
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig5,clean,5,0,14-10,-0.9982263445854187
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig6,clean,6,0,14-10,-0.9993507266044617
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig7,clean,7,0,14-10,-0.9984844923019409
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig8,clean,8,0,14-10,-0.99919193983078
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig9,clean,9,0,14-10,-0.9994391202926636
True,0,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig10,clean,10,0,14-10,-0.9993627667427063
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig11,clean,11,0,14-10,-0.9992837905883789
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig12,clean,12,0,14-10,-0.990572452545166
True,0,1,target_old_query,20-1,14-10|20-1|day0|eq1|sig13,clean,13,0,14-10,-0.999708890914917
True,0,1,target_old_query,20-1,14-10|20-1|day0|eq1|sig14,clean,14,0,14-10,-0.9995947480201721
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig15,clean,15,0,14-10,-0.9992453455924988
True,0,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig16,clean,16,0,14-10,-0.9995455741882324
True,0,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig17,clean,17,0,14-10,-0.9995294809341431
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig18,clean,18,0,14-10,-0.9997014999389648
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig19,clean,19,0,14-10,-0.9992321729660034
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig20,clean,20,0,14-10,-0.9968575239181519
True,0,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig21,clean,21,0,14-10,-0.999272882938385
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig22,clean,22,0,14-10,-0.9806517958641052
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig23,clean,23,0,14-10,-0.9992005825042725
True,0,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig24,clean,24,0,14-10,-0.9992383122444153
True,0,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig5,clean,5,1,14-7,-0.9998661279678345
