feature,heuristic_cross_domain_score,tx_ridge_val_acc,tx_ridge_test_acc,tx_ncm_val_acc,tx_ncm_test_acc,dom_ridge_val_acc,fisher_train,fisher_test,src_same_tx_cross_dom_cos,train_test_centroid_cos,clean_dac_cos,clean_dac_rel_shift,tx_ncm_test_under_dac_acc,clean_pa_cos,clean_pa_rel_shift,tx_ncm_test_under_pa_acc,dac_minus_pa_shift
id_feat_imp,81.366667,95.220000,84.660000,94.166667,81.080000,54.866667,4.522835,2.741883,0.998934,0.964315,0.627199,1241760640.000000,38.306667,0.748519,6102119424.000000,66.206667,-4860358784.000000
id_feat_joint,73.390495,97.420000,88.493333,94.313333,80.640000,69.480000,4.425989,2.617139,0.998971,0.965623,0.390985,1365665644544.000000,40.366667,0.646657,78754193408.000000,66.726667,1286911451136.000000
id_feat_dac,73.174558,97.566667,87.920000,90.700000,78.440000,75.913333,2.546804,3.578415,0.997647,0.985926,0.466272,3.876071,38.313333,0.820972,0.592781,58.333333,3.283291
z_id,72.763202,97.800000,87.140000,84.166667,71.793333,69.706667,1.838393,1.388760,0.998545,0.975299,0.636420,1.006771,31.960000,0.803662,0.641683,46.866667,0.365089
id_feat_cls,72.763202,97.800000,87.140000,84.166667,71.793333,69.706667,1.838393,1.388760,0.998545,0.975299,0.636420,1.006771,31.960000,0.803662,0.641683,46.866667,0.365089
id_feat_pa,70.128131,97.786667,87.020000,82.786667,62.013333,74.620000,1.418700,0.631818,0.998505,0.981940,0.911908,2.890009,30.226667,0.926905,0.461784,47.226667,2.428225
dom_feat_pa,59.027652,82.306667,68.866667,34.880000,44.326667,83.860000,0.029083,0.103175,0.956203,0.997465,0.969881,3.244186,20.593333,0.960114,0.401742,15.820000,2.842445
dom_feat_dac,55.858300,91.000000,79.693333,55.133333,58.720000,83.640000,0.088054,0.273952,0.848316,0.979478,0.332792,10.828820,25.693333,0.532402,1.180619,28.966667,9.648201
z_dom,39.210776,84.886667,73.573333,28.726667,31.453333,86.380000,0.024666,0.112900,0.489425,0.958486,0.376503,8.471259,18.973333,0.420524,1.081375,20.893333,7.389884
dom_feat_imp,39.210776,84.886667,73.573333,28.726667,31.453333,86.380000,0.024666,0.112900,0.489425,0.958486,0.376503,8.471259,18.973333,0.420524,1.081375,20.893333,7.389884
