level,correct,total,accuracy,scenario,receiver,transmitter
overall,5297,7200,0.7356944444444444,,,
scenario,1827,2400,0.76125,leo_clear_weak,,
scenario,1700,2400,0.7083333333333334,leo_low_elev_weak,,
scenario,1770,2400,0.7375,leo_rain_weak,,
receiver,905,1389,0.6515478761699064,,20-1,
receiver,841,1392,0.6041666666666666,,3-19,
receiver,1201,1353,0.8876570583887657,,7-14,
receiver,1278,1548,0.8255813953488372,,7-7,
receiver,1072,1518,0.7061923583662714,,8-8,
scenario_receiver,312,463,0.673866090712743,leo_clear_weak,20-1,
scenario_receiver,296,464,0.6379310344827587,leo_clear_weak,3-19,
scenario_receiver,412,451,0.9135254988913526,leo_clear_weak,7-14,
scenario_receiver,438,516,0.8488372093023255,leo_clear_weak,7-7,
scenario_receiver,369,506,0.7292490118577075,leo_clear_weak,8-8,
scenario_receiver,290,463,0.6263498920086393,leo_low_elev_weak,20-1,
scenario_receiver,258,464,0.5560344827586207,leo_low_elev_weak,3-19,
scenario_receiver,399,451,0.88470066518847,leo_low_elev_weak,7-14,
scenario_receiver,412,516,0.7984496124031008,leo_low_elev_weak,7-7,
scenario_receiver,341,506,0.6739130434782609,leo_low_elev_weak,8-8,
scenario_receiver,303,463,0.6544276457883369,leo_rain_weak,20-1,
scenario_receiver,287,464,0.6185344827586207,leo_rain_weak,3-19,
scenario_receiver,390,451,0.8647450110864745,leo_rain_weak,7-14,
scenario_receiver,428,516,0.8294573643410853,leo_rain_weak,7-7,
scenario_receiver,362,506,0.7154150197628458,leo_rain_weak,8-8,
transmitter,764,1200,0.6366666666666667,,,14-10
transmitter,716,1200,0.5966666666666667,,,14-7
transmitter,937,1200,0.7808333333333334,,,20-15
transmitter,764,1200,0.6366666666666667,,,20-19
transmitter,1044,1200,0.87,,,6-15
transmitter,1072,1200,0.8933333333333333,,,8-20
scenario_receiver_transmitter,52,79,0.6582278481012658,leo_clear_weak,20-1,14-10
scenario_receiver_transmitter,35,83,0.42168674698795183,leo_clear_weak,20-1,14-7
scenario_receiver_transmitter,74,88,0.8409090909090909,leo_clear_weak,20-1,20-15
scenario_receiver_transmitter,37,79,0.46835443037974683,leo_clear_weak,20-1,20-19
scenario_receiver_transmitter,65,70,0.9285714285714286,leo_clear_weak,20-1,6-15
scenario_receiver_transmitter,49,64,0.765625,leo_clear_weak,20-1,8-20
