receiver,seed,k_shot,scenario,correct,total,accuracy
20-1,713101,1,leo_clear_weak,80,120,0.6666666666666666
20-1,713101,1,leo_low_elev_weak,77,120,0.6416666666666667
20-1,713101,1,leo_rain_weak,83,120,0.6916666666666667
20-1,713101,10,leo_clear_weak,80,120,0.6666666666666666
20-1,713101,10,leo_low_elev_weak,77,120,0.6416666666666667
20-1,713101,10,leo_rain_weak,83,120,0.6916666666666667
20-1,713101,2,leo_clear_weak,80,120,0.6666666666666666
20-1,713101,2,leo_low_elev_weak,77,120,0.6416666666666667
20-1,713101,2,leo_rain_weak,83,120,0.6916666666666667
20-1,713101,20,leo_clear_weak,80,120,0.6666666666666666
20-1,713101,20,leo_low_elev_weak,77,120,0.6416666666666667
20-1,713101,20,leo_rain_weak,83,120,0.6916666666666667
20-1,713101,5,leo_clear_weak,80,120,0.6666666666666666
20-1,713101,5,leo_low_elev_weak,77,120,0.6416666666666667
20-1,713101,5,leo_rain_weak,83,120,0.6916666666666667
20-1,713102,1,leo_clear_weak,79,120,0.6583333333333333
20-1,713102,1,leo_low_elev_weak,80,120,0.6666666666666666
20-1,713102,1,leo_rain_weak,76,120,0.6333333333333333
20-1,713102,10,leo_clear_weak,79,120,0.6583333333333333
20-1,713102,10,leo_low_elev_weak,80,120,0.6666666666666666
20-1,713102,10,leo_rain_weak,76,120,0.6333333333333333
20-1,713102,2,leo_clear_weak,79,120,0.6583333333333333
20-1,713102,2,leo_low_elev_weak,80,120,0.6666666666666666
20-1,713102,2,leo_rain_weak,76,120,0.6333333333333333
20-1,713102,20,leo_clear_weak,79,120,0.6583333333333333
20-1,713102,20,leo_low_elev_weak,80,120,0.6666666666666666
20-1,713102,20,leo_rain_weak,76,120,0.6333333333333333
20-1,713102,5,leo_clear_weak,79,120,0.6583333333333333
20-1,713102,5,leo_low_elev_weak,80,120,0.6666666666666666
20-1,713102,5,leo_rain_weak,76,120,0.6333333333333333
20-1,713103,1,leo_clear_weak,80,120,0.6666666666666666
20-1,713103,1,leo_low_elev_weak,71,120,0.5916666666666667
20-1,713103,1,leo_rain_weak,76,120,0.6333333333333333
20-1,713103,10,leo_clear_weak,80,120,0.6666666666666666
20-1,713103,10,leo_low_elev_weak,71,120,0.5916666666666667
20-1,713103,10,leo_rain_weak,76,120,0.6333333333333333
20-1,713103,2,leo_clear_weak,80,120,0.6666666666666666
20-1,713103,2,leo_low_elev_weak,71,120,0.5916666666666667
20-1,713103,2,leo_rain_weak,76,120,0.6333333333333333
20-1,713103,20,leo_clear_weak,80,120,0.6666666666666666
20-1,713103,20,leo_low_elev_weak,71,120,0.5916666666666667
20-1,713103,20,leo_rain_weak,76,120,0.6333333333333333
20-1,713103,5,leo_clear_weak,80,120,0.6666666666666666
20-1,713103,5,leo_low_elev_weak,71,120,0.5916666666666667
20-1,713103,5,leo_rain_weak,76,120,0.6333333333333333
20-1,713104,1,leo_clear_weak,75,120,0.625
20-1,713104,1,leo_low_elev_weak,67,120,0.5583333333333333
20-1,713104,1,leo_rain_weak,73,120,0.6083333333333333
20-1,713104,10,leo_clear_weak,75,120,0.625
20-1,713104,10,leo_low_elev_weak,67,120,0.5583333333333333
20-1,713104,10,leo_rain_weak,73,120,0.6083333333333333
20-1,713104,2,leo_clear_weak,75,120,0.625
20-1,713104,2,leo_low_elev_weak,67,120,0.5583333333333333
20-1,713104,2,leo_rain_weak,73,120,0.6083333333333333
20-1,713104,20,leo_clear_weak,75,120,0.625
20-1,713104,20,leo_low_elev_weak,67,120,0.5583333333333333
20-1,713104,20,leo_rain_weak,73,120,0.6083333333333333
20-1,713104,5,leo_clear_weak,75,120,0.625
20-1,713104,5,leo_low_elev_weak,67,120,0.5583333333333333
20-1,713104,5,leo_rain_weak,73,120,0.6083333333333333
20-1,713105,1,leo_clear_weak,93,120,0.775
20-1,713105,1,leo_low_elev_weak,82,120,0.6833333333333333
20-1,713105,1,leo_rain_weak,85,120,0.7083333333333334
20-1,713105,10,leo_clear_weak,93,120,0.775
20-1,713105,10,leo_low_elev_weak,82,120,0.6833333333333333
20-1,713105,10,leo_rain_weak,85,120,0.7083333333333334
20-1,713105,2,leo_clear_weak,93,120,0.775
20-1,713105,2,leo_low_elev_weak,82,120,0.6833333333333333
20-1,713105,2,leo_rain_weak,85,120,0.7083333333333334
20-1,713105,20,leo_clear_weak,93,120,0.775
20-1,713105,20,leo_low_elev_weak,82,120,0.6833333333333333
20-1,713105,20,leo_rain_weak,85,120,0.7083333333333334
20-1,713105,5,leo_clear_weak,93,120,0.775
20-1,713105,5,leo_low_elev_weak,82,120,0.6833333333333333
20-1,713105,5,leo_rain_weak,85,120,0.7083333333333334
3-19,713101,1,leo_clear_weak,71,120,0.5916666666666667
3-19,713101,1,leo_low_elev_weak,70,120,0.5833333333333334
3-19,713101,1,leo_rain_weak,73,120,0.6083333333333333
3-19,713101,10,leo_clear_weak,71,120,0.5916666666666667
3-19,713101,10,leo_low_elev_weak,70,120,0.5833333333333334
3-19,713101,10,leo_rain_weak,73,120,0.6083333333333333
3-19,713101,2,leo_clear_weak,71,120,0.5916666666666667
3-19,713101,2,leo_low_elev_weak,70,120,0.5833333333333334
3-19,713101,2,leo_rain_weak,73,120,0.6083333333333333
3-19,713101,20,leo_clear_weak,71,120,0.5916666666666667
