receiver,seed,k_shot,correct,total,old_acc
20-1,713101,1,240,360,0.6666666666666666
20-1,713101,10,240,360,0.6666666666666666
20-1,713101,2,240,360,0.6666666666666666
20-1,713101,20,240,360,0.6666666666666666
20-1,713101,5,240,360,0.6666666666666666
20-1,713102,1,235,360,0.6527777777777778
20-1,713102,10,235,360,0.6527777777777778
20-1,713102,2,235,360,0.6527777777777778
20-1,713102,20,235,360,0.6527777777777778
20-1,713102,5,235,360,0.6527777777777778
20-1,713103,1,227,360,0.6305555555555555
20-1,713103,10,227,360,0.6305555555555555
20-1,713103,2,227,360,0.6305555555555555
20-1,713103,20,227,360,0.6305555555555555
20-1,713103,5,227,360,0.6305555555555555
20-1,713104,1,215,360,0.5972222222222222
20-1,713104,10,215,360,0.5972222222222222
20-1,713104,2,215,360,0.5972222222222222
20-1,713104,20,215,360,0.5972222222222222
20-1,713104,5,215,360,0.5972222222222222
20-1,713105,1,260,360,0.7222222222222222
20-1,713105,10,260,360,0.7222222222222222
20-1,713105,2,260,360,0.7222222222222222
20-1,713105,20,260,360,0.7222222222222222
20-1,713105,5,260,360,0.7222222222222222
3-19,713101,1,214,360,0.5944444444444444
3-19,713101,10,214,360,0.5944444444444444
3-19,713101,2,214,360,0.5944444444444444
3-19,713101,20,214,360,0.5944444444444444
3-19,713101,5,214,360,0.5944444444444444
3-19,713102,1,215,360,0.5972222222222222
3-19,713102,10,215,360,0.5972222222222222
3-19,713102,2,215,360,0.5972222222222222
3-19,713102,20,215,360,0.5972222222222222
3-19,713102,5,215,360,0.5972222222222222
3-19,713103,1,213,360,0.5916666666666667
3-19,713103,10,213,360,0.5916666666666667
3-19,713103,2,213,360,0.5916666666666667
3-19,713103,20,213,360,0.5916666666666667
3-19,713103,5,213,360,0.5916666666666667
3-19,713104,1,218,360,0.6055555555555555
3-19,713104,10,218,360,0.6055555555555555
3-19,713104,2,218,360,0.6055555555555555
3-19,713104,20,218,360,0.6055555555555555
3-19,713104,5,218,360,0.6055555555555555
3-19,713105,1,222,360,0.6166666666666667
3-19,713105,10,222,360,0.6166666666666667
3-19,713105,2,222,360,0.6166666666666667
3-19,713105,20,222,360,0.6166666666666667
3-19,713105,5,222,360,0.6166666666666667
7-14,713101,1,323,360,0.8972222222222223
7-14,713101,10,323,360,0.8972222222222223
7-14,713101,2,323,360,0.8972222222222223
7-14,713101,20,323,360,0.8972222222222223
7-14,713101,5,323,360,0.8972222222222223
7-14,713102,1,314,360,0.8722222222222222
7-14,713102,10,314,360,0.8722222222222222
7-14,713102,2,314,360,0.8722222222222222
7-14,713102,20,314,360,0.8722222222222222
7-14,713102,5,314,360,0.8722222222222222
7-14,713103,1,325,360,0.9027777777777778
7-14,713103,10,325,360,0.9027777777777778
7-14,713103,2,325,360,0.9027777777777778
7-14,713103,20,325,360,0.9027777777777778
7-14,713103,5,325,360,0.9027777777777778
7-14,713104,1,313,360,0.8694444444444445
7-14,713104,10,313,360,0.8694444444444445
7-14,713104,2,313,360,0.8694444444444445
7-14,713104,20,313,360,0.8694444444444445
7-14,713104,5,313,360,0.8694444444444445
7-14,713105,1,322,360,0.8944444444444445
7-14,713105,10,322,360,0.8944444444444445
7-14,713105,2,322,360,0.8944444444444445
7-14,713105,20,322,360,0.8944444444444445
7-14,713105,5,322,360,0.8944444444444445
7-7,713101,1,292,360,0.8111111111111111
7-7,713101,10,292,360,0.8111111111111111
7-7,713101,2,292,360,0.8111111111111111
7-7,713101,20,292,360,0.8111111111111111
7-7,713101,5,292,360,0.8111111111111111
7-7,713102,1,298,360,0.8277777777777777
7-7,713102,10,298,360,0.8277777777777777
7-7,713102,2,298,360,0.8277777777777777
7-7,713102,20,298,360,0.8277777777777777
7-7,713102,5,298,360,0.8277777777777777
7-7,713103,1,301,360,0.8361111111111111
7-7,713103,10,301,360,0.8361111111111111
7-7,713103,2,301,360,0.8361111111111111
7-7,713103,20,301,360,0.8361111111111111
7-7,713103,5,301,360,0.8361111111111111
7-7,713104,1,286,360,0.7944444444444444
7-7,713104,10,286,360,0.7944444444444444
7-7,713104,2,286,360,0.7944444444444444
7-7,713104,20,286,360,0.7944444444444444
7-7,713104,5,286,360,0.7944444444444444
7-7,713105,1,312,360,0.8666666666666667
7-7,713105,10,312,360,0.8666666666666667
7-7,713105,2,312,360,0.8666666666666667
7-7,713105,20,312,360,0.8666666666666667
7-7,713105,5,312,360,0.8666666666666667
8-8,713101,1,262,360,0.7277777777777777
8-8,713101,10,262,360,0.7277777777777777
8-8,713101,2,262,360,0.7277777777777777
8-8,713101,20,262,360,0.7277777777777777
8-8,713101,5,262,360,0.7277777777777777
8-8,713102,1,252,360,0.7
8-8,713102,10,252,360,0.7
8-8,713102,2,252,360,0.7
8-8,713102,20,252,360,0.7
8-8,713102,5,252,360,0.7
8-8,713103,1,255,360,0.7083333333333334
8-8,713103,10,255,360,0.7083333333333334
8-8,713103,2,255,360,0.7083333333333334
8-8,713103,20,255,360,0.7083333333333334
8-8,713103,5,255,360,0.7083333333333334
8-8,713104,1,276,360,0.7666666666666667
8-8,713104,10,276,360,0.7666666666666667
8-8,713104,2,276,360,0.7666666666666667
8-8,713104,20,276,360,0.7666666666666667
8-8,713104,5,276,360,0.7666666666666667
8-8,713105,1,258,360,0.7166666666666667
8-8,713105,10,258,360,0.7166666666666667
8-8,713105,2,258,360,0.7166666666666667
8-8,713105,20,258,360,0.7166666666666667
8-8,713105,5,258,360,0.7166666666666667
