method,k_shot,old_pct,new_pct,H_pct,strictness,run_count
单qKNNV42（历史无FFT）,1,57.86666666666667,36.5,41.03507598585982,兼容加载诊断,25
单qKNNV42（历史无FFT）,2,61.84444444444445,42.733333333333334,48.06698795901801,兼容加载诊断,25
单qKNNV42（历史无FFT）,5,67.41111111111111,50.366666666666674,55.86593588954331,兼容加载诊断,25
单qKNNV42（历史无FFT）,10,69.67777777777778,53.36666666666666,59.09596169780901,兼容加载诊断,25
单qKNNV42（历史无FFT）,20,71.16666666666667,56.733333333333334,62.21689809610938,兼容加载诊断,25
完整qKNN legacy Oracle,1,76.5888888888889,87.26666666666667,81.10337373974079,严格ADV3B02+Oracle,25
完整qKNN legacy Oracle,2,81.54444444444447,91.93333333333332,86.22501323950019,严格ADV3B02+Oracle,25
完整qKNN legacy Oracle,5,85.46666666666668,94.39999999999999,89.59160857615385,严格ADV3B02+Oracle,25
完整qKNN legacy Oracle,10,87.34444444444445,96.0,91.40128030998221,严格ADV3B02+Oracle,25
完整qKNN legacy Oracle,20,89.3888888888889,96.60000000000001,92.8138425931509,严格ADV3B02+Oracle,25
qKNNV42+单视图FFT96,1,62.8,48.13333333333333,52.69795768726724,严格ADV3B02,25
qKNNV42+单视图FFT96,2,70.0,57.2,62.013832298469694,严格ADV3B02,25
qKNNV42+单视图FFT96,5,78.03333333333333,66.8,71.33475320330803,严格ADV3B02,25
qKNNV42+单视图FFT96,10,81.35555555555555,73.66666666666666,76.88513788693221,严格ADV3B02,25
qKNNV42+单视图FFT96,20,83.43333333333337,77.39999999999999,79.89169788393511,严格ADV3B02,25
