case,M_budget,old_acc,min_old_class_acc,seen_new_acc,min_seen_new_class_acc,unknown_reject_rate,unknown_FAR,total,actual_receiver_count_histogram,partial_group_count,exact_budget_group_count,latency_ms_p95,bytes_per_event,resource_budget_violation_rate,stage2_success_claim,deployment_success_claim,unknown_query_eval_only,threshold_selection_label_scope,denominator_policy
R10_BOUNDARY,1,0.28205128205128205,0.0,0.0025575447570332483,0.0,0.4,0.1,1132,"{""1"": 1132}",0,1132,0.333144013685259,40.0,0.0,False,False,True,support_known_only,per_k_available_receivers
R10_BOUNDARY,2,0.245014245014245,0.0,0.0,0.0,0.26666666666666666,0.028205128205128206,1132,"{""1"": 330, ""2"": 802}",330,802,0.333144013685259,68.33922261484099,0.0,False,False,True,support_known_only,per_k_available_receivers
R10_BOUNDARY,3,0.23931623931623933,0.0,0.0,0.0,0.23076923076923078,0.02564102564102564,1132,"{""1"": 330, ""2"": 553, ""3"": 249}",883,249,0.333144013685259,77.13780918727915,0.0,False,False,True,support_known_only,per_k_available_receivers
R10_BOUNDARY,4,0.23931623931623933,0.0,0.0,0.0,0.2282051282051282,0.02564102564102564,1132,"{""1"": 330, ""2"": 553, ""3"": 232, ""4"": 17}",1115,17,0.333144013685259,77.73851590106007,0.0,False,False,True,support_known_only,per_k_available_receivers
R10_BOUNDARY,5,0.23931623931623933,0.0,0.0,0.0,0.2282051282051282,0.02564102564102564,1132,"{""1"": 330, ""2"": 553, ""3"": 232, ""4"": 17}",1132,0,0.333144013685259,77.73851590106007,0.0,False,False,True,support_known_only,per_k_available_receivers
R10_GENTLE,1,0.22033898305084745,0.0,0.020460358056265986,0.0,0.39746835443037976,0.09873417721518987,1140,"{""1"": 1140}",0,1140,0.5061952822672372,40.0,0.0,False,False,True,support_known_only,per_k_available_receivers
R10_GENTLE,2,0.20056497175141244,0.0,0.0,0.0,0.26582278481012656,0.04810126582278481,1140,"{""1"": 348, ""2"": 792}",348,792,0.5061952822672372,67.78947368421052,0.0,False,False,True,support_known_only,per_k_available_receivers
R10_GENTLE,3,0.20056497175141244,0.0,0.0,0.0,0.24050632911392406,0.04810126582278481,1140,"{""1"": 348, ""2"": 548, ""3"": 244}",896,244,0.5061952822672372,76.35087719298245,0.0,False,False,True,support_known_only,per_k_available_receivers
R10_GENTLE,4,0.20056497175141244,0.0,0.0,0.0,0.24050632911392406,0.04810126582278481,1140,"{""1"": 348, ""2"": 548, ""3"": 220, ""4"": 24}",1116,24,0.5061952822672372,77.19298245614036,0.0,False,False,True,support_known_only,per_k_available_receivers
R10_GENTLE,5,0.20056497175141244,0.0,0.0,0.0,0.24050632911392406,0.04810126582278481,1140,"{""1"": 348, ""2"": 548, ""3"": 220, ""4"": 24}",1140,0,0.5061952822672372,77.19298245614036,0.0,False,False,True,support_known_only,per_k_available_receivers
R8_RADIUS,1,0.3123209169054441,0.0,0.07360406091370558,0.0,0.39947780678851175,0.20365535248041775,1126,"{""1"": 1126}",0,1126,0.4249002930538898,40.0,0.0,False,False,True,support_known_only,per_k_available_receivers
R8_RADIUS,2,0.28653295128939826,0.0,0.03807106598984772,0.0,0.22715404699738903,0.07571801566579635,1126,"{""1"": 329, ""2"": 797}",329,797,0.4249002930538898,68.3126110124334,0.0,False,False,True,support_known_only,per_k_available_receivers
R8_RADIUS,3,0.2722063037249284,0.0,0.03553299492385787,0.0,0.20887728459530025,0.057441253263707574,1126,"{""1"": 329, ""2"": 545, ""3"": 252}",874,252,0.4249002930538898,77.26465364120781,0.0,False,False,True,support_known_only,per_k_available_receivers
R8_RADIUS,4,0.2722063037249284,0.0,0.03553299492385787,0.0,0.20887728459530025,0.057441253263707574,1126,"{""1"": 329, ""2"": 545, ""3"": 227, ""4"": 25}",1101,25,0.4249002930538898,78.15275310834814,0.0,False,False,True,support_known_only,per_k_available_receivers
R8_RADIUS,5,0.2722063037249284,0.0,0.03553299492385787,0.0,0.20887728459530025,0.057441253263707574,1126,"{""1"": 329, ""2"": 545, ""3"": 227, ""4"": 25}",1126,0,0.4249002930538898,78.15275310834814,0.0,False,False,True,support_known_only,per_k_available_receivers
R8_SHELL,1,0.35410764872521244,0.05,0.023746701846965697,0.0,0.4094488188976378,0.1679790026246719,1113,"{""1"": 1113}",0,1113,0.27590483998541127,40.0,0.0,False,False,True,support_known_only,per_k_available_receivers
R8_SHELL,2,0.2719546742209632,0.0,0.0079155672823219,0.0,0.2677165354330709,0.07611548556430446,1113,"{""1"": 311, ""2"": 802}",311,802,0.27590483998541127,68.8230008984726,0.0,False,False,True,support_known_only,per_k_available_receivers
R8_SHELL,3,0.2719546742209632,0.0,0.005277044854881266,0.0,0.23622047244094488,0.06299212598425197,1113,"{""1"": 311, ""2"": 541, ""3"": 261}",852,261,0.27590483998541127,78.20305480682839,0.0,False,False,True,support_known_only,per_k_available_receivers
R8_SHELL,4,0.2719546742209632,0.0,0.005277044854881266,0.0,0.23622047244094488,0.06561679790026247,1113,"{""1"": 311, ""2"": 541, ""3"": 237, ""4"": 24}",1089,24,0.27590483998541127,79.06558849955077,0.0,False,False,True,support_known_only,per_k_available_receivers
R8_SHELL,5,0.2719546742209632,0.0,0.005277044854881266,0.0,0.23622047244094488,0.06561679790026247,1113,"{""1"": 311, ""2"": 541, ""3"": 237, ""4"": 24}",1113,0,0.27590483998541127,79.06558849955077,0.0,False,False,True,support_known_only,per_k_available_receivers
R9_ANCHOR,1,0.23011363636363635,0.0,0.010126582278481013,0.0,0.33419689119170987,0.09067357512953368,1133,"{""1"": 1133}",0,1133,0.4100985725579614,40.0,0.0,False,False,True,support_known_only,per_k_available_receivers
R9_ANCHOR,2,0.21306818181818182,0.0,0.005063291139240506,0.0,0.24870466321243523,0.03367875647668394,1133,"{""1"": 338, ""2"": 795}",338,795,0.4100985725579614,68.06707855251544,0.0,False,False,True,support_known_only,per_k_available_receivers
R9_ANCHOR,3,0.21306818181818182,0.0,0.007594936708860759,0.0,0.23056994818652848,0.02849740932642487,1133,"{""1"": 338, ""2"": 546, ""3"": 249}",884,249,0.4100985725579614,76.85789938217123,0.0,False,False,True,support_known_only,per_k_available_receivers
R9_ANCHOR,4,0.21306818181818182,0.0,0.007594936708860759,0.0,0.22797927461139897,0.02849740932642487,1133,"{""1"": 338, ""2"": 546, ""3"": 226, ""4"": 23}",1110,23,0.4100985725579614,77.66990291262135,0.0,False,False,True,support_known_only,per_k_available_receivers
R9_ANCHOR,5,0.21306818181818182,0.0,0.007594936708860759,0.0,0.22797927461139897,0.02849740932642487,1133,"{""1"": 338, ""2"": 546, ""3"": 226, ""4"": 23}",1133,0,0.4100985725579614,77.66990291262135,0.0,False,False,True,support_known_only,per_k_available_receivers
R9_GENTLE,1,0.26062322946175637,0.0,0.010362694300518135,0.0,0.34196891191709844,0.13730569948186527,1125,"{""1"": 1125}",0,1125,0.5218509205786342,40.0,0.0,False,False,True,support_known_only,per_k_available_receivers
R9_GENTLE,2,0.26345609065155806,0.0,0.0,0.0,0.22538860103626943,0.03367875647668394,1125,"{""1"": 324, ""2"": 801}",324,801,0.5218509205786342,68.48,0.0,False,False,True,support_known_only,per_k_available_receivers
R9_GENTLE,3,0.254957507082153,0.0,0.0,0.0,0.20466321243523317,0.031088082901554404,1125,"{""1"": 324, ""2"": 549, ""3"": 252}",873,252,0.5218509205786342,77.44,0.0,False,False,True,support_known_only,per_k_available_receivers
R9_GENTLE,4,0.254957507082153,0.0,0.0,0.0,0.20207253886010362,0.031088082901554404,1125,"{""1"": 324, ""2"": 549, ""3"": 230, ""4"": 22}",1103,22,0.5218509205786342,78.22222222222223,0.0,False,False,True,support_known_only,per_k_available_receivers
R9_GENTLE,5,0.254957507082153,0.0,0.0,0.0,0.20207253886010362,0.031088082901554404,1125,"{""1"": 324, ""2"": 549, ""3"": 230, ""4"": 22}",1125,0,0.5218509205786342,78.22222222222223,0.0,False,False,True,support_known_only,per_k_available_receivers
