reference_arm,k_shot,count,delta_old_acc_mean,delta_old_acc_ci95,old_acc_wins,old_acc_ties,old_acc_losses,delta_seen_new_acc_mean,delta_seen_new_acc_ci95,seen_new_acc_wins,seen_new_acc_ties,seen_new_acc_losses,delta_H_old_new_mean,delta_H_old_new_ci95,H_old_new_wins,H_old_new_ties,H_old_new_losses
full_legacy_oracle_strict,1,25,-0.0898888888888889,0.017484156119937203,0,0,25,-0.2846666666666667,0.03648200307203742,0,0,25,-0.200001461122051,0.02228440389716346,0,0,25
full_legacy_oracle_strict,2,25,-0.07455555555555557,0.016082413368430953,0,0,25,-0.23933333333333334,0.030506189535895834,0,0,25,-0.16310837369416986,0.01593733376318359,0,0,25
full_legacy_oracle_strict,5,25,-0.05433333333333334,0.019297925302675788,2,0,23,-0.18800000000000006,0.04195134342085861,1,0,24,-0.12660722993238266,0.026882029287206642,0,0,25
full_legacy_oracle_strict,10,25,-0.04300000000000001,0.012048183648090157,1,0,24,-0.14133333333333334,0.03512590834465405,0,1,24,-0.09327969381511142,0.019627513214121407,0,0,25
full_legacy_oracle_strict,20,25,-0.037222222222222205,0.011289840292367306,1,0,24,-0.11733333333333335,0.027100867281461816,0,0,25,-0.07777315669114276,0.016286377957521633,0,0,25
singleview_fft96_strict,1,25,0.04799999999999998,0.037661915749764865,18,0,7,0.10666666666666665,0.061693027398804404,21,2,2,0.08405269940268428,0.040894143293475994,22,0,3
singleview_fft96_strict,2,25,0.040888888888888884,0.026999028728148244,19,0,6,0.10800000000000004,0.03967890791507917,22,0,3,0.07900343571613488,0.025687599373829577,23,0,2
singleview_fft96_strict,5,25,0.02000000000000002,0.015143648249498104,19,1,5,0.08799999999999997,0.04060489881045646,19,0,6,0.05596132379607566,0.023677187413400982,22,0,3
singleview_fft96_strict,10,25,0.016888888888888884,0.01580427602709914,14,0,11,0.08199999999999996,0.03960263590179787,18,0,7,0.051881730415388655,0.02388865602535841,20,0,5
singleview_fft96_strict,20,25,0.022333333333333327,0.013455894236799507,17,1,7,0.07466666666666667,0.03217956839707803,20,1,4,0.05144829040101489,0.020724371526990006,21,0,4
