arm,receiver,seed,k_shot,scenario,old_acc,seen_new_acc,H_old_new,average_forgetting,old_acc_before_increment,old_to_seen_new_rate,seen_new_to_old_rate,adaptation_latency_sec,onboard_scoring_latency_per_query_ms,persistent_state_bytes_with_post_adapter,dense_graph_peak_bytes_lower_bound,estimated_head_macs_with_post_adapter,persistent_state_bytes_total,dense_graph_peak_bytes_total_lower_bound,estimated_head_macs_total
full_nonoracle_strict,20-1,713101,1,leo_clear_weak,0.4666666666666667,0.725,0.5678321678321678,0.05833333333333335,0.525,0.041666666666666664,0.275,0.01278072688728571,0.062449852703139186,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,20-1,713101,1,leo_low_elev_weak,0.5583333333333333,0.55,0.5541353383458647,0.05833333333333335,0.6166666666666667,0.075,0.425,0.05795081192627549,0.34414253605064005,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,20-1,713101,1,leo_rain_weak,0.525,0.625,0.5706521739130436,0.09166666666666667,0.6166666666666667,0.125,0.325,0.05895593436434865,0.3514079813612625,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,20-1,713101,10,leo_clear_weak,0.85,0.8,0.8242424242424243,-0.008333333333333304,0.8416666666666667,0.008333333333333333,0.175,0.11012836778536439,0.665168056730181,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,20-1,713101,10,leo_low_elev_weak,0.75,0.825,0.7857142857142856,0.01666666666666672,0.7666666666666667,0.025,0.15,0.021465268917381763,0.11115791858173907,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,20-1,713101,10,leo_rain_weak,0.8583333333333333,0.725,0.7860526315789473,0.01666666666666672,0.875,0.03333333333333333,0.15,0.016073433216661215,0.07687787874601781,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,20-1,713101,2,leo_clear_weak,0.725,0.825,0.771774193548387,0.008333333333333304,0.7333333333333333,0.0,0.175,0.015414449851959944,0.07839615573175251,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,20-1,713101,2,leo_low_elev_weak,0.65,0.675,0.6622641509433962,0.04166666666666663,0.6916666666666667,0.041666666666666664,0.275,0.011951996013522148,0.05707566160708666,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,20-1,713101,2,leo_rain_weak,0.6,0.6,0.6,0.04166666666666674,0.6416666666666667,0.06666666666666667,0.375,0.010319449938833714,0.046294304775074124,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,20-1,713101,20,leo_clear_weak,0.9,0.9,0.9,0.016666666666666607,0.9166666666666666,0.016666666666666666,0.075,0.02967048715800047,0.1529715140350163,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,20-1,713101,20,leo_low_elev_weak,0.8083333333333333,0.825,0.8165816326530613,-0.01666666666666672,0.7916666666666666,0.016666666666666666,0.15,0.02396302903071046,0.11927318118978292,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,20-1,713101,20,leo_rain_weak,0.8583333333333333,0.825,0.8413366336633663,0.008333333333333415,0.8666666666666667,0.008333333333333333,0.1,0.023866586852818727,0.11889159504789859,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,20-1,713101,5,leo_clear_weak,0.8583333333333333,0.825,0.8413366336633663,0.01666666666666672,0.875,0.016666666666666666,0.175,0.01451410399749875,0.06964000640437007,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,20-1,713101,5,leo_low_elev_weak,0.6833333333333333,0.725,0.7035502958579882,0.033333333333333326,0.7166666666666667,0.025,0.25,0.012571269180625677,0.059155665803700686,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,20-1,713101,5,leo_rain_weak,0.7666666666666667,0.55,0.640506329113924,0.02499999999999991,0.7916666666666666,0.058333333333333334,0.375,0.017638149205595255,0.08092388161458075,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,20-1,713102,1,leo_clear_weak,0.6916666666666667,0.625,0.6566455696202531,0.06666666666666665,0.7583333333333333,0.1,0.15,0.020770128816366196,0.10719903802964836,22678,451584,11493376,31201,903168,16254976
