direct_old_accuracy,identity_qknn_old_accuracy,jg_delta_vs_direct,jg_delta_vs_identity_qknn,jg_old_accuracy,receiver,scenario,seed
0.6916666666666667,0.8166666666666667,0.14166666666666672,0.01666666666666672,0.8333333333333334,20-1,leo_clear_weak,713101
0.725,0.725,0.008333333333333304,0.008333333333333304,0.7333333333333333,20-1,leo_low_elev_weak,713101
0.675,0.7583333333333333,0.125,0.04166666666666674,0.8,20-1,leo_rain_weak,713101
0.7083333333333334,0.8166666666666667,0.08333333333333326,-0.025000000000000022,0.7916666666666666,20-1,leo_clear_weak,713102
0.6666666666666666,0.725,0.08333333333333337,0.025000000000000022,0.75,20-1,leo_low_elev_weak,713102
0.675,0.7583333333333333,0.1333333333333333,0.050000000000000044,0.8083333333333333,20-1,leo_rain_weak,713102
0.6083333333333333,0.6916666666666667,0.07500000000000007,-0.008333333333333304,0.6833333333333333,20-1,leo_clear_weak,713103
0.5833333333333334,0.5916666666666667,0.033333333333333326,0.025000000000000022,0.6166666666666667,20-1,leo_low_elev_weak,713103
0.6166666666666667,0.675,0.11666666666666659,0.05833333333333324,0.7333333333333333,20-1,leo_rain_weak,713103
0.7,0.7166666666666667,0.05833333333333335,0.04166666666666663,0.7583333333333333,20-1,leo_clear_weak,713104
0.6583333333333333,0.6916666666666667,0.050000000000000044,0.01666666666666672,0.7083333333333334,20-1,leo_low_elev_weak,713104
0.6416666666666667,0.7083333333333334,0.16666666666666663,0.09999999999999998,0.8083333333333333,20-1,leo_rain_weak,713104
0.7166666666666667,0.8,0.1333333333333333,0.04999999999999993,0.85,20-1,leo_clear_weak,713105
0.6333333333333333,0.6916666666666667,0.04166666666666674,-0.016666666666666607,0.675,20-1,leo_low_elev_weak,713105
0.65,0.7333333333333333,0.09166666666666667,0.008333333333333415,0.7416666666666667,20-1,leo_rain_weak,713105
0.6416666666666667,0.7333333333333333,0.07499999999999996,-0.016666666666666607,0.7166666666666667,3-19,leo_clear_weak,713101
0.6083333333333333,0.6583333333333333,0.08333333333333337,0.033333333333333326,0.6916666666666667,3-19,leo_low_elev_weak,713101
0.65,0.7083333333333334,0.06666666666666665,0.008333333333333304,0.7166666666666667,3-19,leo_rain_weak,713101
0.5583333333333333,0.5416666666666666,0.008333333333333304,0.025000000000000022,0.5666666666666667,3-19,leo_clear_weak,713102
0.625,0.625,0.01666666666666672,0.01666666666666672,0.6416666666666667,3-19,leo_low_elev_weak,713102
0.6083333333333333,0.6166666666666667,0.03333333333333344,0.025000000000000022,0.6416666666666667,3-19,leo_rain_weak,713102
