receiver,seed,k_shot,old_acc_full,old_acc_light,delta_old_acc,seen_new_acc_full,seen_new_acc_light,delta_seen_new_acc,H_old_new_full,H_old_new_light,delta_H_old_new
20-1,713101,1,0.6027777777777777,0.6444444444444444,-0.04166666666666663,0.8666666666666667,0.48333333333333334,0.38333333333333336,0.7089560207567374,0.5432385520229218,0.16571746873381554
20-1,713101,2,0.7027777777777778,0.7416666666666667,-0.03888888888888886,0.9499999999999998,0.6749999999999999,0.2749999999999999,0.8075599319291668,0.7046652232826677,0.10289470864649908
20-1,713101,5,0.8166666666666668,0.7944444444444444,0.022222222222222365,0.9666666666666667,0.7583333333333334,0.20833333333333326,0.8840964723559744,0.7740353817504655,0.11006109060550895
20-1,713101,10,0.8111111111111112,0.8555555555555555,-0.04444444444444429,0.9666666666666667,0.7999999999999999,0.16666666666666674,0.8813130510572112,0.8262300849374279,0.05508296611978336
20-1,713101,20,0.8694444444444445,0.8888888888888888,-0.019444444444444375,0.9666666666666667,0.8250000000000001,0.1416666666666666,0.9148693834900731,0.8545755070717344,0.06029387641833872
20-1,713102,1,0.7388888888888889,0.6333333333333334,0.10555555555555551,0.8333333333333334,0.5750000000000001,0.2583333333333333,0.7823025498124979,0.5990210816833897,0.18328146812910817
20-1,713102,2,0.7777777777777778,0.6444444444444445,0.1333333333333333,0.8999999999999999,0.6,0.29999999999999993,0.8341543918467976,0.6209624546527384,0.21319193719405927
20-1,713102,5,0.8444444444444444,0.7583333333333334,0.08611111111111103,0.9666666666666667,0.7583333333333333,0.20833333333333337,0.8998588793889525,0.7573928258747605,0.14246605351419195
20-1,713102,10,0.8944444444444445,0.8194444444444443,0.07500000000000018,0.9833333333333334,0.8583333333333334,0.125,0.9366089466089466,0.838416786312515,0.09819216029643152
20-1,713102,20,0.8972222222222221,0.8638888888888889,0.033333333333333215,0.9833333333333334,0.8583333333333334,0.125,0.9382626773364535,0.8603516735645664,0.07791100377188709
20-1,713103,1,0.7361111111111112,0.43333333333333335,0.3027777777777778,0.8833333333333334,0.625,0.2583333333333334,0.8012078135096178,0.5110046671579465,0.2902031463516713
20-1,713103,2,0.7388888888888889,0.6,0.13888888888888895,0.9499999999999998,0.6083333333333333,0.34166666666666656,0.8306395574403033,0.6014288905986839,0.2292106668416194
20-1,713103,5,0.75,0.775,-0.025000000000000022,0.9166666666666666,0.6999999999999998,0.21666666666666679,0.8249380437197696,0.7328607747122694,0.09207726900750024
20-1,713103,10,0.8611111111111112,0.8305555555555556,0.030555555555555558,0.9333333333333332,0.7666666666666666,0.16666666666666663,0.8954007174932892,0.7965678824721377,0.09883283502115148
20-1,713103,20,0.9249999999999999,0.8805555555555555,0.0444444444444444,0.9499999999999998,0.8333333333333334,0.11666666666666647,0.9372530395136778,0.8561254836926478,0.08112755582102993
20-1,713104,1,0.7083333333333334,0.5361111111111111,0.17222222222222228,0.8666666666666667,0.6083333333333333,0.2583333333333334,0.7777194803841674,0.5689948049231198,0.20872467546104756
20-1,713104,2,0.725,0.6833333333333332,0.04166666666666674,0.9,0.6749999999999999,0.2250000000000001,0.8028512407397814,0.679028841061197,0.12382239967858444
20-1,713104,5,0.8222222222222223,0.7388888888888889,0.08333333333333337,0.9500000000000001,0.7083333333333334,0.2416666666666667,0.8805576689491317,0.7230808987760207,0.157476770173111
20-1,713104,10,0.8277777777777778,0.8027777777777777,0.025000000000000133,0.9499999999999998,0.7583333333333333,0.19166666666666654,0.8845275301637915,0.7797604197604198,0.10476711040337172
20-1,713104,20,0.9138888888888889,0.8194444444444445,0.09444444444444433,0.9499999999999998,0.775,0.17499999999999982,0.931545504542124,0.7949327906910093,0.13661271385111473
20-1,713105,1,0.6916666666666668,0.5638888888888889,0.12777777777777788,0.85,0.525,0.32499999999999996,0.7578772985351018,0.5416373220477698,0.21623997648733195
20-1,713105,2,0.763888888888889,0.7416666666666666,0.022222222222222365,0.9166666666666666,0.5416666666666666,0.375,0.8331185363372656,0.625564762971258,0.20755377336600767
20-1,713105,5,0.8249999999999998,0.8249999999999998,0.0,0.9666666666666667,0.7166666666666668,0.2499999999999999,0.8901672571097189,0.7651612320906017,0.12500602501911717
20-1,713105,10,0.8805555555555555,0.8722222222222221,0.008333333333333415,0.9666666666666667,0.7583333333333333,0.20833333333333337,0.9206889528535006,0.8111962110348926,0.10949274181860802
20-1,713105,20,0.8888888888888888,0.8972222222222223,-0.008333333333333415,0.9666666666666667,0.7916666666666666,0.17500000000000004,0.926058624822927,0.8376593560933449,0.08839926872958215
3-19,713101,1,0.6027777777777777,0.4222222222222222,0.18055555555555552,0.75,0.3333333333333333,0.4166666666666667,0.6676325725556495,0.3596730206325409,0.30795955192310853
3-19,713101,2,0.7055555555555556,0.5333333333333333,0.17222222222222228,0.7666666666666666,0.325,0.4416666666666666,0.7338182551643855,0.3840378197997776,0.3497804353646079
3-19,713101,5,0.7666666666666666,0.6388888888888888,0.12777777777777777,0.7333333333333334,0.3333333333333333,0.4000000000000001,0.7464427779596651,0.4370553044486891,0.30938747351097595
3-19,713101,10,0.775,0.6222222222222222,0.1527777777777778,0.75,0.47500000000000003,0.27499999999999997,0.7613504062330464,0.5354279350380581,0.22592247119498832
3-19,713101,20,0.7916666666666666,0.6333333333333334,0.15833333333333321,0.8000000000000002,0.45,0.35000000000000014,0.7950894715657525,0.5161056636675294,0.2789838078982231
3-19,713102,1,0.5138888888888888,0.4666666666666666,0.04722222222222222,0.7666666666666666,0.4000000000000001,0.36666666666666653,0.610808128919584,0.4273355542637392,0.18347257465584482
3-19,713102,2,0.6499999999999999,0.5555555555555555,0.09444444444444444,0.7833333333333333,0.34166666666666673,0.4416666666666666,0.7042532277690862,0.4185900660945053,0.2856631616745809
3-19,713102,5,0.7333333333333334,0.6416666666666667,0.09166666666666667,0.8166666666666668,0.425,0.3916666666666668,0.7707073067947207,0.5084081386102276,0.26229916818449306
3-19,713102,10,0.7861111111111111,0.686111111111111,0.10000000000000009,0.85,0.4833333333333334,0.3666666666666666,0.8164876912120042,0.5659594753073014,0.25052821590470276
3-19,713102,20,0.7972222222222222,0.6944444444444443,0.10277777777777786,0.8833333333333334,0.575,0.30833333333333346,0.8367870544090056,0.628857722249442,0.20792933215956355
3-19,713103,1,0.6138888888888889,0.4305555555555556,0.18333333333333335,0.7166666666666667,0.35833333333333334,0.35833333333333334,0.6611036332082046,0.38971062297328524,0.2713930102349194
3-19,713103,2,0.6666666666666666,0.5083333333333333,0.15833333333333333,0.7333333333333334,0.48333333333333334,0.25000000000000006,0.695037544229263,0.49474179009062724,0.20029575413863576
3-19,713103,5,0.7416666666666667,0.5666666666666667,0.17500000000000004,0.8333333333333334,0.5083333333333333,0.32500000000000007,0.7844691756667532,0.5327635327635327,0.2517056429032205
