arm,experiment_id,receiver,seed,k_shot,old_acc,seen_new_acc,H_old_new,average_forgetting,run_dir,min_old_new,joint_score
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k1_seed713101,20-1,713101,1,0.6444444444444444,0.48333333333333334,0.5432385520229218,0.06944444444444442,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713101\k_1\cvs_qknnv42,0.48333333333333334,0.5570054432668998
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k10_seed713101,20-1,713101,10,0.8555555555555555,0.7999999999999999,0.8262300849374279,0.002777777777777768,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713101\k_10\cvs_qknnv42,0.7999999999999999,0.8272618801643278
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k2_seed713101,20-1,713101,2,0.7416666666666667,0.6749999999999999,0.7046652232826677,0.022222222222222216,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713101\k_2\cvs_qknnv42,0.6749999999999999,0.7071106299831115
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k20_seed713101,20-1,713101,20,0.8888888888888888,0.8250000000000001,0.8545755070717344,-0.005555555555555536,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713101\k_20\cvs_qknnv42,0.8250000000000001,0.8561547986535412
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k5_seed713101,20-1,713101,5,0.7944444444444444,0.7583333333333334,0.7740353817504655,-0.011111111111111108,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713101\k_5\cvs_qknnv42,0.7583333333333334,0.7756043865094145
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k1_seed713102,20-1,713102,1,0.6333333333333334,0.5750000000000001,0.5990210816833897,0.08055555555555553,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713102\k_1\cvs_qknnv42,0.5750000000000001,0.6024514716722411
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k10_seed713102,20-1,713102,10,0.8194444444444443,0.8583333333333334,0.838416786312515,0.019444444444444448,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713102\k_10\cvs_qknnv42,0.8194444444444443,0.8387315213634309
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k2_seed713102,20-1,713102,2,0.6444444444444445,0.6,0.6209624546527384,0.06944444444444442,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713102\k_2\cvs_qknnv42,0.6,0.621802299699061
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k20_seed713102,20-1,713102,20,0.8638888888888889,0.8583333333333334,0.8603516735645664,0.002777777777777768,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713102\k_20\cvs_qknnv42,0.8583333333333334,0.8608579652622629
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k5_seed713102,20-1,713102,5,0.7583333333333334,0.7583333333333333,0.7573928258747605,0.041666666666666664,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713102\k_5\cvs_qknnv42,0.7583333333333333,0.7580198308471423
singleview_fft96_strict,cvs_qknnv42_stage2c_rx20-1_k1_seed713103,20-1,713103,1,0.43333333333333335,0.625,0.5110046671579465,0.061111111111111116,automation_reports\CV-SincNet\qknnv42_strict_dual125_20260714_183556\artifacts\cvs_qknnv42_fft96_singleview_strict125_20260714_183556\rx_20-1\seed_713103\k_1\cvs_qknnv42,0.43333333333333335,0.5231126668304266
