arm,receiver,seed,k_shot,scenario,old_acc,seen_new_acc,H_old_new,average_forgetting
singleview_fft96_strict,20-1,713101,1,leo_clear_weak,0.6916666666666667,0.375,0.48632812500000006,0.033333333333333326
singleview_fft96_strict,20-1,713101,1,leo_low_elev_weak,0.5833333333333334,0.6,0.591549295774648,0.08333333333333326
singleview_fft96_strict,20-1,713101,1,leo_rain_weak,0.6583333333333333,0.475,0.5518382352941176,0.09166666666666667
singleview_fft96_strict,20-1,713101,10,leo_clear_weak,0.8833333333333333,0.8,0.8396039603960396,0.0
singleview_fft96_strict,20-1,713101,10,leo_low_elev_weak,0.8166666666666667,0.825,0.8208121827411168,-0.008333333333333304
singleview_fft96_strict,20-1,713101,10,leo_rain_weak,0.8666666666666667,0.775,0.818274111675127,0.016666666666666607
singleview_fft96_strict,20-1,713101,2,leo_clear_weak,0.8083333333333333,0.725,0.7644021739130435,0.008333333333333304
singleview_fft96_strict,20-1,713101,2,leo_low_elev_weak,0.6666666666666666,0.7,0.6829268292682926,0.025000000000000022
singleview_fft96_strict,20-1,713101,2,leo_rain_weak,0.75,0.6,0.6666666666666665,0.033333333333333326
singleview_fft96_strict,20-1,713101,20,leo_clear_weak,0.925,0.85,0.8859154929577465,-0.01666666666666672
singleview_fft96_strict,20-1,713101,20,leo_low_elev_weak,0.8583333333333333,0.875,0.8665865384615383,-0.008333333333333304
singleview_fft96_strict,20-1,713101,20,leo_rain_weak,0.8833333333333333,0.75,0.8112244897959183,0.008333333333333415
singleview_fft96_strict,20-1,713101,5,leo_clear_weak,0.8166666666666667,0.85,0.833,-0.033333333333333326
singleview_fft96_strict,20-1,713101,5,leo_low_elev_weak,0.75,0.75,0.75,-0.008333333333333304
singleview_fft96_strict,20-1,713101,5,leo_rain_weak,0.8166666666666667,0.675,0.7391061452513966,0.008333333333333304
singleview_fft96_strict,20-1,713102,1,leo_clear_weak,0.6416666666666667,0.675,0.6579113924050632,0.09999999999999998
singleview_fft96_strict,20-1,713102,1,leo_low_elev_weak,0.6916666666666667,0.65,0.6701863354037266,0.04166666666666663
singleview_fft96_strict,20-1,713102,1,leo_rain_weak,0.5666666666666667,0.4,0.46896551724137936,0.09999999999999998
singleview_fft96_strict,20-1,713102,10,leo_clear_weak,0.875,0.925,0.8993055555555556,0.01666666666666672
singleview_fft96_strict,20-1,713102,10,leo_low_elev_weak,0.775,0.8,0.7873015873015874,0.025000000000000022
singleview_fft96_strict,20-1,713102,10,leo_rain_weak,0.8083333333333333,0.85,0.8286432160804021,0.016666666666666607
singleview_fft96_strict,20-1,713102,2,leo_clear_weak,0.7416666666666667,0.65,0.6928143712574851,0.07499999999999996
singleview_fft96_strict,20-1,713102,2,leo_low_elev_weak,0.6,0.6,0.6,0.09166666666666667
singleview_fft96_strict,20-1,713102,2,leo_rain_weak,0.5916666666666667,0.55,0.57007299270073,0.04166666666666663
singleview_fft96_strict,20-1,713102,20,leo_clear_weak,0.9083333333333333,0.925,0.916590909090909,0.008333333333333304
singleview_fft96_strict,20-1,713102,20,leo_low_elev_weak,0.8083333333333333,0.85,0.8286432160804021,0.0
singleview_fft96_strict,20-1,713102,20,leo_rain_weak,0.875,0.8,0.8358208955223881,0.0
singleview_fft96_strict,20-1,713102,5,leo_clear_weak,0.8666666666666667,0.825,0.8453201970443349,0.0
singleview_fft96_strict,20-1,713102,5,leo_low_elev_weak,0.7083333333333334,0.675,0.691265060240964,0.033333333333333326
singleview_fft96_strict,20-1,713102,5,leo_rain_weak,0.7,0.775,0.735593220338983,0.09166666666666667
singleview_fft96_strict,20-1,713103,1,leo_clear_weak,0.4166666666666667,0.625,0.5,0.016666666666666663
singleview_fft96_strict,20-1,713103,1,leo_low_elev_weak,0.5,0.65,0.5652173913043479,0.050000000000000044
singleview_fft96_strict,20-1,713103,1,leo_rain_weak,0.38333333333333336,0.6,0.46779661016949153,0.11666666666666664
singleview_fft96_strict,20-1,713103,10,leo_clear_weak,0.825,0.825,0.825,0.01666666666666672
singleview_fft96_strict,20-1,713103,10,leo_low_elev_weak,0.825,0.75,0.7857142857142856,0.0
singleview_fft96_strict,20-1,713103,10,leo_rain_weak,0.8416666666666667,0.725,0.7789893617021277,0.008333333333333304
singleview_fft96_strict,20-1,713103,2,leo_clear_weak,0.5916666666666667,0.625,0.607876712328767,0.1416666666666666
singleview_fft96_strict,20-1,713103,2,leo_low_elev_weak,0.6083333333333333,0.7,0.6509554140127389,0.09166666666666667
singleview_fft96_strict,20-1,713103,2,leo_rain_weak,0.6,0.5,0.5454545454545454,0.10833333333333339
singleview_fft96_strict,20-1,713103,20,leo_clear_weak,0.925,0.875,0.8993055555555556,-0.008333333333333415
singleview_fft96_strict,20-1,713103,20,leo_low_elev_weak,0.8416666666666667,0.825,0.83325,0.008333333333333304
singleview_fft96_strict,20-1,713103,20,leo_rain_weak,0.875,0.8,0.8358208955223881,0.01666666666666672
singleview_fft96_strict,20-1,713103,5,leo_clear_weak,0.7833333333333333,0.775,0.7791443850267379,0.008333333333333304
singleview_fft96_strict,20-1,713103,5,leo_low_elev_weak,0.775,0.75,0.7622950819672132,0.016666666666666607
singleview_fft96_strict,20-1,713103,5,leo_rain_weak,0.7666666666666667,0.575,0.6571428571428571,0.04999999999999993
singleview_fft96_strict,20-1,713104,1,leo_clear_weak,0.55,0.6,0.5739130434782609,0.07499999999999996
singleview_fft96_strict,20-1,713104,1,leo_low_elev_weak,0.5333333333333333,0.675,0.5958620689655172,0.01666666666666672
singleview_fft96_strict,20-1,713104,1,leo_rain_weak,0.525,0.55,0.5372093023255814,0.09999999999999998
singleview_fft96_strict,20-1,713104,10,leo_clear_weak,0.85,0.775,0.8107692307692307,0.01666666666666672
singleview_fft96_strict,20-1,713104,10,leo_low_elev_weak,0.7666666666666667,0.75,0.7582417582417583,0.02499999999999991
singleview_fft96_strict,20-1,713104,10,leo_rain_weak,0.7916666666666666,0.75,0.7702702702702704,0.025000000000000022
singleview_fft96_strict,20-1,713104,2,leo_clear_weak,0.7333333333333333,0.7,0.7162790697674419,0.01666666666666672
singleview_fft96_strict,20-1,713104,2,leo_low_elev_weak,0.6666666666666666,0.675,0.670807453416149,0.06666666666666665
singleview_fft96_strict,20-1,713104,2,leo_rain_weak,0.65,0.65,0.65,0.05833333333333335
singleview_fft96_strict,20-1,713104,20,leo_clear_weak,0.8333333333333334,0.875,0.8536585365853658,0.02499999999999991
singleview_fft96_strict,20-1,713104,20,leo_low_elev_weak,0.7916666666666666,0.75,0.7702702702702704,0.0
singleview_fft96_strict,20-1,713104,20,leo_rain_weak,0.8333333333333334,0.7,0.7608695652173915,0.008333333333333304
singleview_fft96_strict,20-1,713104,5,leo_clear_weak,0.7916666666666666,0.725,0.7568681318681317,0.008333333333333415
singleview_fft96_strict,20-1,713104,5,leo_low_elev_weak,0.7333333333333333,0.725,0.7291428571428571,0.06666666666666676
singleview_fft96_strict,20-1,713104,5,leo_rain_weak,0.6916666666666667,0.675,0.6832317073170732,0.01666666666666672
singleview_fft96_strict,20-1,713105,1,leo_clear_weak,0.5,0.55,0.5238095238095238,0.09999999999999998
singleview_fft96_strict,20-1,713105,1,leo_low_elev_weak,0.6166666666666667,0.5,0.5522388059701493,0.09166666666666667
singleview_fft96_strict,20-1,713105,1,leo_rain_weak,0.575,0.525,0.5488636363636363,0.09166666666666667
singleview_fft96_strict,20-1,713105,10,leo_clear_weak,0.95,0.85,0.8972222222222223,0.0
singleview_fft96_strict,20-1,713105,10,leo_low_elev_weak,0.8416666666666667,0.725,0.7789893617021277,0.016666666666666607
singleview_fft96_strict,20-1,713105,10,leo_rain_weak,0.825,0.7,0.7573770491803278,0.01666666666666672
singleview_fft96_strict,20-1,713105,2,leo_clear_weak,0.825,0.6,0.6947368421052632,0.008333333333333415
singleview_fft96_strict,20-1,713105,2,leo_low_elev_weak,0.7,0.475,0.5659574468085107,0.07500000000000007
singleview_fft96_strict,20-1,713105,2,leo_rain_weak,0.7,0.55,0.616,0.07500000000000007
singleview_fft96_strict,20-1,713105,20,leo_clear_weak,0.925,0.925,0.925,-0.008333333333333415
singleview_fft96_strict,20-1,713105,20,leo_low_elev_weak,0.9083333333333333,0.825,0.8646634615384614,-0.04166666666666663
singleview_fft96_strict,20-1,713105,20,leo_rain_weak,0.8583333333333333,0.625,0.7233146067415729,0.01666666666666672
singleview_fft96_strict,20-1,713105,5,leo_clear_weak,0.9083333333333333,0.725,0.8063775510204082,-0.008333333333333304
singleview_fft96_strict,20-1,713105,5,leo_low_elev_weak,0.75,0.75,0.75,0.09999999999999998
singleview_fft96_strict,20-1,713105,5,leo_rain_weak,0.8166666666666667,0.675,0.7391061452513966,0.01666666666666672
singleview_fft96_strict,3-19,713101,1,leo_clear_weak,0.38333333333333336,0.2,0.26285714285714284,0.04166666666666663
